timestamp,author_name,membership,text
-0:27,たまごやき,新規メンバー,がんばれ！！
-0:27,榎茸,メンバー（2 か月）,勝ってくれ！！
-0:25,スノウ【きまだらのオカン枠】,非メンバー,アイテムの女神様微笑んでください
-0:24,BAO Ms,非メンバー,ふっとばしてやるタイ！！！！！
-0:24,ゆっきー,メンバー（2 か月）,がんばれー！
-0:24,sonnet,メンバー（2 か月）,かちきず
-0:23,葵,非メンバー,がんばれー！！！
-0:23,にら,非メンバー,がんばれ
-0:23,月歩,非メンバー,サムネイルこだわらない男
-0:23,ラジト,非メンバー,決 勝
-0:22,斎藤ゆづる,メンバー（2 か月）,お前が勝つ未来が見える 未来最高！
-0:22,ray adon,非メンバー,行くぞ社！勝ってくれ！
-0:21,・ hematite。,非メンバー,やしきず、勝って来年を迎えようぜ！
-0:21,Lumina,非メンバー,俺たちの社が輝くところを見せてくれ
-0:21,I DRAGON,非メンバー,やしきずしかかたん
-0:21,しょう。,非メンバー,アベレージゲーだぞ！
-0:20,colleagues coco,非メンバー,社さん頑張れ～！！！
-0:19,Motoco,新規メンバー,:_846Mojii::_846Mojii::_846Mojide::_846Mojisu::_846Mojita::_846Mojii:
-0:19,うみぬこ,非メンバー,信じてるぜやしろぉ！
-0:19,の,非メンバー,がんばれー！
-0:17,Player 5,メンバー（2 か月）,:_846Mojita::_846Mojii::_846Bikkuri:
-0:16,ガルーラ使いは犯罪者,非メンバー,かませ！！！！！
-0:16,千野零,メンバー（1 か月）,がんばれ！！
-0:16,イロハ,非メンバー,もちろん1位だよなあ！！
-0:15,REk2りくつー,メンバー（2 か月）,3位まで確定させるのか
-0:15,夜霧,非メンバー,愛してるぞ社ー！
-0:15,V用,メンバー（1 か月）,うめももの先生に祝われてるのあちぃ
-0:15,花環,メンバー（2 か月）,:_846Mojita::_846Mojii::_846Bikkuri:
-0:14,W A,メンバー（2 か月）,またシンプルサムネ
-0:14,ESSEI mk8,非メンバー,ファイト〜！
-0:12,しゅきりん,メンバー（1 か月）,社_WIN
-0:11,夏野菜,非メンバー,社がんば）！
-0:10,桜一輪,非メンバー,ファイト！！
-0:09,sekixtuchiせきっち（DAI or セッキー）,非メンバー,6レースねぇ
-0:09,・ hematite。,非メンバー,お前らが女神になるんだよ！！！！
-0:08,Takumi Morita,非メンバー,決勝楽しんでください！！！！！
-0:08,わかメロン,非メンバー,６レース１位２位３位決まるまで終わらない
-0:08,鮎の塩焼き,メンバー（2 か月）,決勝！
-0:07,游华,非メンバー,勝ってやしきず
-0:06,秋谷刀[あきやがたな],非メンバー,いける！
-0:06,タイラジュン,メンバー（2 か月）,勝利祈願
-0:03,ゆず銘茶,メンバー（2 か月）,:_846Mojita::_846Mojii::_846Bikkuri:
-0:03,づす,非メンバー,信じてるぞ
-0:03,ふとまき,非メンバー,頑張れー！！！
-0:02,ふわ,メンバー（2 か月）,がんばれー！
-0:02,塩レモン,非メンバー,ファイト！
-0:02,かべ丸,非メンバー,がんざれ！！！！！
-0:01,わらびもち,非メンバー,夢を見させてくれ...社！
-0:01,エシャロット.,非メンバー,がんばれ！！
0:00,夏野菜,非メンバー,絶対１位とれよ！
0:00,おやすみモード,非メンバー,社行けーー！！！
0:00,道海,メンバー（2 か月）,オタクくんしか勝たん
0:01,mob,メンバー（2 か月）,がんばれ
0:03,みつ,非メンバー,勿論1位だぁ！
0:03,・ hematite。,非メンバー,ほんひまとの対決だ…
0:03,ろっと,メンバー（2 か月）,落ち着いてけー！
0:03,meta,新規メンバー,誰が優勝してもおかしくないね
0:06,そら,メンバー（2 か月）,1位の景色見せてくれ
0:07,ないんなんでも,非メンバー,頑張れぇぇぅぅ
0:07,こまだヒロミ,メンバー（2 か月）,がんばえー！！！
0:07,咲楽,メンバー（1 か月）,応援してるぞ！！！
0:09,madoromi suimu,非メンバー,頑張れ！！！！
0:09,縁狐_enko_,メンバー（2 か月）,サムネシンプル
0:10,Castor,非メンバー,頑張れーー！！！！
0:10,ゆうゆう,非メンバー,やしきず！勝ってくれ！
0:11,かたなし。,非メンバー,頑張って！！！
0:13,しょう,メンバー（2 か月）,頑張れ！勝てるぞ！
