timestamp,author_name,membership,text
-3:59,ラロク,メンバー（2 か月）,:_846Mojita::_846Mojii:き:_846Bikkuri:
-3:56,。なごやん,非メンバー,待機！
-3:50,つるがつがる,メンバー（2 か月）,待機
-3:42,薙堂哿蓮〈Nadou Karen〉,非メンバー,待機
-3:38,榎茸,メンバー（2 か月）,:_846Mojita::_846Mojii:
-3:35,しー,非メンバー,CRで勝とう
-3:34,NIKU,メンバー（1 か月）,:_846Mojita::_846Mojii:き
-3:33,シガード,メンバー（2 か月）,マリカ三位おめ
-3:31,厚田仮,メンバー（2 か月）,ハンドルをチャーライに持ち替えてもろて
-3:30,美味しい海苔,非メンバー,ｲｸｿﾞｰ
-3:27,源光政,メンバー（2 か月）,:_846Mojita::_846Mojii::_846Bikkuri:
-3:27,阿吽,非メンバー,待機
-3:25,。なごやん,非メンバー,概要欄割とのんきで草
-3:19,赤羽渚,非メンバー,待機
-3:14,おシゲ,メンバー（2 か月）,:_846Mojita::_846Mojii:
-3:09,えあえあ,メンバー（2 か月）,キャプ翼ワンちゃん年内に一回あるかもって言ってたの嬉しみ
-3:03,なるはる,非メンバー,合流したっぽい
-2:55,るな,メンバー（2 か月）,あったけぇなあ
-2:53,おシゲ,メンバー（2 か月）,決勝だけ見られてたっぽいやね
-2:49,佑-たすく-,メンバー（2 か月）,:_846Mojita::_846Mojii::_846Bikkuri:
-2:48,wa Wa,メンバー（2 か月）,合流きちゃ
-2:40,もとこ,メンバー（2 か月）,3位おめでとうされてる
-2:30,たかさきあゆゆ,メンバー（2 か月）,:_846Mojita::_846Mojita::_846Mojita::_846Mojita::_846Mojii::_846Bikkuri:
-2:14,にろく,メンバー（2 か月）,:_846Mojita::_846Mojii::_846Bikkuri:
-2:06,タイラジュン,メンバー（2 か月）,枠できてたのね
-2:03,meta,新規メンバー,:_846Mojita::_846Mojii::_846Bikkuri:
-1:54,REN 4299,非メンバー,おいで社
-1:50,sasaraim,非メンバー,マリカ入賞者の朝は早い
-1:49,タイラジュン,メンバー（2 か月）,:_846Mojita::_846Mojii::_846Bikkuri:
-1:44,あらみー,メンバー（2 か月）,祝砲をあげよう
-1:42,りょーた,非メンバー,がんばれええええええええ
-1:34,fioret nuyu,非メンバー,概要欄シンプルだけど草
-1:31,ヒゴ山,メンバー（2 か月）,ゆげさん見てくれてたのめっちゃ嬉しいな
-1:29,えあえあ,メンバー（2 か月）,めで:_846Mojita::_846Mojii::_846Bikkuri:
-1:26,りょーた,非メンバー,私は祝砲よ
-1:02,しー,非メンバー,バンガロール草
-0:55,そら,メンバー（2 か月）,ゆげちゃんめっちゃ見てくれてたんだな
-0:52,タイラジュン,メンバー（2 か月）,ゆげさんありがたや
-0:31,えあえあ,メンバー（2 か月）,枠始めてくだされ〜
-0:28,美味しい海苔,非メンバー,エヴァみたいにおめでとうって言うわ
-0:23,もとこ,メンバー（2 か月）,爆速タイピング草
-0:20,斎藤ゆづる,メンバー（2 か月）,「CRカップは優勝しませんか？」
-0:14,斎藤ゆづる,メンバー（2 か月）,しようぜ！
-0:12,wa Wa,メンバー（2 か月）,くるぞ
-0:10,藍色,非メンバー,待機
-0:03,りか乃,メンバー（2 か月）,くるぜ
-0:03,そら,メンバー（2 か月）,くるよ
-0:01,おシゲ,メンバー（2 か月）,枠来るわね
0:03,なるはる,非メンバー,はじまるでぇ〜
0:09,高丸,非メンバー,きちゃ
0:13,S oS,非メンバー,見たｗ
0:17,dustin,非メンバー,きちゃ～！
0:17,にろく,メンバー（2 か月）,こんばんは〜
0:17,スン・ジョミス,非メンバー,きちゃ
0:19,るな,メンバー（2 か月）,きちゃ
0:19,高槻れいん,非メンバー,きちゃ
0:19,たかさきあゆゆ,メンバー（2 か月）,きたわね
0:19,ミズキ,非メンバー,きちゃー
0:20,おシゲ,メンバー（2 か月）,こんばんはー
0:21,ヒゴ山,メンバー（2 か月）,こんばんは〜
0:21,美味しい海苔,非メンバー,きちゃー
0:21,そら,メンバー（2 か月）,お疲れ様〜カスタムも頑張れ！
0:22,まどぶち,非メンバー,こんばんはー
0:22,あかミ,メンバー（2 か月）,2回行動きちゃ
0:23,タイラジュン,メンバー（2 か月）,きちゃー
0:23,千野零,メンバー（1 か月）,きちゃ
0:23,榎茸,メンバー（2 か月）,こんばんは〜
0:23,V狂いのアイホート,非メンバー,きちゃ
0:23,wa Wa,メンバー（2 か月）,こんばんはー！
0:25,かたるしす,非メンバー,きちゃ！
0:25,雨粒,非メンバー,きちゃ！
0:25,源光政,メンバー（2 か月）,きちゃ！
0:27,竹立て掛けた武田,非メンバー,きちゃ！
0:28,まりんご,メンバー（1 か月）,おつおつーー！
0:29,ヤスヤ,非メンバー,こんばんは
0:29,えあえあ,メンバー（2 か月）,こんばんはー
0:31,もとこ,メンバー（2 か月）,きちゃ！
0:32,高丸,非メンバー,草
0:34,斎藤ゆづる,メンバー（2 か月）,:_846Mojia::_846Bikkuri:
0:35,まどか:,非メンバー,さっき聞いたw
0:35,たかさきあゆゆ,メンバー（2 か月）,ネタ振り◯
0:35,dustin,非メンバー,こんばんはー
0:37,すいらん,非メンバー,ふりがへたWW
0:39,wa Wa,メンバー（2 か月）,おめでとーー！
0:39,ミズキ,非メンバー,ゆげちゃん優しい！！
0:40,こはくん,新規メンバー,やしきずおめでとおおおおおおおおおお
0:40,dustin,非メンバー,おめでとう！
0:40,しー,非メンバー,おめでとう！
0:41,えあえあ,メンバー（2 か月）,おめでとうございます！！！！
0:41,それロン,非メンバー,めでたい！
0:41,ヒゴ山,メンバー（2 か月）,茶番で草
0:41,ワナナキ,非メンバー,オタクくんがんばったもんね
0:41,Rr,メンバー（2 か月）,こんばんは！
0:43,大きな手,新規メンバー,雑振りｗ
0:43,薙堂哿蓮〈Nadou Karen〉,非メンバー,おめでとう！
0:43,おシゲ,メンバー（2 か月）,丁寧な流れ
0:44,鮫トレ,非メンバー,2回目なのねｗ
0:44,meta,新規メンバー,おめでとうございます🎉🎉🎉
0:45,S oS,非メンバー,茶番ｗｗ
0:45,黒崎まーみ,メンバー（2 か月）,おめでとうございます！
