timestamp,author_name,membership,text
-25:10,華.,非メンバー,たいきらめ
-24:03,喫茶[きっさ]スピリタス,非メンバー,たいきらめ🌌
-22:48,しじみくん,非メンバー,たいきらめ🌌
-20:38,もこちん,非メンバー,たいきらめ🌌
-20:29,志乃『しの』,非メンバー,たいきらめ🌌
-19:37,本間しゃちょー,非メンバー,たいきらめ🌌
-19:21,なだきょう,非メンバー,たいきらめ🌌
-17:52,しらたまぜんざい,非メンバー,たいきらめ🌌
-17:43,れきれむ,非メンバー,たいきらめ🌌
-16:11,落ちたアポロ,非メンバー,たいきらめ🌌
-15:35,ぐでパンダ,非メンバー,たいきらめ🌌
-14:43,lうさぎl,非メンバー,たいきらめ🌌
-13:45,九頭龍,非メンバー,たいきらめ
-13:04,かわろ,非メンバー,たいきらめ🌌
-11:34,イロハ,非メンバー,たいきらめ🌌
-10:52,harint,非メンバー,たいきらめ🌌
-10:38,かか,非メンバー,たいきらめ🌌
-10:23,ミシェル,非メンバー,たいきらめ
-10:10,えるえふ,非メンバー,たいきらめ🌌
-10:07,おずごんた,非メンバー,たいきらめ
-9:46,みっちー,非メンバー,たいきらめ🌌
-9:43,シズ,非メンバー,たいきらめ
-9:11,フィオナS,非メンバー,たいきらめ🌌
-8:28,瀬戸内はも,非メンバー,たいきらめ🌌
-8:06,リクヤ,非メンバー,たいきらめ🌌
-7:52,モリヤマダ,非メンバー,たいきらめ
-7:51,Ppang,非メンバー,たいきらめ🌌
-7:43,はなでらあまとー,非メンバー,たいきらめ🌌
-7:40,Chee,非メンバー,たいきらめ🌌
-7:39,らるu,非メンバー,たいきらめ🌌
-7:35,しーぷどっぐ,非メンバー,たいきらめ🌌
-7:14,Shun,非メンバー,たいきらめ🌌
-6:34,おくら,非メンバー,たいきらめ🌌
-5:30,Mr that day,非メンバー,たいきらめ🌌
-4:30,マルセミコウモリ,非メンバー,たいきらめー
-4:12,白猫監督,非メンバー,たいきらめ🌌
-3:01,安心院太郎あじむたろう,非メンバー,たいきらめ🌌
-2:00,国岡徹,非メンバー,たいきらめ
-1:30,とろろころも,非メンバー,たいきらめ🌌
-0:59,さより,非メンバー,たいきらめ🌌
0:18,HAL,非メンバー,きちゃ！
0:21,Shun,非メンバー,きちゃ
0:21,Mr that day,非メンバー,きちゃ！
0:22,とろろころも,非メンバー,きちゃ
0:23,モリヤマダ,非メンバー,きちゃ！
0:23,九頭龍,非メンバー,きちゃ
0:23,れきれむ,非メンバー,きちゃ
0:24,Chee,非メンバー,きちゃ
0:27,落ちたアポロ,非メンバー,きちゃ
0:27,しらたまぜんざい,非メンバー,きちゃ！
0:28,みっちー,非メンバー,ついえら
0:28,イチ,非メンバー,きちゃー
0:31,さより,非メンバー,ついえら
0:32,しらたまぜんざい,非メンバー,ついえら
0:34,harint,非メンバー,きちゃ
0:37,おくら,非メンバー,きちゃー
0:39,志乃『しの』,非メンバー,ついえら！
0:40,とも,非メンバー,きちゃ
0:41,国岡徹,非メンバー,きちゃ
0:47,きられ,非メンバー,きちゃ
0:48,しおん,非メンバー,きちゃ！
0:51,しじみくん,非メンバー,きちゃー
1:15,フィオナS,非メンバー,きちゃ
1:15,ロイド,非メンバー,きちゃ!
1:15,山さん,非メンバー,配信助かる
1:18,かわろ,非メンバー,きちゃ
1:19,アスファルト師匠,非メンバー,きちゃー
1:20,安心院太郎あじむたろう,非メンバー,きちゃ
1:34,喫茶[きっさ]スピリタス,非メンバー,きちゃ
1:37,イロハ,非メンバー,きちゃ
1:52,本間しゃちょー,非メンバー,きちゃ
2:10,みっちー,非メンバー,やぁ
