timestamp,author_name,membership,text
-0:53,あるぶしんど,メンバー（2 か月）,がんばる:_yayo:
-0:50,やみっくん,新規メンバー,余裕:_yayo:
-0:47,れい,メンバー（1 年）,がんばれ！
-0:47,こはく,非メンバー,がんばれ！
-0:45,ちょす族の長,非メンバー,応援しに来たやよー
-0:43,natsu,メンバー（6 か月）,今年こそ優勝:_yayo:
-0:41,†ガオ,メンバー（1 年）,笹木ファイト！
-0:41,SNTH,非メンバー,頑張れ
-0:40,ぼんじゅ,メンバー（1 年）,がんばれ笹木～！
-0:38,ゆずれもん,メンバー（6 か月）,咲ちゃん楽しんで〜！
-0:37,Yuha,非メンバー,笹木がんばれ！
-0:37,紺太,メンバー（2 か月）,応援してる:_yayo::_nico:
-0:34,Wairo,メンバー（1 年）,冷静な笹木は強いって古事記にも書いてあった
-0:33,くのっぷ,メンバー（1 年）,笹木ファイト！！
-0:33,NAP zZ,非メンバー,がんば！
-0:29,こめむぎ,非メンバー,応援しやーす
-0:29,わーみー,非メンバー,頑張って！
-0:28,Ryoki,メンバー（1 年）,:_nico::_nico::_nico::_nico::_nico:
-0:25,べにくらげ,非メンバー,応援しにきたーよ。がんばって！
-0:24,ゲットうな丼,メンバー（6 か月）,:virtualhug:
-0:22,のぞみGO,非メンバー,祭りを楽しんでほしいやよー
-0:20,moka take,メンバー（6 か月）,:_maru::_maru::_maru:
-0:20,どろん,メンバー（2 か月）,咲ちゃんがんばって～！！
-0:19,キッズ笹,非メンバー,適度に緊張してけーー
-0:19,こんべー,メンバー（1 か月）,笑顔の笹木がみたい:_yayo:
-0:19,はるさめ,非メンバー,笹木ファイト！
-0:17,ちゅんちゅん丸,非メンバー,ふぁいと
-0:16,茶豆,メンバー（6 か月）,頑張れ！！
-0:15,himawari,新規メンバー,:_chu::_bobo:
-0:14,キミカン,非メンバー,がんばれ～！
-0:13,カッスン,非メンバー,全力だしな！
-0:11,たなかー,非メンバー,笹k
-0:11,おろしこんぶ,メンバー（6 か月）,:_yayo::_yayo:
-0:10,おらたろう,非メンバー,きたぞ
-0:07,ルキルキ,非メンバー,応援しにきたやよー
-0:06,咲咲,メンバー（1 年）,頑張って
-0:03,黒白,非メンバー,笹木こそ最強
-0:03,チュボボーボ・ボーボボ,非メンバー,頑張れ笹木〜！！！
-0:02,BiriBiri,メンバー（6 か月）,:_yayo::_yayo:
-0:02,山田さん,非メンバー,くるねー
-0:02,洋風わらび餅,メンバー（6 か月）,:_chu::_bobo:
-0:01,ありす,メンバー（2 か月）,:_yayo::_yayo:
-0:01,ken games,メンバー（6 か月）,がんばれ〜
-0:01,ニューボルドー,メンバー（2 か月）,ふぁいと:_yayo:
-0:01,おとQ,メンバー（1 年）,ファイト〜！！
-0:00,KEN KEN,メンバー（6 か月）,勝って喜ぶ姿が見たい！
0:02,スギケン,メンバー（1 年）,:_yayo::_yayo:
0:03,rasu don,非メンバー,応援してるやよ～
0:03,だいいんぐ,メンバー（6 か月）,enjoy！enjoy！
0:03,やみっくん,新規メンバー,冷静に！！！
0:03,みお,非メンバー,笹木がんばれ〜
0:05,v v,非メンバー,楽しんでくれー！！！
0:07,あるぺじお,非メンバー,ファイト！
0:09,ぺい,メンバー（1 年）,見守ってるやよー
0:11,くらら,非メンバー,咲ちゃんがんばって！！！！
0:11,無名,新規メンバー,:_yayo::_yayo:
0:13,MM1129,メンバー（1 年）,:_yayo::_yayo:
0:13,乃桜*nozakura*,メンバー（1 か月）,:_yayo::_yayo:
0:13,Wairo,メンバー（1 年）,きちゃ
0:14,ov er,非メンバー,優勝してくれ！
0:14,よよぎそそぎ,非メンバー,きちゃ
0:14,AD KK,メンバー（1 年）,きちゃ
0:17,吉田舞,非メンバー,笹木はやればできる子やよ
0:17,とーふ,メンバー（2 か月）,がんばれ〜！！！
0:17,Junkie aiko,メンバー（1 年）,笹木ファイト:_yayo:
0:17,Shiro,メンバー（6 か月）,:_chu::_bobo:
0:17,オハヨーー,非メンバー,がんば
0:19,平瀬ユナ,非メンバー,勝つぞ！
0:19,dekarucha,メンバー（1 年）,きちゃあああ
0:19,Ryoki,メンバー（1 年）,きちゃ
0:19,とおりゃんせ,非メンバー,がんばれやよ
0:19,あるちうる,メンバー（1 年）,:_oha::_yayo:
0:20,ささみ,非メンバー,がんばれ～！！
0:21,くまま,メンバー（6 か月）,きっちゃああああああああ
0:21,ギガボルト40,メンバー（1 年）,きちゃ
0:21,布団,メンバー（2 か月）,:_yayo::_yayo:
0:22,ナルくん,メンバー（1 年）,きちゃ
0:22,r s,メンバー（6 か月）,がんばれ！！
0:22,ブッブー,メンバー（2 か月）,:_yayo::_yayo:
0:23,ニューボルドー,メンバー（2 か月）,ついえら
0:23,ぼるさん,メンバー（1 年）,:_yayo::_yayo:
0:23,すいすい,メンバー（1 年）,きちゃ！！
0:23,ゆずぽん,メンバー（1 年）,ついえら！
0:23,ムネココ,メンバー（2 か月）,きちゃ
0:23,AD KK,メンバー（1 年）,ついえら
0:23,SAN 5,メンバー（2 か月）,きちゃ
0:23,ことみや,メンバー（6 か月）,きちゃ
0:25,おもちもちプリンタルト,メンバー（2 か月）,:_yayo::_yayo:
0:25,オーレ・ウェルギウス,非メンバー,がんばれー！
0:25,へなちょこ。,メンバー（6 か月）,きちゃ
0:25,natsu,メンバー（6 か月）,きちゃ
0:25,ちーたら,メンバー（6 か月）,きちゃ
0:27,かぁくん,メンバー（2 か月）,50万と同時なるか？
0:27,ボル,非メンバー,きちゃ！
0:27,すてるす,メンバー（1 か月）,きちゃ
0:27,チュボボーボ・ボーボボ,非メンバー,ついえら
0:28,カッスン,非メンバー,笹木しか応援できねぇんだよぉ！！
0:28,Kelvin K,メンバー（2 か月）,:_yayo::_yayo:
0:29,吉高,メンバー（1 年）,ついえら！
0:29,まーみん,メンバー（1 か月）,がんばれー
0:29,オクラトラ,非メンバー,がんばれ～
0:29,yura yura,メンバー（1 年）,楽しんでいこうねー
0:30,てかみ,非メンバー,きちゃ
0:30,TaNbY590,メンバー（1 年）,きちゃ！
0:31,すいすい,メンバー（1 年）,ついえら
0:31,水瀬,メンバー（1 か月）,おおいお
0:31,りりかる,メンバー（2 か月）,きちゃ
0:31,紺太,メンバー（2 か月）,きちゃ
0:31,ヌマクローEX,非メンバー,きちゃぁぁぁぁぁぁ
0:31,TIKUWA,メンバー（1 年）,きちゃ
0:32,ゲットうな丼,メンバー（6 か月）,つうちきた
0:33,だいいんぐ,メンバー（6 か月）,いくぞぉぉぉ
0:33,ユーヒ,メンバー（1 年）,楽しんでくやよー！
0:33,ノーワーク・ノーライフ代表 木月,メンバー（6 か月）,きちゃ！
0:33,K.,メンバー（2 か月）,頑張れ！
0:34,ことみや,メンバー（6 か月）,ついえら
0:35,吉川真人,非メンバー,ファイトやよ～
0:35,ちゃんイカ,非メンバー,やよ〜
0:35,カルパッチョ,非メンバー,笹木今年こそ頼むぞ！
0:35,アマラ,メンバー（2 か月）,ファイト:_yayo:！
0:35,xxzredzxx,非メンバー,Good evening
0:37,猫きゃべつ,メンバー（1 年）,きちゃあああああああああ
0:38,ぽよぽよ守護神,非メンバー,きちゃー
0:38,アスカ,メンバー（1 年）,笹木応援してるで
0:38,えく,メンバー（1 年）,きちゃ
0:39,せきね,新規メンバー,きちゃ！
0:39,MCY,非メンバー,きちゃ
0:39,ごんべ!,非メンバー,笹木なら勝てる！
0:39,はりはりー,メンバー（2 か月）,緊張してそう
0:39,Suzuya,メンバー（6 か月）,笹木頑張れ
0:39,マリスステラ,メンバー（1 年）,:_chu::_bobo:っとシーイング！
0:41,たちばなりん,メンバー（2 か月）,:_yayo::_yayo:
0:41,ニシナ,非メンバー,きちゃ
0:41,ナルくん,メンバー（1 年）,ついえら
0:41,かにん[TW],非メンバー,きちゃ
0:41,となりのトトロメイ,非メンバー,頑張ってやよ〜
0:41,sakuya sub,非メンバー,魔境、始まる。
0:42,あかぼうし,非メンバー,がんばれー！
0:43,ガルーラ使いは犯罪者,非メンバー,がんばやよ〜！
0:43,トイチの金貸し,メンバー（1 年）,ついえら
0:45,TaNbY590,メンバー（1 年）,ついえら
0:45,こしぼね,メンバー（1 年）,がんばってなー！
0:45,キミカン,非メンバー,がんばれええええええ
0:45,たなかと。,メンバー（1 年）,:_yayo::_yayo:
0:45,オレオ,非メンバー,やよやよ
0:45,陣内拓海,非メンバー,応援してるよー
0:46,山口フグ雄,非メンバー,笹木ー
0:47,やみっくん,新規メンバー,:_nico:ファイト:_yayo:
0:47,吉田舞,非メンバー,笹木ーーーーーー！！
0:47,ビにゃーキー,メンバー（2 か月）,:_yayo::_yayo:
0:47,はりはりー,メンバー（2 か月）,:_chu::_bobo::_bobo::_bobo::_bobo::_bobo:
0:47,tamanbo,新規メンバー,いつも通りやれば、咲ちゃんが最強:_yayo:
0:47,ぼんじゅ,メンバー（1 年）,がんばれえええええ
0:47,らぶりぃ,メンバー（1 年）,ここすき！
0:49,カービィ,メンバー（1 年）,がんばれ〜！
0:49,しらたまこ,非メンバー,がんばれぇぇー
0:52,カッスン,非メンバー,決勝いくぞおおおおおおお
0:52,たこ,メンバー（2 か月）,がんばれー
0:52,st mi,非メンバー,がんばれー！！
0:53,jam tyo,メンバー（2 か月）,:_yayo::_yayo:
0:53,Z gremlin,非メンバー,楽しんで！！
0:53,ちーたら,メンバー（6 か月）,ここすき
0:54,おもち,非メンバー,がんばやよー！
0:55,pironen 6,メンバー（1 年）,勝てよ！！
0:57,不二家,非メンバー,おまえの走りが見たかった
0:57,やっちゃん,非メンバー,きたやよ
0:59,#バーチャルせろり,メンバー（1 年）,がんばれええええええ
0:59,さんちゃま,メンバー（1 年）,ふぁいとやよ～
0:59,おもちもちプリンタルト,メンバー（2 か月）,:_chu::_bobo::_bobo::_bobo:
1:00,鶴翔,非メンバー,楽しんでいこう！
1:00,しろうさぎ,非メンバー,頑張れ〜！！！
1:01,山口フグ雄,非メンバー,笹木応援してるぞー
1:01,にしこう,非メンバー,がんば！！
1:03,nao nao,非メンバー,笹木がんばれー！！
1:05,およね,メンバー（1 か月）,:_chu::_bobo::_bobo::_bobo:
1:05,たなかー,非メンバー,笹木やよー
1:05,ばくさん,メンバー（1 年）,きちゃ！
1:06,ニューボルドー,メンバー（2 か月）,:_chu::_bobo::_bobo::_bobo::_bobo::_bobo::_bobo::_bobo:
1:06,Cassiniカッシーニ,非メンバー,笹木が優勝やよ～
1:07,カルパッチョ,非メンバー,葛葉と剣持に勝とう
1:07,無名,新規メンバー,頑張れ笹木:_chu::_bobo::_bobo::_bobo::_bobo::_bobo::_bobo::_bobo::_bobo:
1:07,家鴨,非メンバー,まずはここを勝ち上がらんとな
1:07,まめっこ,メンバー（2 か月）,頑張れー！
1:09,カルバリン,メンバー（6 か月）,御武運を、横綱
1:09,狭霧れもん,メンバー（6 か月）,がんばれー
1:11,泣く子も黙る上腕二頭筋,非メンバー,魔境を超えろ！
1:15,とてぃー,非メンバー,頑張って！
1:15,じよのじ,非メンバー,笹木全力で走れえええええ
1:15,Momo M,非メンバー,ロリの神様がどうにかしてくれる！
1:16,名前を入力してください。,非メンバー,1位通過するやよ〜
1:16,たらこたらkos,非メンバー,頑張ってー！
1:16,color game,非メンバー,がんばれ！
1:16,エムタス,非メンバー,がんばれー
1:16,おでん,新規メンバー,:_chu::_bobo::_bobo::_bobo::_bobo::_bobo::_bobo:
1:17,きゃめやまgoogle,非メンバー,Bリーグ大変だけど頑張れ！笹木！
1:17,ROA,非メンバー,ファイトやよ〜
1:17,ゆずれもん,メンバー（6 か月）,誰よりも楽しむやよ！
1:17,ナルくん,メンバー（1 年）,:_chu::_bobo::_bobo::_bobo::_bobo::_bobo:
1:17,もちきなこ,メンバー（2 か月）,がんばれ！
1:19,こみん,非メンバー,がんばれしゃしゃ〜！！！
1:19,カッスン,非メンバー,判断重要だぞ！
1:19,ズシ,メンバー（1 か月）,:_chu::_bobo::_bobo::_bobo::_bobo::_bobo::_bobo::_bobo:
1:20,かすてら,メンバー（2 か月）,:_chu::_bobo::_bobo::_bobo::_bobo::_bobo::_bobo:
1:25,カルパッチョ,非メンバー,50万人いくぞ
1:25,Junkie aiko,メンバー（1 年）,もうすぐ５０万人だ
1:25,柳やなぎ,非メンバー,反転笹木が見れるか？
1:25,不二家,非メンバー,不憫さえなければアベレージ高いからいける
1:26,ゆずぽん,メンバー（1 年）,笹木ならいける！
1:27,けちゃ,メンバー（1 年）,笹木がんばれえええええええええ
1:27,ゲットうな丼,メンバー（6 か月）,:shelterin:
1:27,カラーテレビ,非メンバー,笹木いける！！
1:27,まこと,メンバー（2 か月）,:_chu::_bobo::_bobo::_bobo::_bobo::_bobo:
1:27,はりはりー,メンバー（2 か月）,:_jouzu::_maru:
