video_id,title,date,duration,duration_hms,num_comments,num_accounts,cps,num_members0,num_members1,num_members2,num_members3,num_members4,num_members5,num_members6
RBP6ES9UN1E,【 #笹木咲3周年記念衣装 】みんなが考えてくれた新衣装をおひろめ。【にじさんじ/笹木咲】,2020-12-30,3428,0h 57m 8s,7804,1801,2.2765460910151694,1354,23,12,103,127,182,0
mTHSsKzphbA,【歌ってみた】チャイナアドバイス / 笹木咲 cover,2020-12-30,303,0h 5m 3s,1188,586,3.9207920792079207,344,7,6,52,73,104,0
XvHWayM-Bcw,今年も終わるのでぱーっとメダルゲームでがっぽがぽ。【にじさんじ/笹木咲】,2020-12-28,6650,1h 50m 50s,9032,1816,1.3581954887218044,1496,20,7,70,76,147,0
Zt9ThpuNxPw,【マリカ8DX】大会本選、準決勝やよ～！【にじさんじ/笹木咲】,2020-12-26,2915,0h 48m 35s,4863,1225,1.6682675814751287,834,23,18,86,116,148,0
p1mwzQOiaLQ,【マリカ8DX】大会本選やよ～！【にじさんじ/笹木咲】,2020-12-26,2783,0h 46m 23s,4909,1297,1.7639238232123609,941,17,16,78,109,136,0
ZG_vkZCxslk,５才になったさくゆいがみんなの質問とお悩みにこたえる。,2020-12-25,2633,0h 43m 53s,5626,1647,2.1367261678693508,1369,15,7,62,80,114,0
Zq16-TUSrMI,【マリカ8DX】大会にむけて練習するやよ！【にじさんじ/笹木咲】,2020-12-15,7714,2h 8m 34s,12023,1464,1.5585947627689913,1124,17,24,38,142,119,0
FIW9OFR-6ps,つかのまのメダルゲームであそぶじかん。【にじさんじ/笹木咲】,2020-12-13,6631,1h 50m 31s,14294,1815,2.155632634595084,1494,13,23,29,139,117,0
s1C6ntAXlss,レバガチャイベントの振り返りとマリメ紹介。【にじさんじ/笹木咲】,2020-12-09,6720,1h 52m 0s,11692,1108,1.7398809523809524,776,19,22,24,156,111,0
y3XMjvXZYWM,【近況報告】気づけば明日がイベントな件。【にじさんじ/笹木咲】,2020-12-07,3883,1h 4m 43s,11679,1960,3.0077259850630957,1604,25,21,18,164,128,0
