timestamp,author_name,membership,text
-5:15,Gaoren,非メンバー,音響頑張るんだ
-5:14,ヒイロGARUPAN Meister,メンバー（1 年）,:_midoriYoo::_midoriKii::_midoriYoo::_midoriKii:
-5:12,寝ない,非メンバー,音響くんがんばえーーー！！
-5:08,なぎ,非メンバー,音響くんがんばれ~~~
-5:05,マツタケ!,非メンバー,プリキュアの映画みたいやな
-4:47,mrd taiga,メンバー（1 年）,音響くんに俺たちの命がかかっている.....!!
-4:46,たけかず曹長,メンバー（1 年）,がんばえー！
-4:46,アヌビス,非メンバー,皆んな！音響にパワーをおくって！
-4:45,居宮梨菜,メンバー（1 年）,:_midoriSusi02:
-4:43,サカナ,非メンバー,頑張って～音響君！
-4:31,まっしろなネコ,非メンバー,がんばれ〜
-4:31,MC金子,非メンバー,失ってから大切さに気付く
-4:22,なぎ,非メンバー,(ライトふりふり)
-4:17,食べたいおいも,非メンバー,がんばえ〜〜〜！！
-4:16,さのけんてい,非メンバー,応援上映草
-4:09,mrd taiga,メンバー（1 年）,音響、がんばれ
-4:05,マツタケ!,非メンバー,歌の歌詞みたいなコメントあって草
-4:02,Naイチ,メンバー（6 か月）,これは昔使ってた音響機器が戻ってくる胸熱パターンでは？
-3:54,み゙,メンバー（6 か月）,:_midoriPanda02::_midoriPanda02:
-3:47,アヌビス,非メンバー,音響にパワーが溜まってきたわ！もう一踏ん張りよ！
-3:45,じゃこ,新規メンバー,みんなの応援が音響すんの力になる
-3:41,マツタケ!,非メンバー,胸熱パターンw
-3:33,あいうた,メンバー（2 か月）,音響くんがんばれーー！！！！！
-3:16,空閑,メンバー（6 か月）,立てええ立つんだ音響おおおおお
-3:10,なねの,非メンバー,音響さまファイトです
-2:57,マツタケ!,非メンバー,まじでプリキュアの映画みたいになってきたな。ニチアサが喜ぶで
-2:51,ს ̈ㄝ ̈Ⴋᖲ,メンバー（1 年）,まけるな音響－－－！！
-2:30,かおなし,非メンバー,ようこそようこ！
-2:24,りり,非メンバー,がんばれー
-2:20,リンゴの星,非メンバー,音響がんばってくれえええええ
-2:04,姓名,非メンバー,音響くん、頑張ってくれ…(ᵕ̩̩ㅅᵕ̩̩)
-1:47,ノータッチ,非メンバー,こんばんは
-1:40,じゃこ,新規メンバー,音響すん！
-1:39,みーにょ,メンバー（1 年）,がんばれーおんきょー！！！
-1:38,うみなか,新規メンバー,音響くんがんばれ…!
-1:36,コノイト,新規メンバー,音響ppppewer!!!
-1:19,姓名,非メンバー,頑張れ！
-1:12,MC金子,非メンバー,みんなは音響くんの味方だよ
-1:10,アルさん,非メンバー,音響頑張れ……！！！！
-1:04,アヌビス,非メンバー,音響、、、俺との約束わすれるんじゃ、、ねぇ、、、ぞ、_:(´ཀ`」∠):
-0:55,みひろみひろ,非メンバー,ふぁいと〜
-0:29,マツタケ!,非メンバー,死人出てて笑えなくなってきてるぞw
-0:22,Naイチ,メンバー（6 か月）,ヒロの分まで頑張れ音響
-0:20,コノイト,新規メンバー,ｶﾓﾝ!音響!ｶﾓﾝ!ﾒｪﾝ!
-0:15,Gaoren,非メンバー,ｷﾎﾞｳﾉﾊﾅｰ
-0:01,み゙,メンバー（6 か月）,:_midoriUsagi:
0:03,空閑,メンバー（6 か月）,音響、お前は......お前は配信の柱になれ
0:12,特選イオリ,メンバー（2 か月）,きちゃ
0:13,ゆずちょこ豆腐,非メンバー,きちゃ！！！！
0:13,緑仙channel,確認済み,リクエストお待ちしております。コメントおきがるにどぞ
0:15,アルさん,非メンバー,きちゃ！
0:15,みーにょ,メンバー（1 年）,きちゃあああ！！！！！
0:16,さと,メンバー（6 か月）,きちゃ
0:17,音,非メンバー,きちゃ！
0:17,ひにゃ,メンバー（1 か月）,きちゃ！
0:18,森時,メンバー（6 か月）,きちゃ
0:18,ゆうひまめ,メンバー（6 か月）,きちゃ
0:18,しょうやにゃんだふぉー,非メンバー,きたーーー！
0:19,なび,メンバー（6 か月）,きちゃ！
0:19,ひとみ/Yu Shin Jhang,メンバー（6 か月）,きちゃ
0:19,ソーダ,メンバー（6 か月）,きちゃ！！
0:21,ルイネ,メンバー（1 か月）,きちゃ！
0:21,居宮梨菜,メンバー（1 年）,きちゃ
0:22,びんす,メンバー（1 年）,きちゃ
0:22,ピネ,非メンバー,きちゃーーーーーーー
0:23,アヌビス,非メンバー,音響､､お前鬼にならないか？
0:23,Gaoren,非メンバー,きちゃーー
0:23,ポメ,非メンバー,きちゃ！
0:24,すまんです,メンバー（1 年）,こんばんは
0:24,リンゴの星,非メンバー,きちゃー！！
0:24,空閑,メンバー（6 か月）,きちゃ！！！
0:25,東雲しの,新規メンバー,やっちゃ！
0:25,さくらの,非メンバー,きちゃ！！
0:25,りう,非メンバー,きちゃ！
0:26,mrd taiga,メンバー（1 年）,きちゃー！！！！
0:26,颯佑,非メンバー,きた！！
0:26,マツタケ!,非メンバー,いろんな作品の引き継ぎシーンが
0:26,kie,メンバー（1 年）,:_midoriSusi::_midoriSusi02::_midoriSusi::_midoriSusi02::_midoriSusi:
0:26,かおなし,非メンバー,音響！よくやった！
