timestamp,author_name,membership,text
-5:50,金庫,メンバー（2 か月）,待機
-5:36,佐々木玲,新規メンバー,:_midoriUuu::_midoriKii::_midoriUuu::_midoriKii::_midoriDad::_midoriYoo:
-5:26,しゅー.,メンバー（6 か月）,緑仙:_midoriSuu::_midoriNnn::_midoriSuu::_midoriKii:
-5:18,かにかま,非メンバー,すてきなホリデイ聞きたいな
-5:12,野木梨詠,非メンバー,ベリーメリークリスマスとかできるのなら聞きたいなあ
-5:06,りそら,メンバー（2 か月）,すん:_midoriSuu::_midoriNnn:
-4:54,させんさき,メンバー（1 年）,待機
-4:53,佐々木玲,新規メンバー,:_midoriRii:
-4:50,寝ない,非メンバー,緑仙すん可愛いね
-4:47,るーあですよ,非メンバー,クリスマスなんかいらない聴きたいです
-4:39,ユティ,非メンバー,スターライトパレード聴きたいです！
-4:32,イワノフ,メンバー（1 年）,緑仙すんすき
-4:24,カゲ。,非メンバー,恋人がサンタクロース…いかが？
-4:16,コノサキ,メンバー（1 年）,緑仙すんすん大好き
-4:16,ラノ,非メンバー,緑仙すんすこよ
-4:12,居宮梨菜,メンバー（1 年）,:_midoriSuu::_midoriNnn::_midoriSuu::_midoriNnn:
-4:06,なび,メンバー（6 か月）,:_midoriRii::_midoriXyu::_midoriUuu::_midoriShi::_midoriEee::_midoriNnn::_midoriSuu::_midoriNnn:
-4:04,よむご염고,メンバー（2 か月）,:_midoriSusi::_midoriSusi02:
-3:59,森時,メンバー（6 か月）,黒木渚さんのカルデラききたい
-3:53,なび,メンバー（6 か月）,:_midoriSusi02::_midoriSuu::_midoriShi::_midoriSusi:
-3:53,はくさい,メンバー（6 か月）,:_midoriRii::_midoriXyu::_midoriUuu::_midoriShi::_midoriEee::_midoriNnn::_midoriSuu::_midoriNnn:
-3:49,吾輩は100万回生きたネコである,非メンバー,クリスマス·イブ
-3:44,Jacque,非メンバー,:shelterin:
-3:44,イヴちゃん,新規メンバー,これならトレンド入り出来ちゃうね
-3:37,てんおー,メンバー（6 か月）,:_midoriSusi02::_midoriSusi:
-3:20,させんさき,メンバー（1 年）,:_midoriSuu::_midoriNnn::_midoriSuu::_midoriKii:
-3:16,まっしろなネコ,非メンバー,うきうき
