timestamp,author_name,membership,text
-4:33,みぞれ星人,メンバー（6 か月）,:_舞元絵文字漢字舞::_舞元絵文字漢字元::_舞元絵文字かんぱいの杯::_舞元絵文字ひらがなの::_舞元絵文字漢字じ::_舞元絵文字漢字かん::_舞元絵文字ひらがなだ:
-4:31,kueru,メンバー（6 か月）,ビリビリしてきた
-4:22,ファン不安,非メンバー,順当にいけば勝てるぞ！！
-4:22,如月ツカサ,メンバー（1 年）,カジュアル極めてけ！
-4:12,ナマズ仙人,メンバー（1 年）,:_舞元絵文字かんぱいの杯::_舞元絵文字ひらがなの::_舞元絵文字漢字じ::_舞元絵文字漢字かん::_舞元絵文字ひらがなだ::_舞元絵文字びっくりまーく:
-4:11,好々爺,メンバー（1 年）,やったれえええええええええええ
-3:58,Mt.Berutarube,非メンバー,準決勝進出目指して
-3:54,浅葱鴨,非メンバー,頑張ってくれ！！！
-3:53,近所の地元民,メンバー（2 か月）,:_舞元絵文字漢字舞::_舞元絵文字かんぱいの杯::_舞元絵文字すこすこ:
-3:47,ている,非メンバー,次か？
-3:41,アール,非メンバー,舞ってくれ
-3:40,くもやまい,非メンバー,応援してるぞ舞元！
-3:39,あび,メンバー（1 年）,:_舞元絵文字ひらがなう::_舞元絵文字ひらがなお::_舞元絵文字ひらがなお::_舞元絵文字ひらがなお::_舞元絵文字ひらがなお:
-3:39,フィーカ,メンバー（6 か月）,YOKOHAMAで鍛えた走りを見せてくれ
-3:37,國下趣味倉庫,非メンバー,昨日裁判を受けて罪もなくなり身軽になったはずｗ頑張れ！
-3:35,べーやん,メンバー（2 か月）,:_舞元絵文字ひらがなあ::_舞元絵文字ひらがなが::_舞元絵文字ひらがなき::_舞元絵文字ひらがなの::_舞元絵文字漢字じ::_舞元絵文字漢字かん::_舞元絵文字ひらがなだ::_舞元絵文字ひらがなあ::_舞元絵文字ひらがなあ::_舞元絵文字ひらがなあ::_舞元絵文字ひらがなあ:
-3:13,who am I,非メンバー,決勝で舞元リガー
-3:08,ナマズ仙人,メンバー（1 年）,:_舞元絵文字漢字じ::_舞元絵文字漢字かん::_舞元絵文字ひらがなや::_舞元絵文字ひらがなよ:
-3:08,シア,非メンバー,ファイトー
-3:05,ぽりめらーぜ!,非メンバー,素早いおじさんは〜〜〜すばやい
-3:05,saika,非メンバー,有馬で10万
-2:26,アール,非メンバー,40分始まりだけど、50分で間に合うのか？
-2:04,Mt.Berutarube,非メンバー,紹介とかあるからまあ
-1:50,Mt.Berutarube,非メンバー,短縮した
-1:41,んぎ,メンバー（6 か月）,お、変わった
-1:26,ツナンジュ,メンバー（2 か月）,遅刻:_舞元絵文字燃えろ舞元::_舞元絵文字漢字舞::_舞元絵文字漢字元::_舞元絵文字燃えろ舞元:回避
-1:23,タフマン,非メンバー,早まったな
-1:16,鳩,非メンバー,有馬に備えてあらゆる運を残しておくべき。
-0:57,依吹銀,メンバー（6 か月）,Bがもう終わったから予定より開始が早まったのか
-0:57,照広アキラ-てるひろあきら,非メンバー,おじさん頑張れ
-0:56,アール,非メンバー,また早まったな
-0:48,N希望,メンバー（6 か月）,:_舞元絵文字ひらがなお::_舞元絵文字ひらがなう::_舞元絵文字ひらがなお::_舞元絵文字ひらがなう::_舞元絵文字ひらがなお::_舞元絵文字ひらがなう::_舞元絵文字ひらがなお::_舞元絵文字ひらがなう:
-0:39,んぎ,メンバー（6 か月）,見通し、ヨシ！
-0:37,依吹銀,メンバー（6 か月）,あら さらに早まったな
