timestamp,author_name,membership,text
-1:44,ぽん,非メンバー,ミケ正気か
-1:41,塩だれ,非メンバー,二重丸が上なのねありがとう
-1:39,GGG,メンバー（1 年）,えぐ
-1:38,和太鼓ぼん,非メンバー,17万やべ
-1:36,アリスベル,メンバー（1 年）,またお嬢がアンケート取ってる・・・
-1:36,コンテナ箱,非メンバー,配信そろそろか
-1:31,はか,非メンバー,どうせ みんな いなくなる
-1:30,あわあわ,非メンバー,ななしさんニキ訂正あざます
-1:23,ほたて屋べえ,非メンバー,正気か！？
-1:19,クロウザー,メンバー（6 か月）,舞元 13万、ミケ17万 あとの3人もやばそう・・・
-1:18,みぞれ星人,メンバー（6 か月）,さあさあ
-1:17,Dr. Alun,メンバー（1 年）,17万すげぇな
-1:16,リライズ,非メンバー,ミケ今日もしぬんか…？
-1:09,むりあくるむ,非メンバー,司は失いたくない賭け方するけどミケは「失いたいの？」って賭け方する
-1:06,やひろ,非メンバー,国庫が…
-1:05,巷,メンバー（6 か月）,:_舞元絵文字ひらがなお:じ:_舞元絵文字ひらがなよ::_舞元絵文字ひらがなう::_舞元絵文字正気か:
-1:05,ペペロンチーノ,メンバー（6 か月）,17万……！？
-0:59,たかしかし,非メンバー,サムネの真ん中の優男まじでこええ
-0:57,小梅,非メンバー,痙攣してきた
-0:56,エレナブラヴァツキー,非メンバー,もどってきて１割ぐらいになりそう(お嬢
-0:54,おかか,メンバー（2 か月）,ビリビリしてきた
-0:54,orient,非メンバー,次回、ミケ死す
-0:52,ろかがみ,メンバー（1 年）,１７万・・・
-0:48,ヌゥンヌゥイ,非メンバー,叶が一番エグそう...一番金銭感覚狂ってるから
-0:41,湯葉醤油,非メンバー,ひえっ
-0:41,みぞれ星人,メンバー（6 か月）,ミケ〇んだら実質俺も死ぬから勘弁して欲しい
-0:40,Flanve F,非メンバー,死なないで…
-0:39,のめこっぷ,メンバー（1 年）,:_舞元絵文字漢字じ::_舞元絵文字漢字かん::_舞元絵文字ひらがなだ::_舞元絵文字びっくりまーく:
-0:39,もつもつ,メンバー（6 か月）,:_舞元絵文字正気か:
-0:33,GGG,メンバー（1 年）,司、今年は壊れるなよ……
-0:31,はか,非メンバー,お嬢大勝か大負けしかしなさそう
-0:26,塩だれ,非メンバー,お嬢まじで舞元裁判で言ったことと同じことしてるの草
-0:24,しげなが,メンバー（1 年）,13-9軸オナシャス
-0:21,あわあわ,非メンバー,叶くんガチでオッズ操作とかしてきたらおもろい
-0:15,his miya,メンバー（2 か月）,きちゃ！
-0:15,nokia,メンバー（6 か月）,:_舞元絵文字漢字じ::_舞元絵文字漢字かん::_舞元絵文字ひらがなだ::_舞元絵文字ひらがなよ::_舞元絵文字びっくりまーく::_舞元絵文字びっくりまーく::_舞元絵文字びっくりまーく:
-0:14,海江,非メンバー,ビリビリしてきた
