timestamp,author_name,membership,text
-12:23,おしゅ,メンバー（2 か月）,はかせはかわいいなぁ
-11:52,ふにれい,メンバー（11 か月）,はかせはかわいいなぁ
-11:40,カノン,メンバー（11 か月）,はかせはかわいいなぁ
-11:35,紅すけ,メンバー（1 か月）,はかせはかわいいなぁ
-11:28,八代明日華,メンバー（6 か月）,はかせはかわいいなぁ
-10:26,Amir,非メンバー,​はかせはかわいいなぁ
-10:15,志乃『しの』,メンバー（6 か月）,はかせはかわいいなぁ
-10:06,ニンニン,非メンバー,はかせはかわいいなぁ
-9:59,らぷとん,メンバー（11 か月）,はかせはかわいいなぁ
-9:53,ry,非メンバー,はかせはかわいいなぁ
-9:48,ゴンさん,非メンバー,はかせはかわいいなぁ
-8:38,おうみこころ,メンバー（11 か月）,はかせはかわいいなぁ
-8:14,ふるおろ,メンバー（1 か月）,はかせはかわいいなぁ
-7:51,koma,メンバー（3 か月）,はかせはかわいいなぁ
-6:03,柿食う客,非メンバー,はかせはかわいいなぁ
-5:19,ノコツチ,メンバー（11 か月）,sekiro忘れてた…
-5:15,ノコツチ,メンバー（11 か月）,はかせはかわいいなぁ
-5:07,あんのうさぎ,メンバー（11 か月）,​はかせはかわいいなぁ
-4:35,鳴神ハヤト,メンバー（11 か月）,はかせはかわいいなぁ
-2:53,よぞたそ,メンバー（6 か月）,はかせはかわいいなぁ
-2:45,たちばなりん,非メンバー,はかせはかわいいなぁ
-2:07,kei ta,非メンバー,​はかせはかわいいなぁ
-1:59,ホイップあんぱん,非メンバー,はかせはかわいいなぁ
-1:48,きなこもち,メンバー（11 か月）,おは…
-1:47,yagura,メンバー（6 か月）,おは…おは…
-1:45,ふるおろ,メンバー（1 か月）,おは…
-1:44,カノン,メンバー（11 か月）,おは…おは…
-1:42,よぞたそ,メンバー（6 か月）,おは…
-1:35,ニンニン,非メンバー,おは…
-1:34,鳴神ハヤト,メンバー（6 か月）,おは…
-1:30,切嗣だよ,メンバー（11 か月）,おは…
-1:28,べっすぅ,メンバー（3 か月）,おは...
-1:28,ホイップあんぱん,非メンバー,おは…
-1:27,kei ta,非メンバー,おは…
-1:19,偲音,メンバー（6 か月）,おは...
-1:12,八代明日華,メンバー（11 か月）,おは……おは……
-0:56,ねこわん,メンバー（11 か月）,おは…
-0:49,紅すけ,メンバー（1 か月）,おは…
-0:49,Night owl,メンバー（1 か月）,おは…
-0:47,d,メンバー（6 か月）,おは...
-0:36,ki boy,メンバー（2 か月）,おは...
-0:19,たちばなりん,非メンバー,おは…
-0:18,冬慈-とうじ,メンバー（3 か月）,おは........
-0:13,クロウ,非メンバー,おは…
-0:10,あんのうさぎ,メンバー（11 か月）,おは...
-0:08,わいな,非メンバー,きえるのか...？
-0:07,9029研究室【筆描絵音】,非メンバー,おは。ちわ。こん。
-0:01,きなこもち,メンバー（11 か月）,ツイート:_えらい:
0:03,八代明日華,メンバー（11 か月）,ツイート:_えらい:
0:04,八代明日華,メンバー（11 か月）,ツイート:_えらい:
0:05,ただのリン,メンバー（10 か月）,ツイート:_えらい:
0:06,とらくしい,メンバー（1 か月）,ツイート:_えらい:
0:07,yagura,メンバー（10 か月）,:_おはかせ:
0:08,ヌベ田:ヌベ助:ヌベ太郎,メンバー（7 か月）,ツイート:_えらい:
0:11,Night owl,メンバー（1 か月）,ツイート:_えらい:
0:11,きなこもち,メンバー（11 か月）,:_おはかせ:
0:12,創大たらゐ,メンバー（10 か月）,:_おはかせ:
0:12,harint,新規メンバー,:_おはかせ:
0:12,ki boy,メンバー（2 か月）,:_おはかせ:
0:13,八代明日華,メンバー（11 か月）,:_おはかせ:
0:14,カノン,メンバー（11 か月）,:_おはかせ:
0:15,アマヤ,メンバー（11 か月）,:_おはかせ:
0:15,ホイップあんぱん,非メンバー,おはかせー
0:16,ニンニン,非メンバー,おはかせ～
0:16,よぞたそ,メンバー（6 か月）,:_おはかせ:
0:16,べっすぅ,メンバー（3 か月）,:_おはかせ:
0:17,のだっち,新規メンバー,ツイート:_えらい:
0:20,あっきぃ,非メンバー,おはかせ〜
0:20,青間ソラ,メンバー（11 か月）,:_おはかせ:
