timestamp,author_name,membership,text
-5:53,四条あき,非メンバー,はかせはかわいいなぁ
-5:13,らぷとん,メンバー（6 か月）,はかせはかわいいなぁ
-5:03,さけ,非メンバー,はかせはかわいいなぁ
-4:36,白鷹,非メンバー,はかせはかわいいなぁ
-4:05,グリーンチーズ,メンバー（6 か月）,はかせはかわいいなぁ
-3:51,くーさく,メンバー（6 か月）,はかせはかわいいなぁ
-3:44,OSaKa Sora,メンバー（1 か月）,はかせはかわいいなぁ
-3:08,ニンニン,非メンバー,はかせはかわいいなぁ
-2:25,森林,非メンバー,はかせはかわいいなぁ
-2:17,よぞたそ,メンバー（6 か月）,はかせはかわいいなぁ
-2:11,harutoは?!645,メンバー（2 か月）,はかせはかわいいなぁ
-2:09,試験用モルモット,メンバー（6 か月）,はかせはかわいいなぁ
-1:36,カノン,メンバー（6 か月）,おは…おは…
-1:35,yagura,メンバー（6 か月）,おは…おは…
-1:32,八代明日華,メンバー（6 か月）,おは……おは……
-1:27,試験用モルモット,メンバー（6 か月）,おはおはしてきた
-1:27,harutoは?!645,メンバー（2 か月）,おは...おは...
-1:26,きなこもち,メンバー（6 か月）,おは…
-1:24,よぞたそ,メンバー（6 か月）,おは…
-1:19,ルルミ-ルツ,メンバー（6 か月）,おは…
-1:16,爽健美茶,非メンバー,おは…
-1:16,hawker,新規メンバー,おは…
-1:15,川上修人,メンバー（2 か月）,おは...
-1:14,ニンニン,非メンバー,おは…
-1:14,邪神クトゥルフ,メンバー（1 か月）,おは……
-1:11,四条あき,非メンバー,おは…
-1:10,ぱら,メンバー（6 か月）,おは...
-1:10,クロウ,非メンバー,おは…
-1:05,乙くん,非メンバー,おは…
-1:05,ふぁいくん,メンバー（2 か月）,おは…
-0:59,さけ,非メンバー,おは…
-0:48,白鷹,非メンバー,おは…
-0:44,d,メンバー（6 か月）,おは...
-0:42,森林,非メンバー,おは…おつ…
-0:41,偲音,メンバー（6 か月）,おは...
-0:24,kueru,メンバー（1 か月）,おは…
-0:20,ki boy,メンバー（2 か月）,おは...
-0:12,わああい,メンバー（2 か月）,おは…
-0:12,川上修人,メンバー（2 か月）,ツイート:_えらい:
-0:10,きなこもち,メンバー（6 か月）,ツイート:_えらい:
-0:07,試験用モルモット,メンバー（6 か月）,ツイート:_えらい:
-0:07,カノン,メンバー（6 か月）,ツイート:_えらい:
-0:02,hawker,新規メンバー,ツイート:_えらい:
-0:01,mcハム,新規メンバー,おはか...
-0:01,ヌベ田:ヌベ助:ヌベ太郎,メンバー（6 か月）,ツイート:_えらい:
-0:01,よぞたそ,メンバー（6 か月）,ツイート:_えらい:
-0:00,OSaKa Sora,メンバー（1 か月）,ツイート:_えらい:
-0:00,八代明日華,メンバー（6 か月）,ツイート:_えらい:
-0:00,ワイス,メンバー（2 か月）,ツイート:_えらい:
0:00,ゲンガー,新規メンバー,ついえら！
0:02,爽健美茶,非メンバー,ツイートえらい❗
0:04,ふぁいくん,メンバー（2 か月）,ツイート:_えらい:
0:04,社畜bot,メンバー（2 か月）,おは…
0:05,だーやま,非メンバー,おは...
0:07,葱ぴょん,新規メンバー,ついーと:_えらい:
0:07,yagura,メンバー（6 か月）,:_おはかせ:
0:11,川上修人,メンバー（2 か月）,:_おはかせ:
0:11,宮村,メンバー（1 か月）,:_えらい:
0:11,harutoは?!645,メンバー（2 か月）,ツイート:_えらい:
0:11,ふちありおかめ,非メンバー,ついえら
0:13,わああい,メンバー（2 か月）,:_おはかせ:
0:13,harutoは?!645,メンバー（2 か月）,:_おはかせ:
0:15,カノン,メンバー（6 か月）,:_おはかせ:
0:15,ニンニン,非メンバー,おはかせ～
0:17,雪黒有希-ユキグロユキ-,新規メンバー,ツイート:_えらい:
0:18,ks 038,メンバー（6 か月）,:_おはかせ:
0:18,ぱら,メンバー（6 か月）,:_おはかせ:
0:18,ゲラポン,メンバー（6 か月）,:_おはかせ:
