timestamp,author_name,membership,text
-30:26,冬慈-とうじ,メンバー（3 か月）,はかせはかわいいなぁ
-28:53,ノコツチ,メンバー（10 か月）,はかせはかわいいなぁ
-27:45,山守かなめ,メンバー（10 か月）,はかせはかわいいなぁ
-27:41,Seven Tree,非メンバー,はかせはかわいいなぁ
-26:49,らぷとん,メンバー（10 か月）,はかせはかわいいなぁ
-26:22,のだっち,新規メンバー,はかせはかわいいなぁ
-24:44,カノン,メンバー（10 か月）,はかせはかわいいなぁ
-22:27,Amir,非メンバー,​はかせはかわいいなぁ
-22:17,カルマン,メンバー（4 か月）,はかせはかわいいなぁ
-21:26,八代明日華,メンバー（10 か月）,はかせはかわいいなぁ
-20:09,もんた,非メンバー,はかせはかわいいなぁ
-18:43,koma,メンバー（3 か月）,はかせはかわいいなぁ
-12:30,きむきむ,新規メンバー,はかせはかわいいなぁ
-9:13,re mini,非メンバー,​はかせはかわいいなぁ
-7:25,Owen Au,メンバー（10 か月）,​​はかせはかわいいなぁ
-6:52,ks 038,メンバー（10 か月）,はかせはかわいいなぁ
-6:50,ふるおろ,メンバー（1 か月）,はかせはかわいいなぁ
-6:25,よぞたそ,メンバー（6 か月）,はかせはかわいいなぁ
-5:39,しょうたShota,非メンバー,はかせはかわいいなぁ
-5:24,グリム,非メンバー,はかせはかわいいなぁ
-5:07,うに休み,新規メンバー,はかせはかわいいなぁ
-4:49,バソールト,メンバー（10 か月）,はかせはかわいいなぁ
-4:21,エビーチカ,メンバー（1 か月）,はかせはかわいいなぁ
-4:17,べっすぅ,メンバー（3 か月）,はかせはかわいいなぁ
-3:31,前原りな,メンバー（5 か月）,はかせはかわいいなぁ
-3:21,きなこもち,メンバー（10 か月）,はかせはかわいいなぁ
-3:11,Jerky Charque,非メンバー,はかせはかわいいなぁ
-2:11,川上修人,メンバー（2 か月）,はかせはかわいいなぁ
-1:45,junky,非メンバー,はかせはかわいいなぁ
-1:42,zero_pika,メンバー（1 か月）,はかせはかわいいなぁ
-1:40,トーテムぽーる,非メンバー,はかせはかわいいなぁ
-1:09,d,メンバー（10 か月）,おは…
-1:09,yagura,メンバー（10 か月）,おは…おは…
-1:09,きなこもち,メンバー（10 か月）,おは…
-1:07,よぞたそ,メンバー（6 か月）,おは…
-1:07,八代明日華,メンバー（10 か月）,おは……おは……
-1:04,たみふる,メンバー（10 か月）,はかせはかわいいなぁ
-0:57,川上修人,メンバー（2 か月）,おは...
-0:49,ニンニン,非メンバー,おは…
-0:49,STヨシハル,メンバー（2 か月）,おは…
-0:48,あーびん,メンバー（10 か月）,おは...
-0:38,くろごま,新規メンバー,おは…
-0:32,もんた,非メンバー,おは…
-0:30,日向柊,メンバー（10 か月）,​おは…
-0:25,四条あき,非メンバー,おは…
-0:21,ヌベ田:ヌベ助:ヌベ太郎,メンバー（6 か月）,おは…
-0:19,ぱら,メンバー（10 か月）,おは…
-0:13,べっすぅ,メンバー（3 か月）,おは...
-0:02,タクマ,メンバー（2 か月）,おは…
-0:00,爽健美茶,非メンバー,おは…
0:01,きなこもち,メンバー（10 か月）,ツイート:_えらい:
0:06,yagura,メンバー（10 か月）,:_おはかせ:
0:06,バソールト,メンバー（10 か月）,おはかせー
0:06,きなこもち,メンバー（10 か月）,:_おはかせ:
0:08,爽健美茶,非メンバー,ツイートえらい❗
0:10,ぱら,メンバー（10 か月）,:_おはかせ:
0:10,冬慈-とうじ,メンバー（3 か月）,:_おはかせ:
0:10,創大たらゐ,メンバー（10 か月）,:_おはかせ:
0:10,d,メンバー（10 か月）,:_おはかせ:
0:11,harint,新規メンバー,:_おはかせ:
0:13,べっすぅ,メンバー（3 か月）,ツイート:_えらい:
0:13,まんぼうどーふ,メンバー（10 か月）,ツイート:_えらい:
0:13,としまるVTube大好き,メンバー（7 か月）,:_おはかせ:
0:13,川上修人,メンバー（2 か月）,:_おはかせ:
0:14,よぞたそ,メンバー（6 か月）,:_おはかせ:
0:14,八代明日華,メンバー（10 か月）,ツイート:_えらい:
0:15,ニンニン,非メンバー,おはかせ～
0:16,ふるおろ,メンバー（1 か月）,:_おはかせ:
0:17,あーびん,メンバー（10 か月）,おはかせー
0:17,ks 038,メンバー（10 か月）,:_おはかせ:
0:17,八代明日華,メンバー（10 か月）,:_おはかせ:
0:18,筆猫,メンバー（5 か月）,:_おはかせ:
0:18,たんすご,新規メンバー,:_おはかせ:
0:20,zero_pika,メンバー（1 か月）,おはかせー
0:21,あっきぃ,非メンバー,おはかせ〜
0:22,のだっち,新規メンバー,:_おはかせ:
0:22,うに休み,新規メンバー,:_おはかせ:
0:23,爽健美茶,非メンバー,おはかせ～
0:24,くろごま,新規メンバー,ツイート:_えらい:
0:24,幽星アスタズ,新規メンバー,おはかせー！
0:24,たみふる,メンバー（10 か月）,:_おはかせ:
0:25,fulひゅーる,メンバー（10 か月）,おはかせー
0:25,もんた,非メンバー,おはかせ〜
0:27,アマヤ,メンバー（10 か月）,:_おはかせ:
0:27,Jerky Charque,非メンバー,おはかせー
0:29,ちほむぎ,非メンバー,おはかせー
0:30,ただのゲーム好き,非メンバー,おはかせー
0:30,ふにれい,メンバー（10 か月）,:_おはかせ:
0:31,四条あき,非メンバー,かわいい
0:31,幽星アスタズ,新規メンバー,:_おはかせ:
0:31,ムム,メンバー（5 か月）,:_おはかせ:
0:32,まんぼうどーふ,メンバー（10 か月）,:_おはかせ:
0:32,STヨシハル,メンバー（2 か月）,:_おはかせ:
0:36,ヌーコン,非メンバー,おはかせー
0:40,幽星アスタズ,新規メンバー,恒例だけどスパチャついてないかな？ｗ
0:40,D2.L. DIVA,メンバー（3 か月）,:_おはかせ:
0:40,歴戦王がっきー,非メンバー,おはかせー
0:43,Voldemort Tw,メンバー（9 か月）,:_おはかせ:
0:44,冬海氷太,メンバー（10 か月）,:_おはかせ:
0:44,べっすぅ,メンバー（3 か月）,:_おはかせ:
0:44,タクマ,メンバー（2 か月）,:_おはかせ:
0:45,三篠_さんじょう,メンバー（10 か月）,:_おはかせ:
0:45,ひなまるる。,メンバー（10 か月）,:_おはかせ:
0:46,あかきき,非メンバー,おはかせ～
0:46,junky,非メンバー,おはかせー
0:51,雪雹,メンバー（7 か月）,おはかせ～
0:51,D2.L. DIVA,メンバー（3 か月）,ツイート:_えらい:
0:52,緋鳭アカツキ。,メンバー（10 か月）,:_おはかせ::_おはかせ:
0:52,桐ヶ谷直葉 リーファ,メンバー（9 か月）,:_おはかせ:
0:52,ゆつき,メンバー（10 か月）,:_おはかせ:
0:54,めめんとふ,メンバー（9 か月）,:_おはかせ:
0:55,ユウキ,メンバー（10 か月）,:_おはかせ:
0:55,くーさく,メンバー（10 か月）,:_おはかせ:
0:56,くろごま,新規メンバー,おはかせー
0:56,かんころ餅,非メンバー,おはかせ〜
0:56,STヨシハル,メンバー（2 か月）,おはかせー
0:56,ハスカップ,メンバー（10 か月）,:_おはかせ:
0:58,•_• Naisar,非メンバー,おはかせー
0:58,歴戦王がっきー,非メンバー,かわいい、、、
0:59,おうみこころ,メンバー（10 か月）,:_おはかせ:
0:59,Incognito,メンバー（10 か月）,:_おはかせ:
1:00,神の付き人,メンバー（10 か月）,おはかせ
1:01,雪黒有希-ユキグロユキ-,新規メンバー,:_おはかせ:
1:01,STヨシハル,メンバー（2 か月）,ツイート:_えらい:
1:03,冬慈-とうじ,メンバー（3 か月）,うーん可愛い
1:03,チリチリGG,新規メンバー,:_おはかせ:
1:04,エビーチカ,メンバー（1 か月）,:_おはかせ:
1:06,ウエニー,新規メンバー,:_おはかせ::_おはかせ::_おはかせ:
1:08,カノン,メンバー（10 か月）,:_おはかせ:
1:10,鯨。,メンバー（5 か月）,:_おはかせ:
1:11,幽星アスタズ,新規メンバー,本当にかわいい
1:18,koma,メンバー（3 か月）,:_おはかせ:
1:18,青間ソラ,メンバー（10 か月）,かわいい
1:19,ムラモ,非メンバー,かわいい
1:21,くろごま,新規メンバー,:_おはかせ::_おはかせ::_おはかせ:
1:23,STヨシハル,メンバー（2 か月）,（時を戻したな）
1:27,川上修人,メンバー（2 か月）,かわいい
1:28,わああい,メンバー（2 か月）,:_おはかせ:
1:29,STヨシハル,メンバー（2 か月）,:_おはかせ:
1:33,サニー,非メンバー,スパチャ定期
1:37,しょう,メンバー（9 か月）,かわいいなぁ
1:40,STヨシハル,メンバー（2 か月）,かわいい
1:42,たみふる,メンバー（10 か月）,かわいい
1:47,ニンニン,非メンバー,神OP定期
1:48,【う】吳至逸,メンバー（1 か月）,:_おはかせ::_おはかせ:
1:50,爽健美茶,非メンバー,かわいい
1:57,きなこもち,メンバー（10 か月）,かわいい
1:59,あまみ飴,新規メンバー,:_おはかせ:
2:05,八代明日華,メンバー（10 か月）,かわいい……
2:05,ムム,メンバー（5 か月）,かわいい
2:06,ノコツチ,メンバー（10 か月）,:_おはかせ:
