timestamp,author_name,membership,text
-7:52,あっきゅあ,メンバー（1 年 2 か月）,とりあえずたぶんゲーム中だから１戦おわってからだろうしちょっとかかりそうかな？
-7:40,万年筋肉痛太郎,非メンバー,ニュイちゃんも誤banされてなかった？
-7:38,ソリンソンソソ,非メンバー,びびった
-7:09,Baron,メンバー（1 か月）,葉山の脚見て落ち着くか
-7:05,クレーユ,メンバー（8 か月）,いきなりないなった
-6:56,Toffee,非メンバー,Youtube go bad
-6:46,藤宮アキ,新規メンバー,:_おはやま:
-5:53,すずみ,非メンバー,葉山は不適切なコンテンツだったか
-5:46,Moron Unknown,非メンバー,did she even know she got baned?
-5:42,으아,新規メンバー,Thumbnail erosugi datta
-5:33,K.G.Junior Ch.,非メンバー,no tweet yet ;w;
-5:17,SDM井上,非メンバー,このサムネはたしかに不適切
-5:11,안돼요229,非メンバー,why she was banned?😡i want pasta stream!😫i hope pasta stream!!😱pasta pasta
-4:54,すずみ,非メンバー,さっきのマッチ終わるまでは待機かな
-4:51,エビocado,メンバー（5 か月）,なんてこったぱんなこった
-4:31,Kz667,非メンバー,落下死したらBANされペックス
-4:26,エビocado,メンバー（5 か月）,パスタストリームは草
-4:19,Baron,メンバー（1 か月）,パスタ求めすぎで草
-4:10,エビocado,メンバー（5 か月）,pasta! pasta!
-4:09,Toffee,非メンバー,Maybe in game music
-4:08,dan dan,非メンバー,葉山が好きすぎる海外ニキｗ
-4:05,ラズゥ,メンバー（6 か月）,開始時から執拗に狙われてた感はある
-4:02,万年筋肉痛太郎,非メンバー,海外ニキに人気で嬉しい
-3:37,ソリンソンソソ,非メンバー,一ゲーム終わったらとりあえず進捗あるかな？
-3:31,charlesouyang,非メンバー,葉山が好き
-3:23,エビocado,メンバー（5 か月）,気長に待つか
-3:19,Baron,メンバー（1 か月）,PaSTa!PaSTa!PaSTa!!!
-3:16,Kz667,非メンバー,消えたアーカイブ帰ってくるかな
-3:08,ニケ,非メンバー,せめてポイントだけでも盛れてるといいな
-2:57,万年筋肉痛太郎,非メンバー,これ気付かずにずっと1人で喋ってたりしないかな
-2:48,万年筋肉痛太郎,非メンバー,流石に気付くか
-2:38,ラズゥ,メンバー（6 か月）,そうだ。あの悲鳴が記録に残らないとか人類の損失だよ
-2:36,ホルモンヌ,メンバー（1 年 3 か月）,さすがにねｗ
-2:29,Baron,メンバー（1 か月）,コメント止まるから気付くだろうなさすがに
-2:25,嶋じろー,新規メンバー,いい悲鳴だったからアーカイブ戻ったら嬉しい
-2:21,ホルモンヌ,メンバー（1 年 3 か月）,誰か切り抜いてないかな？？
-2:14,icl,メンバー（1 年 3 か月）,何バンなんだろね
-2:11,hachi,非メンバー,切り抜きもないなったね
-2:09,kizakura,非メンバー,葉山死んだんか…？
-1:57,オデ,非メンバー,試合中だと戻るの時間かかるかな
-1:50,ソリンソンソソ,非メンバー,リアルタイムで聞けてとりあえずよかった
-1:32,Baron,メンバー（1 か月）,これはちゃんぽんとってて遅くなってると期待しよう
-1:28,icl,メンバー（1 年 3 か月）,反応遅いのは試合が調子いいからと思おう
-1:28,万年筋肉痛太郎,非メンバー,悲鳴から誤banは完璧すぎるんよ
-0:59,万年筋肉痛太郎,非メンバー,ツイートきた！w
-0:51,しらく,非メンバー,ツイート草
-0:46,万年筋肉痛太郎,非メンバー,ほんま草
-0:34,ソリンソンソソ,非メンバー,みんなどこｗ
-0:17,Baron,メンバー（1 か月）,葉山こそどこ？
-0:07,ホルモンヌ,メンバー（1 年 3 か月）,一人にしないでだって
0:07,으아,新規メンバー,:_おーまいがー:
0:11,佐藤タカシ,非メンバー,おかえり！
0:15,lill li,非メンバー,お
0:16,うまおい,非メンバー,ここでやるのか
0:16,Rein Weißritter,非メンバー,OKAERI
0:17,takami,非メンバー,おかえり
0:19,BK PrsPrs,非メンバー,おかえりなさい
0:19,まちょち,メンバー（1 年 2 か月）,ちょうど離れた時に何が起こったのめっちゃ気になるんだけどw
0:22,いまはる,メンバー（1 年 3 か月）,お
0:22,harint,非メンバー,おかえり
0:23,黒焦げ・ばぶ・じゃがいも,メンバー（1 年 2 か月）,:_おはやま::_おはやま::_おはやま:
0:23,みちゅるぎ,メンバー（1 年 2 か月）,おかえりー
0:25,icl,メンバー（1 年 3 か月）,おかえりー
0:25,ソリンソンソソ,非メンバー,お
0:25,으아,新規メンバー,oh?
0:28,hachi,非メンバー,おはやま
0:29,Cheesus,非メンバー,おかえり！
0:29,うえーさん,新規メンバー,おかえり
0:31,オデ,非メンバー,1人でオリンポスの地下いっちゃった
0:32,万年筋肉痛太郎,非メンバー,おかえりー！
0:33,으아,新規メンバー,:_おーまいがー::_おーまいがー::_おーまいがー:
0:33,GLITTER !!,非メンバー,おかえりー
0:33,黒焦げ・ばぶ・じゃがいも,メンバー（1 年 2 か月）,無事かいね
0:33,だいだらぼっち,メンバー（5 か月）,おかえりー
0:33,モダンモダン,非メンバー,おっ！
0:34,かたなし。,非メンバー,おかえり
0:35,嶋じろー,新規メンバー,葉山〜
0:35,かわず,メンバー（7 か月）,:_おはやま:
0:35,ルジェ,メンバー（1 年 1 か月）,:_おはやま:
0:36,笹兎,非メンバー,おかえり葉山ー
0:37,Lu Ag,非メンバー,hoo
0:37,Baron,メンバー（1 か月）,12月3日始まったな
0:37,ホルモンヌ,メンバー（1 年 3 か月）,はやまぁぁぁあ！！！
0:38,うさ,非メンバー,おかー！
0:39,ニケ,非メンバー,おかえりー
0:39,rest,非メンバー,おかえり〜
0:40,으아,新規メンバー,:_おはやま::_おはやま:
0:41,しらく,非メンバー,まだ試合中だったんか
0:43,あっきゅあ,メンバー（1 年 2 か月）,おかえり
0:43,アルバス,非メンバー,おかえり
0:44,あばちゃ,非メンバー,おかえり～
0:44,シャクアマリン,非メンバー,なんでこうなるんだろう？
0:44,まちょち,メンバー（1 年 2 か月）,おかえりw
0:45,xx xx,非メンバー,おかえり
0:45,せなSな,メンバー（1 年 3 か月）,:_やまだ:の帰還
0:46,Heroes,非メンバー,okaeriii
0:46,いまはる,メンバー（1 年 3 か月）,明日の葉山こんにちわ
0:47,ジェグライト,非メンバー,おかえり
0:47,Lu Ag,非メンバー,おかえりー
0:47,ヴォルフラム,メンバー（10 か月）,おかえりー
0:47,Baron,メンバー（1 か月）,おかえり
0:50,Missy miss. Alisha,非メンバー,こんにちは
0:51,嶋じろー,新規メンバー,おかえり
0:55,万年筋肉痛太郎,非メンバー,きたよー！！！
0:55,Random Person,非メンバー,おかえり
0:55,ソリンソンソソ,非メンバー,不適切な悲鳴
0:56,ポロポロ,新規メンバー,葉山無事か？
0:56,未路人,非メンバー,おかえり～ｗ
0:56,HisagiShigure,非メンバー,おかえりー
0:58,沖宮,非メンバー,おはやま
1:01,harint,非メンバー,いいとこまでいっとる
1:04,icl,メンバー（1 年 3 か月）,3部隊じゃん
1:04,うさ,非メンバー,草
1:05,夏目晃司郎,非メンバー,何が行けなかったんだろ？
1:08,BK PrsPrs,非メンバー,3部隊だ
