timestamp,author_name,membership,text
-10:16,斬鬼さん,メンバー（1 年）,:_やまだ::_やまだ:
-8:34,HisagiShigure,非メンバー,葉山のグラマス見届けたい
-8:33,だいだらぼっち,メンバー（6 か月）,:_やまだ::_やまだ:
-8:16,ホルモンヌ,メンバー（1 年）,:_やまだ::_やまだ:
-8:11,B. D.,メンバー（6 か月）,:_やまだ:
-7:43,さばみそ煮,メンバー（6 か月）,:_やまだ:
-6:59,霜R,メンバー（6 か月）,:_やまだ::_やまだ:
-6:55,あっきゅあ,メンバー（1 年）,なんだかんだで9000まで盛ってきてるのはえらい…
-6:40,笹田英次,メンバー（6 か月）,間に合った！
-6:29,くらげ,非メンバー,3時くらいまで見てたけどあそこから9000まで盛ったのすごい
-6:26,いちる,メンバー（1 年）,仕事あるから途中で寝たんやけど、あっからどうやって盛ったん？
-6:18,まさかさかなかな,非メンバー,葉山すげえよ
-6:12,VND,非メンバー,葉山遅刻？
-5:28,ホルモンヌ,メンバー（1 年）,裏で残業してた
-5:18,あっきゅあ,メンバー（1 年）,日が昇ってきてから少し盛れて8000からも結構苦労してたね
-5:17,HisagiShigure,非メンバー,お？
-5:14,さばみそ煮,メンバー（6 か月）,おお、いいサムネ
-5:12,黒焦げ・ばぶ・じゃがいも,メンバー（1 年）,来たぜ耐久サムネ！
-5:12,ホルモンヌ,メンバー（1 年）,サムネ変わったw
-4:45,しぐるーん,メンバー（1 年）,:_やまだ::_やまだ:
-4:37,ko hi,メンバー（1 年）,:_やまだ::_やまだ:
-4:34,美味しいかつ丼,非メンバー,なるんだ〜！
-4:30,先代『剣聖』テレシア・ヴァン・アストレア,非メンバー,ここから何時間かかるかな…
-4:28,斬鬼さん,メンバー（1 年）,12時間で8500まで盛って、配信外で9000まで盛ったみたいよ
-4:23,ラズゥ,メンバー（6 か月）,決意のサムネ変更！
-4:15,いちる,メンバー（1 年）,はえー がんばった
-4:01,HisagiShigure,非メンバー,ワンコ抜く抜かないつってたあたりで記憶が途切れた
-4:00,真顔,非メンバー,作業しながらちょくちょく観ます。頑張れ！
-3:37,HisagiShigure,非メンバー,ほへー配信外で頑張ってたのかぁ
-3:35,VND,非メンバー,結局今環境何が1番勝ち越せる？
-3:24,くらげ,非メンバー,覚悟がちげーや
-2:31,クレーユ,メンバー（6 か月）,今日は仕事休みで見れるやったぜ
-2:29,しゃけ,非メンバー,バアルかアグネク
-2:25,大きなハム,メンバー（1 か月）,さすが漢の中の漢だな葉山さんは．頑張って．
-2:01,いちる,メンバー（1 年）,何使ってもそこそこ勝てるけど、盛るならアグロかバアルとかの早い系やろなぁ
-2:00,しぐるーん,メンバー（1 年）,裏でも頑張ってたみたいだし寝てても許せる
-2:00,間宮たくし,新規メンバー,昨日ワンコらへんで記憶ないんやけど9000まで盛れてさす山です
-1:59,Mr.7,非メンバー,っぱ進化ロイよ
-1:37,VND,非メンバー,名前上がったの全部使ってるけど勝率5割くらいなんだ...助けて
-1:32,曇りのち晴れ,メンバー（1 年）,:_やまだ:
-1:31,kaji kaji,メンバー（6 か月）,笑顔なのに狂気しか感じない良いサムネ
-1:21,笹田英次,メンバー（6 か月）,ランクマならアグネクバアル進化ロイが丸い気がする。時間効率気にしないなら清浄もありなのかな
-0:58,ドンタコス,非メンバー,守護ビショ
-0:55,おっしー。,非メンバー,使われると不快だけどアグネクが一番いい
-0:45,斬鬼さん,メンバー（1 年）,今日は闇落ちせずに頼むで・・・胃が痛くなるｗ
-0:23,VND,非メンバー,とにかく色々試してみるわ 1万位以内入りたいんだ
-0:12,大きなハム,メンバー（1 か月）,23時からの配信とは．．．覚悟を感じますね．
-0:06,ねおり,非メンバー,アグネク多いし守護ビショつかわない？
-0:02,笹田英次,メンバー（6 か月）,ロキサスもあるし正直デッキよりも対面への対処と使い込み大事な良環境だった気がする・・・
-0:00,間宮たくし,新規メンバー,ベヒ入バアルおすすめですよ
0:13,天神,メンバー（6 か月）,強いデッキよりおもろいデッキ使いたい派
0:15,間宮たくし,新規メンバー,きちゃ
0:19,笹田英次,メンバー（6 か月）,きちゃ！
0:21,HisagiShigure,非メンバー,OPきちゃああ
0:21,水素,非メンバー,どうも～～～～
0:25,しぐるーん,メンバー（1 年）,ついえら
0:27,斬鬼さん,メンバー（1 年）,(｀･ω･´)ゞ:_音符山:
0:31,高貴,メンバー（1 年）,:_おーまいがー:
0:31,沢柳水面,メンバー（1 年）,:_おーまいがー:
0:38,いちる,メンバー（1 年）,わいは前期連携とアグネク、今期はバアルとアグエルで1000以内まで盛った
0:38,VND,非メンバー,おはやま
0:40,斬鬼さん,メンバー（1 年）,わんつーさんしーどんどん！
0:45,夜式,メンバー（1 年）,:_おはやま::_おはやま:
0:50,大きなハム,メンバー（1 か月）,はやまのまりん
0:50,しぐるーん,メンバー（1 年）,はやまのまりんすき
0:51,いとお菓子,非メンバー,はやまのまりん
0:51,いちる,メンバー（1 年）,:_おはやま::_おはやま:
0:51,いぐMaRu,メンバー（1 年）,:_舞パネル::_鈴パネル:
0:57,あっきゅあ,メンバー（1 年）,:_おはやま:
0:58,いのうえ,非メンバー,かものはしとコラボしろ
1:02,だいだらぼっち,メンバー（6 か月）,:_おはやま::_おはやま::_おはやま:
1:02,いぐMaRu,メンバー（1 年）,:_おはやま::_おはやま::_おはやま:
1:03,B. D.,メンバー（6 か月）,:_おはやま:
1:04,HisagiShigure,非メンバー,おはやま～
1:05,tuki,メンバー（6 か月）,:_おはやま::_おはやま:
1:05,さばみそ煮,メンバー（6 か月）,おはやま
1:08,沢柳水面,メンバー（1 年）,:_おはやま::_おはやま::_おはやま:
1:09,うなぎねこ,非メンバー,おはやまー
1:11,大きなハム,メンバー（1 か月）,:_葉山ペンライトブルー::_葉山ペンライトブルー::_葉山ペンライトブルー::_舞鈴ペンライトピンク:
1:16,しぐるーん,メンバー（1 年）,:_おはやま::_おはやま::_おはやま:
1:18,ホットケーキ,メンバー（1 年）,:_おはやま:
1:19,けー,非メンバー,きちゃ
1:22,斬鬼さん,メンバー（1 年）,:elbowcough::_葉山ペンライトブルー::elbowcough::_葉山ペンライトブルー::elbowcough:
1:27,VND,非メンバー,おはやま(深夜)
1:31,高貴,メンバー（1 年）,:_おはやま::_おはやま:
1:31,いぐMaRu,メンバー（1 年）,:_おーまいがー::_おーまいがー::_おーまいがー:
1:32,にわのき,メンバー（1 年）,:_おはやま:
1:34,斬鬼さん,メンバー（1 年）,:_おーまいがー:
1:35,だいだらぼっち,メンバー（6 か月）,:_おーまいがー:
1:37,ホルモンヌ,メンバー（1 年）,:_おはやま::_おはやま::_おはやま:
1:39,斬鬼さん,メンバー（1 年）,おはやまー！
1:42,ko hi,メンバー（1 年）,:_おはやま::_おはやま::_おはやま:
1:42,だいだらぼっち,メンバー（6 か月）,おはやまー
1:44,間宮たくし,新規メンバー,おはやま～～
1:44,いまはる,メンバー（1 年）,おはやま！！
1:46,으아,メンバー（1 か月）,:_おはやま::_おはやま::_おはやま:
