timestamp,author_name,membership,text
-0:21,あやか,メンバー（6 か月）,こん…
-0:20,雪桜吹雪,メンバー（4 か月）,＞＜
-0:20,いちこ,非メンバー,こん…
-0:19,ドゥルンドゥルン,メンバー（1 か月）,こん....?
-0:19,ne Ni,メンバー（1 年）,こ…ん…
-0:19,デルタカイ,メンバー（1 年 1 か月）,来ん？
-0:18,藤間彼方,メンバー（1 年 1 か月）,こん...？
-0:18,ケースケ,メンバー（1 年 1 か月）,こん・・・
-0:18,Lili white,非メンバー,こん？
-0:17,GR Y,非メンバー,こん...こん...こん....こん...
-0:17,ハニカム構造,非メンバー,来そう
-0:16,伊達爾郎,メンバー（1 年 1 か月）,就職難か
-0:16,VedA,メンバー（1 年 1 か月）,こん…
-0:16,骨田ワイト,非メンバー,こん…
-0:15,夜天朧十夜,メンバー（1 年）,まぁ待とう
-0:15,黒峰,メンバー（11 か月）,破壊する気満々じゃん
-0:14,泥っこ,非メンバー,こん…
-0:14,九咫つくね,メンバー（6 か月）,魂…
-0:14,にっきーに,非メンバー,こん？
-0:13,Kelvin K,新規メンバー,こん…
-0:13,42度。,メンバー（1 年 1 か月）,こん…＞＜
-0:13,むつきサイ,メンバー（9 か月）,機材トラブルでもあったか？
-0:12,止雨,メンバー（2 か月）,こん…
-0:12,駅前食堂,非メンバー,こん・・・
-0:12,くまくま,メンバー（1 年 1 か月）,こんる…
-0:12,sin claire1024,非メンバー,２分経過
-0:11,スモークチーズ,メンバー（5 か月）,久しぶりの配信で機材調子が悪いとか？
-0:11,死なない不死者,メンバー（8 か月）,安定の迷子かな
-0:11,しもてぃ,メンバー（8 か月）,来ん…来ん…
-0:10,はかせじろう,メンバー（11 か月）,こん...
-0:09,おからく,非メンバー,こん…
-0:08,Ruza,非メンバー,doesn't start?
-0:08,A EC,メンバー（2 か月）,こん...
-0:08,Ray-N,メンバー（11 か月）,こん…
-0:08,tom blown,メンバー（1 か月）,Twitterの別verサムネもかわいい
-0:07,RRR r.,メンバー（5 か月）,こん…
-0:07,一鬼黒狼,新規メンバー,:_こんこん::_こんる:…
-0:07,Zeralinz,非メンバー,こん…
-0:06,まるしの,メンバー（1 年 1 か月）,フレックス制かな
-0:06,鈴原るる【にじさんじ所属】,確認済み,あれれ」
-0:06,Yuu,メンバー（7 か月）,こん…
-0:05,William,非メンバー,こんr......
-0:04,二番目のアカウント,メンバー（9 か月）,魔界との時差16時間だし
-0:04,デルタカイ,メンバー（1 年 1 か月）,こん…
-0:03,kazuブラン,非メンバー,こん…？
-0:02,Daykid,メンバー（5 か月）,こん...
-0:02,ろこ,メンバー（9 か月）,こない？
-0:01,なまこ,メンバー（1 年 1 か月）,まだ書類審査
-0:00,VNクアン,メンバー（4 か月）,スタートボタン押し忘れたとか
-0:00,陰キャ,非メンバー,こん…
0:01,_______,非メンバー,るるちゃ！！
0:01,くじらねこ,メンバー（7 か月）,おや？
0:01,popriver,メンバー（6 か月）,:_びっくり:
0:01,二番目のアカウント,メンバー（9 か月）,れれれ？
0:01,ゴミ養分,非メンバー,」
0:01,よっしーゆっきー,メンバー（2 か月）,あれれ？
0:01,サラダ式十Zo,メンバー（2 か月）,！？
0:02,とも詩音,メンバー（1 年 1 か月）,どうした？
0:02,藤間彼方,メンバー（1 年 1 か月）,あれれー
0:02,如月梁,メンバー（1 か月）,あれれ？
0:02,さちるの[Sachilno],メンバー（6 か月）,あれれ
0:02,西のキーブレードマスター,非メンバー,あれれ
0:02,天月,メンバー（7 か月）,お？
0:02,まるしの,メンバー（1 年 1 か月）,鈴原おる
0:02,死なない不死者,メンバー（8 か月）,あれれ
0:02,Taku Naka,メンバー（1 年 1 か月）,こん
0:02,ぱっくす,メンバー（2 か月）,あれれ
0:03,じん,メンバー（7 か月）,あれれれ
0:03,mitore,非メンバー,あれれ
0:04,紫苑ノノ,メンバー（5 か月）,どしたー？
0:04,すずはさうるす,メンバー（7 か月）,あれれ
0:04,サバドネス,メンバー（2 か月）,どうしたのだ
0:05,あやか,メンバー（6 か月）,あら？
0:05,流れ鈴,非メンバー,あれれ
0:06,Kelvin K,新規メンバー,こん…?
0:06,まるまり,メンバー（8 か月）,あれれ?
0:06,黒峰,メンバー（11 か月）,お？
0:06,パンお米,メンバー（11 か月）,あれれ
0:06,うぞく,メンバー（4 か月）,あれれ？
0:06,sin claire1024,非メンバー,トラブルかな？
0:07,タイタイG2,非メンバー,あれ？
0:07,ペリエ,メンバー（7 か月）,ありゃ？
0:07,ユッケン,メンバー（10 か月）,あれれ
0:07,Reostars,メンバー（5 か月）,:_こんこん::_こんる::_こんっるる:
0:08,わるさー,非メンバー,こん...
0:08,ミラノ,メンバー（1 年 1 か月）,あ、きた
0:08,はかせじろう,メンバー（11 か月）,お
0:08,M O,非メンバー,きちゃ
0:08,天月,メンバー（7 か月）,あれれ～
0:09,集中治療室から逃げ出した女,メンバー（1 年）,あれれ？
0:09,真烏貝戒,メンバー（5 か月）,お
0:09,ケースケ,メンバー（1 年 1 か月）,きた！
0:09,A EC,メンバー（2 か月）,ん？
0:10,くのっぷ,メンバー（1 年 1 か月）,きちゃ
0:10,VNクアン,メンバー（4 か月）,あれれ
0:10,テラノタケ,メンバー（1 年 1 か月）,おお！
0:11,JAMおじさん,メンバー（7 か月）,およよ？
0:12,愚者,メンバー（5 か月）,おや
0:12,ぷしゅう,メンバー（1 年 1 か月）,？
0:13,エビ天大好き,メンバー（7 か月）,あれれ？
0:13,紫苑ノノ,メンバー（5 か月）,お、きたーーー！
0:13,まるしの,メンバー（1 年 1 か月）,こんるるー
0:14,九咫つくね,メンバー（6 か月）,おや？？？
0:14,ジョナサン,メンバー（1 年 1 か月）,おお
0:14,_ onion,メンバー（1 年 1 か月）,こんるる～
0:14,むつきサイ,メンバー（9 か月）,きちゃーー
0:14,накякко,メンバー（1 年）,れ
0:14,hana,非メンバー,魂…？
