timestamp,author_name,membership,text
-0:30,ふにゃふにゃキャンパス,非メンバー,こん....
-0:29,JToPocHi,非メンバー,こん。。
-0:29,gazelulu,メンバー（1 年 1 か月）,こん...
-0:28,まるしの,メンバー（1 年 1 か月）,こんる…
-0:27,usanmusho,メンバー（2 か月）,こん…
-0:27,かささぎ,メンバー（1 年 1 か月）,こん…こん…
-0:25,PLaNETES,非メンバー,Kon
-0:23,VedA,メンバー（1 年 1 か月）,こん…
-0:23,こたきち,メンバー（7 か月）,こん…
-0:22,ケースケ,メンバー（1 年 1 か月）,こん・・・
-0:21,Rainyrain5,メンバー（1 年 1 か月）,こん…
-0:21,_彼岸花,メンバー（11 か月）,こん…こん…
-0:20,らららーい,非メンバー,こん...
-0:20,KT,メンバー（8 か月）,こん…
-0:20,雪桜吹雪,メンバー（4 か月）,こん…
-0:19,gaebolg 48,非メンバー,そういえばぷよテトSってことはSwitch版か
-0:19,ヒロ-mizu,非メンバー,こん…
-0:18,うぞく,メンバー（4 か月）,こん...
-0:18,汐音凛,メンバー（9 か月）,こん…
-0:18,VNクアン,メンバー（4 か月）,こん…
-0:18,笑顏,メンバー（4 か月）,こん...
-0:17,gekido,非メンバー,こん...
-0:17,紫苑ノノ,メンバー（5 か月）,こん…
-0:16,hana,非メンバー,こん…
-0:16,ne Ni,メンバー（1 年）,楽しみ！
-0:16,ノワール・デモン,非メンバー,こん…
-0:15,むつきサイ,メンバー（9 か月）,こん・・・
-0:15,モカチーノ,非メンバー,こん…
-0:14,ファイナ,メンバー（5 か月）,こん...
-0:14,1602,メンバー（1 年）,こん…
-0:14,グラスエイト,非メンバー,こん…
-0:12,とも詩音,メンバー（1 年 1 か月）,こん…こん…
-0:12,赤ベコ・メイド家族,メンバー（10 か月）,選手入場
-0:12,あっちゃん*.。,非メンバー,こん…
-0:11,エシャロット.,非メンバー,こん……
-0:10,みつき,非メンバー,こん・・・
-0:09,ピノコンダンジアンバリィンと申します,非メンバー,こん…
-0:09,デーモンの召喚,メンバー（1 年 1 か月）,こん...
-0:09,時限こんるる〜爆弾,メンバー（11 か月）,こん…
-0:07,足袋を履いた猫,メンバー（2 か月）,こん…
-0:06,おからく,非メンバー,こん…
-0:05,くろ,メンバー（1 か月）,こん…
-0:05,Kelvin K,新規メンバー,こん…
-0:04,デルタカイ,メンバー（1 年 1 か月）,…
-0:04,諫早鶻人,メンバー（2 か月）,こん...
-0:03,ノンケビ ッチ,メンバー（1 年 1 か月）,こん…
-0:03,D3fault,非メンバー,kon...
-0:03,あやか,メンバー（6 か月）,こん…
-0:02,onore dikeido,非メンバー,konlulu
-0:01,ケースケ,メンバー（1 年 1 か月）,こん・・・
0:01,まつ,メンバー（6 か月）,こん……
0:02,ケースケ,メンバー（1 年 1 か月）,こん・・・
0:02,モブ,メンバー（7 か月）,こん…こん…
0:02,これはラグドール,メンバー（1 年）,こん…
0:05,エアーマン,メンバー（7 か月）,こん...
0:06,さちるの[Sachilno],メンバー（6 か月）,こん…こん…
0:06,誰そ彼,非メンバー,こん…
0:07,A EC,メンバー（2 か月）,こん...
0:07,Juan Bautista N.,非メンバー,こん...
0:07,すずはさうるす,メンバー（7 か月）,きたわね
0:08,gazelulu,メンバー（1 年 1 か月）,きちゃーー
0:08,Shoffla,非メンバー,...るる
0:09,むつきサイ,メンバー（9 か月）,きちゃー
0:09,藤間彼方,メンバー（1 年 1 か月）,きちゃ！
0:10,uma Palazzo,メンバー（2 か月）,こん…
0:10,ふもふもっふ,非メンバー,きちゃ
0:10,Sekai,非メンバー,こん...
0:10,千名華,メンバー（4 か月）,きちゃああああああああああ
0:11,gaebolg 48,非メンバー,きちゃ！
0:11,Miles,非メンバー,きちゃー
0:11,まるしの,メンバー（1 年 1 か月）,きたわね
0:11,Pawelosus,非メンバー,こん…
0:12,ジョナサン,メンバー（1 年 1 か月）,こんるるー
0:12,HMS_,非メンバー,こん
0:13,VNクアン,メンバー（4 か月）,こんるる～
0:13,ぽんこつじゃがいも,メンバー（7 か月）,こん……
0:13,kai.,メンバー（11 か月）,こんるる〜
0:13,42度。,メンバー（1 年 1 か月）,こん…
0:14,Nyokky,非メンバー,こんるる〜
0:14,如月梁,メンバー（1 か月）,きちゃああああああ
0:14,なまこ,メンバー（1 年 1 か月）,こんるる
0:14,デュクシ,メンバー（1 年 1 か月）,きた
0:14,うに休み,メンバー（1 か月）,こん...
0:14,みや,メンバー（8 か月）,こん…
0:15,ゴミニート,メンバー（5 か月）,きちゃ！！！！
0:15,Ian Ya,非メンバー,こん...
0:15,hana,非メンバー,きた
0:15,まつ,メンバー（6 か月）,きちゃ！
0:15,デルタカイ,メンバー（1 年 1 か月）,きた
0:15,はやぶさ,メンバー（1 か月）,こん…
0:16,накякко,メンバー（1 年）,こんるるー
0:16,雪桜吹雪,メンバー（4 か月）,きたー
0:16,genjirochan,メンバー（4 か月）,きた
0:16,ミラノ,メンバー（1 年 1 か月）,こんるる～
0:17,_ onion,メンバー（1 年 1 か月）,こんるる～
0:17,かにみそ,メンバー（1 年 1 か月）,きたわね。
0:18,gaebolg 48,非メンバー,こんるる～
0:18,さたん,メンバー（7 か月）,こんるるー
0:18,西のキーブレードマスター,非メンバー,突然きたわね
0:19,名も無い誰か,メンバー（11 か月）,:_こんこん::_こんる::_こんっるる::_こんっるる:➖‼:_びっくり:
0:19,Takeちゃん,非メンバー,きちゃ
0:19,森の人,非メンバー,きた！
0:19,神崎暮人,メンバー（5 か月）,きちゃ！
0:20,エアーマン,メンバー（7 か月）,こんるる～
0:20,ne Ni,メンバー（1 年）,きたね
0:20,gazelulu,メンバー（1 年 1 か月）,こんるる〜
0:20,時限こんるる〜爆弾,メンバー（11 か月）,こんるる〜
0:20,Rainyrain5,メンバー（1 年 1 か月）,きちゃ
0:21,まるしの,メンバー（1 年 1 か月）,こんるるー
0:21,デルタカイ,メンバー（1 年 1 か月）,こんるるー
0:21,42度。,メンバー（1 年 1 か月）,きちゃ！！！
0:21,いくら丼,メンバー（1 年 1 か月）,:_こんるる:こんるる〜
0:21,ゆゆゆ,メンバー（1 年 1 か月）,きた！
0:21,集中治療室から逃げ出した女,メンバー（1 年）,ぱふ！
0:21,マフティー星空,メンバー（5 か月）,きちゃ！
0:22,うぞく,メンバー（4 か月）,きちゃー
0:22,スモークチーズ,メンバー（5 か月）,ぱふ
0:22,テラノタケ,メンバー（1 年 1 か月）,こんるるー！
0:22,Masatoshi Nakiri,メンバー（11 か月）,来た:_こんっるる::_こんっるる:
0:22,はやぶさ,メンバー（1 か月）,こんるる～
0:22,愚者,メンバー（5 か月）,きた
0:23,タピ丸,メンバー（1 年 1 か月）,きちゃ！
0:23,Bell Kuro,メンバー（8 か月）,こんるるー
0:23,よっしーゆっきー,メンバー（2 か月）,きちゃ
0:23,かわたた,メンバー（1 年）,パフ
0:23,Yuu,メンバー（7 か月）,こんるる～
0:25,如月梁,メンバー（1 か月）,始まってる…？
0:25,KAElU,メンバー（11 か月）,きちゃ
0:25,ミラノ,メンバー（1 年 1 か月）,ﾊﾟﾌ
0:25,かささぎ,メンバー（1 年 1 か月）,ﾊﾟｰﾌﾟｰ
0:26,キングともや,非メンバー,！？
0:26,じゅりゅー,メンバー（1 年 1 か月）,やってんねぇ
0:26,秋空脱兎,メンバー（8 か月）,こんるる～！
0:26,ユッケン,メンバー（10 か月）,きちゃ！！
0:26,デルタカイ,メンバー（1 年 1 か月）,やってんねぇ
0:26,ヒロ-mizu,非メンバー,こんるる〜
0:27,Sharp,メンバー（3 か月）,こんるる～～
0:28,はかせじろう,メンバー（11 か月）,きちゃ
0:28,ポン酢,非メンバー,こんるる！
0:28,Wilsonまこと,新規メンバー,​こんるる〜
0:28,やこ,メンバー（1 年 1 か月）,こんるる～
0:28,ケースケ,メンバー（1 年 1 か月）,きたわね！
0:28,9kv8xiyi,メンバー（2 か月）,きたわね。
0:28,蘭ぐふ,非メンバー,こんるる！
0:28,Miles,非メンバー,すでにやってる
0:28,テラノタケ,メンバー（1 年 1 か月）,戦いは既に始まっている！
0:28,デーモンの召喚,メンバー（1 年 1 か月）,ﾊﾟﾌｯ
0:28,ウォーズさん.,メンバー（1 年 1 か月）,こんるる～:_こんるる:
0:28,Zef ia,非メンバー,お
0:28,エシャロット.,非メンバー,きちゃ！
0:28,ひな,メンバー（6 か月）,こんるる～～～
0:29,ふふ,非メンバー,こんるるー
0:29,Lumies,メンバー（5 か月）,こんるる〜
0:29,つきえ,メンバー（1 か月）,こんるる～
0:29,Ray Mooce,非メンバー,始めてるぅ
0:29,千名華,メンバー（4 か月）,音がｗ
0:29,1602,メンバー（1 年）,こんるるー
0:30,くるる,非メンバー,こんるる～
0:30,西のキーブレードマスター,非メンバー,もうやってるしｗ
0:30,A EC,メンバー（2 か月）,きちゃ！
0:30,ヒサクイ,メンバー（8 か月）,きた！
0:31,はりえもん,非メンバー,すでにやってる？
0:31,角部屋好き,非メンバー,こんるる～
0:32,ntm10h,非メンバー,こんるる～
0:32,VNクアン,メンバー（4 か月）,練習しているかなｗ
0:33,ヌワスノワヌワヌワ,メンバー（2 か月）,なんか聴こえるる…
0:34,nui,新規メンバー,こんるる～
0:34,沖縄の獣王,メンバー（5 か月）,きたわね！
0:34,ノンケビ ッチ,メンバー（1 年 1 か月）,こんるる〜
0:34,Treasure Island,メンバー（8 か月）,こんるる〜
0:34,BrokenController,メンバー（5 か月）,?!
0:34,UMU,新規メンバー,こんるる〜
0:34,D3fault,非メンバー,Alright!
0:35,_ onion,メンバー（1 年 1 か月）,すでに始まっていた！？
0:35,遠藤太郎,メンバー（1 年 1 か月）,こんるる～
0:35,Shoffla,非メンバー,こんるる～
0:35,うぞく,メンバー（4 か月）,こんるる～
0:35,むつきサイ,メンバー（9 か月）,もう遊んでる？
0:36,ふもふもっふ,非メンバー,草
0:36,アムカン,メンバー（1 年 1 か月）,こんるる～
0:36,テラノタケ,メンバー（1 年 1 か月）,デモプレイかな？
0:37,うに休み,メンバー（1 か月）,始めてない？
0:37,天月,メンバー（7 か月）,いい音
0:37,イヅ,メンバー（3 か月）,こんるる〜！
0:37,うどん,メンバー（2 か月）,こんるる？？
0:38,ハンムラビパンテーン,非メンバー,もうやってるやん
0:38,加古オオウ,メンバー（2 か月）,こんるる〜
0:38,まるしの,メンバー（1 年 1 か月）,やっとるな
0:39,はっしー,非メンバー,もう始まってる！
0:39,おからく,非メンバー,こんるる～
0:39,真崎ヒロ,非メンバー,何の音ぉ
0:39,nui,新規メンバー,キリっとしててかわいい
0:39,stella/ステラ,メンバー（1 年 1 か月）,こんるる～
0:39,BlaChoco,メンバー（3 か月）,:_こんこん::_こんる::_こんっるる::_こんっるる:~
0:40,カルパス星人,新規メンバー,こんるる〜
0:40,ntm10h,非メンバー,音だけｗ
0:40,だいせんせー,メンバー（1 年 1 か月）,こんるる〜
0:40,高杉さん,メンバー（1 年 1 か月）,なんだなんだ？
0:41,なかむー,非メンバー,組み上げがはやいっ
0:41,ココ太郎,非メンバー,:yougotthis:
0:41,nanana nanana,非メンバー,こんるる～
0:42,刹那巫,メンバー（1 年 1 か月）,こんるる～
0:42,KeyKey,メンバー（1 年 1 か月）,こんるる～
0:42,S K,非メンバー,こんるる～
0:42,ぽんず,非メンバー,きちゃ
0:42,ぷぅ,メンバー（3 か月）,こんるる～
0:43,ワカタニ,非メンバー,こんるる～
0:43,A EC,メンバー（2 か月）,もうやってる？
0:44,デルタカイ,メンバー（1 年 1 か月）,やってんねぇ
0:44,まつ,メンバー（6 か月）,既に始まっておった…！
0:44,lSee,メンバー（9 か月）,玄人っぽい音がする！
0:44,水卜俊輔:みうら,非メンバー,こん…
0:44,雨宮つき,メンバー（1 か月）,:_こんこん::_こんる::_こんっるる::_こんっるる:~
0:44,ケースケ,メンバー（1 年 1 か月）,始まっている！！
0:44,ne Ni,メンバー（1 年）,もうやってるんか？
0:44,ふもふもっふ,非メンバー,こんるる〜
0:45,タピ丸,メンバー（1 年 1 か月）,すでに戦っている…！？
0:45,Corny Cola,メンバー（8 か月）,にぎやかな音
0:45,土星5号,メンバー（11 か月）,こんるる～
0:46,かいろくさん,メンバー（9 か月）,配信はじめてもろて
0:46,あやか,メンバー（6 か月）,こんるる～
0:46,あさの_,メンバー（8 か月）,かわいい
0:46,朝の向日葵,メンバー（1 年 1 か月）,こん…！？
0:47,KT,メンバー（8 か月）,きちゃ！
0:47,赤ベコ・メイド家族,メンバー（10 か月）,フライング原さん？
0:47,Gurataku,非メンバー,始めてるw
0:48,白崎望,非メンバー,こん…
0:49,二郎又吉,メンバー（1 年 1 か月）,:_こんこん::_こんる::_こんっるる::_こんっるる:〰
0:49,うぉると,新規メンバー,既に始めてない？
0:49,Takeちゃん,非メンバー,やってる？
0:49,しぅ,メンバー（8 か月）,きちゃ
0:49,gazelulu,メンバー（1 年 1 か月）,もうやってる？
0:49,uma Palazzo,メンバー（2 か月）,来たわね！
0:49,ホロス,非メンバー,こんるる～
0:50,Nyokky,非メンバー,ﾊﾟﾌｯ
0:50,雪桜吹雪,メンバー（4 か月）,既にやってんねぇｗ
0:50,taru taru,メンバー（5 か月）,こんるる～
0:50,チロル,メンバー（6 か月）,ん？？
0:50,秋空脱兎,メンバー（8 か月）,ん？！
0:50,もぴぴ,メンバー（1 年 1 か月）,やってない・・？
0:50,真崎ヒロ,非メンバー,さすがだぁ
0:50,tom blown,メンバー（1 か月）,ぽぽっ
0:51,DD Erikson【MM】,新規メンバー,こんるる＝
0:51,はりえもん,非メンバー,デモ画面？すでにやってる？
0:51,ディゾ,メンバー（11 か月）,すでに始めてて草
0:51,KT,メンバー（8 か月）,こんるる～！
0:51,ちーずけーきちゃんねる,非メンバー,こんるる〜
0:51,千名華,メンバー（4 か月）,いつから始まると錯覚していた？もう始まっていたのだ！
0:52,ダークおがみや,メンバー（7 か月）,:_こんこん::_こんる:
0:52,夜天朧十夜,メンバー（1 年）,結構結構
0:52,獣狩りのウサギ,メンバー（9 か月）,始まってて草
0:52,Voest,非メンバー,SHE'S PLAYING BEFORE STREAM
0:53,くれーる,非メンバー,こんるる～
0:53,usanmusho,メンバー（2 か月）,こんるる～
0:54,あめや。,メンバー（11 か月）,こんるる～
0:54,カイト99,非メンバー,デモでしょ
0:54,やまのよう,メンバー（1 年 1 か月）,荒ぶるる
0:54,こうぺい。,メンバー（10 か月）,もうやってる笑
0:55,のん子,メンバー（1 年 1 か月）,やってんねぇ！
0:56,このはずく,メンバー（11 か月）,セーガー
0:56,かわたた,メンバー（1 年）,ウォームアップしているな
0:57,西のキーブレードマスター,非メンバー,鈴原は一万年と2千年前から戦い続けている
0:57,-しよ-,非メンバー,戦ってた
0:57,yeye,メンバー（7 か月）,こんるるー
0:58,森の人,非メンバー,！？
0:58,Ray-N,メンバー（11 か月）,こんるる～
0:58,まるしの,メンバー（1 年 1 か月）,こんるるー
0:58,よるべ,メンバー（3 か月）,きこえてる！！！！
0:59,サラダ式十Zo,メンバー（2 か月）,あぁ～ぷよぷよの音～
1:00,しょう,メンバー（1 年 1 か月）,せーがー
1:00,レヴィリア,非メンバー,コントローラー？の音が勢いありすぎるってｗｗ
1:00,あさがおみりんちゃん,非メンバー,スタート画面かもしれない
1:00,スモークチーズ,メンバー（5 か月）,セーガー
1:00,天月,メンバー（7 か月）,おや？
