timestamp,author_name,membership,text
-40:41,竹田まさのり,非メンバー,wkwk
-22:26,二葉。,非メンバー,くぅ…ご飯の時間と被りそう
-11:49,フレディ’ フロイント,メンバー（1 年 2 か月）,待機
-9:13,ゆくちお&sono2525,非メンバー,待機
-8:52,Agata,非メンバー,待機
-7:28,Lucas,メンバー（6 か月）,待機
-6:09,みずまこ,メンバー（1 年 6 か月）,待機
-5:53,菊池ユウ,メンバー（10 か月）,待機〜
-5:22,はにゃ,非メンバー,待機💪
-5:18,レイク・バルバロック,メンバー（1 年 6 か月）,待機
-4:58,はしいろ[emag 8416],メンバー（1 年 3 か月）,待機
-4:53,蓬山之鴉,非メンバー,待機
-4:40,kazaki rondo,非メンバー,待機～
-4:08,サーバル,メンバー（10 か月）,待機
-4:01,ロムロム,メンバー（8 か月）,待機
-3:54,サーゲス,メンバー（7 か月）,待機
-3:41,詩雨お兄ちゃん,メンバー（1 年 2 か月）,待機
-3:28,山椒小粒,メンバー（3 か月）,待機
-2:37,ディア〜,非メンバー,待機！
-2:16,こしあんきなこ,非メンバー,待機
-2:10,たいやき,非メンバー,待機
-2:04,mayumi n,非メンバー,待機
-2:01,Umbrella 110,非メンバー,待機
-2:00,悠人の烤肉工坊,非メンバー,待機
-1:56,助悪狗狼,非メンバー,待機
-1:55,白鼬タメ,非メンバー,たいき
-1:51,ゆう,非メンバー,待機
-1:46,gim-let,メンバー（1 年 6 か月）,待機。
-1:38,ジョーカー,メンバー（1 年 3 か月）,待機
-1:18,雨空みずいろ,メンバー（1 年 3 か月）,待機！
-1:12,wallace zhao,メンバー（1 年 5 か月）,待機
-1:10,すりーぴんぐおじ,メンバー（3 か月）,待機
-1:07,たくみ,非メンバー,待機
-1:02,せらっち,非メンバー,待機！
-1:02,田舎の,メンバー（6 か月）,待機。
-0:59,りらす,メンバー（1 か月）,待機
-0:57,愚者,メンバー（1 年 6 か月）,待機
-0:50,色エンピツ,メンバー（1 年 6 か月）,待機〜
-0:49,諸行無常,メンバー（1 年 6 か月）,待機
-0:42,関西のたこ焼き,メンバー（1 年 1 か月）,待機
-0:42,いたちょこ,非メンバー,待機
-0:38,ゆう,非メンバー,待機！
-0:38,月島,メンバー（11 か月）,待機
-0:38,魚類キラー,メンバー（8 か月）,待機
0:12,ハチ王子,メンバー（5 か月）,待機
0:15,みずまこ,メンバー（1 年 6 か月）,こんばんはー
0:15,色エンピツ,メンバー（1 年 6 か月）,こんばんはー
0:20,kazaki rondo,非メンバー,こんばんは～
0:21,こしあんきなこ,非メンバー,こんばんは
0:21,ディア〜,非メンバー,こんばんは～
0:21,ロムロム,メンバー（8 か月）,こんばんな
0:23,SUN,非メンバー,こんばんはー
0:24,諸行無常,メンバー（1 年 6 か月）,おっすおっす
0:24,gim-let,メンバー（1 年 6 か月）,こんばんはです。
0:24,Lucas,メンバー（6 か月）,こんばんはー
0:25,菊池ユウ,メンバー（10 か月）,こんばんは〜
0:26,愚者,メンバー（1 年 6 か月）,こんばんは
0:27,すりーぴんぐおじ,メンバー（3 か月）,こんばんは〜
0:28,りらす,メンバー（1 か月）,こんばんはー
0:28,サーゲス,メンバー（7 か月）,こんばんは
0:29,三吉,メンバー（1 年 6 か月）,こんばんは
0:29,ゆくちお&sono2525,非メンバー,こんばんはー
0:29,魚類キラー,メンバー（8 か月）,こんばんは〜
0:29,田舎の,メンバー（6 か月）,こんばんは
0:29,助悪狗狼,非メンバー,こんばんは
0:30,腕まくれ,メンバー（5 か月）,こんばんはー
0:30,月島,メンバー（11 か月）,こんばんはー
0:30,レイク・バルバロック,メンバー（1 年 6 か月）,やぁ、盟友。こんばんは
0:31,たるたる。,非メンバー,こんばんは〜
0:31,雨空みずいろ,メンバー（1 年 3 か月）,こんばんはー！
0:32,希爾,非メンバー,​こんばんは～
0:32,lucaglas,メンバー（1 年 6 か月）,こんばんは
0:33,ぞでぃお,メンバー（1 年 3 か月）,こんばんは
0:34,詩雨お兄ちゃん,メンバー（1 年 2 か月）,こんばんは
