timestamp,author_name,membership,text
-32:09,木林森-きはやしもり-,メンバー（1 年 4 か月）,待機
-30:10,本名で呼ばれたいいとさん,新規メンバー,待機
-29:34,Kuzami_,非メンバー,こんにちは
-28:18,斎藤ゆづる,メンバー（6 か月）,頑張る勝くんはかわいい
-20:43,Agata,新規メンバー,待機
-18:03,Angie Nayla,メンバー（1 か月）,Hi... hello everyone. 😊
-17:03,ゆくちお&sono2525,非メンバー,待機
-16:23,mo-chi 4747,非メンバー,hello_ Masaru is the most kawaii shota
-16:09,りゆあ,非メンバー,かわよ～
-12:06,たいやき,非メンバー,待機
-11:55,すりーぴんぐおじ,メンバー（2 か月）,待機
-10:53,れーいう.,メンバー（6 か月）,待機
-8:48,たるたる。,非メンバー,待機〜
-8:33,蓬山之鴉,新規メンバー,待機
-8:24,Yggdrasillヲーリア,非メンバー,待機～
-7:27,助悪狗狼,非メンバー,待機
-6:46,七節,非メンバー,待機
-6:41,gim-let,メンバー（1 年 6 か月）,待機。
-6:24,Lucas,メンバー（6 か月）,待機
-5:20,月島,メンバー（1 年）,待機
-4:54,たくみ,新規メンバー,待機
-3:32,サーゲス,メンバー（7 か月）,待機
-3:31,hartmann,新規メンバー,待機
-3:28,菊池ユウ,メンバー（6 か月）,待機〜
-3:20,フレディ’ フロイント,メンバー（1 年 2 か月）,待機
-3:09,ロムロム,メンバー（6 か月）,待機
-2:37,ディア〜,非メンバー,待機！
-2:32,ポケット,新規メンバー,待機
-2:21,りゆあ,非メンバー,待機
-2:07,Ashan,非メンバー,待機
-2:03,みずまこ,メンバー（6 か月）,待機
-1:40,かな田,メンバー（2 か月）,待機
-1:34,ヨロズ,メンバー（6 か月）,待機
-1:28,絶過現希,メンバー（1 年 6 か月）,待機！少しの間並走！
-1:28,諸行無常,メンバー（1 年 6 か月）,待機
-1:10,拓久:じっちゃんの名にかけてた人,新規メンバー,待機
-0:53,*こくとう,メンバー（7 か月）,待機
-0:45,ハチ王子,メンバー（6 か月）,待機
-0:44,河内こう,非メンバー,待機
-0:43,白鼬タメ,非メンバー,たいき
-0:39,やすもん,非メンバー,待機
-0:36,イギリス東インド会社,メンバー（2 か月）,待機
-0:22,田舎の,メンバー（6 か月）,待機
0:17,ヨロズ,メンバー（1 年 6 か月）,こんばんは～
0:18,愚者,メンバー（1 年 6 か月）,こんばんは
0:18,ディア〜,非メンバー,こんばんは～
0:20,田舎の,メンバー（6 か月）,こんばんはー
0:21,りゆあ,非メンバー,待機
0:23,二葉。,非メンバー,待機！
0:24,たくみ,新規メンバー,こんばんはー
0:24,すりーぴんぐおじ,メンバー（3 か月）,こんばんは〜
0:24,月島,メンバー（1 年）,こんばんは
0:24,イギリス東インド会社,メンバー（2 か月）,こんちは
0:25,諸行無常,メンバー（1 年 6 か月）,おっすおっす
0:25,サーゲス,メンバー（7 か月）,こんばんは
0:26,かな田,メンバー（2 か月）,こんばんはー
0:26,ゆくちお&sono2525,非メンバー,こんばんはー
0:27,絶過現希,メンバー（1 年 6 か月）,来たッ！
0:27,gim-let,メンバー（1 年 6 か月）,よいゆうですよ。
0:27,七節,非メンバー,こんばんはー
0:27,ロムロム,メンバー（8 か月）,こんばんは
0:28,れーいう.,メンバー（6 か月）,やっほ！
0:30,まお,非メンバー,こんばんは〜
0:30,助悪狗狼,非メンバー,こんばんは
0:31,たるたる。,非メンバー,こんばんは〜
0:31,二葉。,非メンバー,こんばんは〜
0:31,Ashan,非メンバー,こんばんは
0:32,鈴蘭,非メンバー,こんばんはー
0:33,三吉,メンバー（1 年 6 か月）,こんばんは
0:33,おしょうゆ,非メンバー,こんばんは
0:34,白鼬タメ,非メンバー,こんばんはー
0:35,lucaglas,メンバー（1 年 6 か月）,こんばんは
0:35,sora iwafune,非メンバー,こんばんは
0:35,山椒小粒,メンバー（4 か月）,こんばんは
0:36,*こくとう,メンバー（7 か月）,こんばんは〜
0:36,トコク,メンバー（1 年）,こんばんはー
0:37,りゆあ,非メンバー,こんばんはー
0:37,絶過現希,メンバー（1 年 6 か月）,こんばんは！
0:38,Lucas,メンバー（6 か月）,こんばんはー
0:39,絆琉-HOTALU-,非メンバー,初チャットです！
0:40,拓久:じっちゃんの名にかけてた人,新規メンバー,こんばんわー
0:40,みずまこ,メンバー（6 か月）,こんばんは〜
0:40,ソーダ,非メンバー,こんばんは！
0:41,Yggdrasillヲーリア,非メンバー,こんばんは～
0:42,ナッツ,新規メンバー,こんばんはー
0:44,ikoi,非メンバー,こんばんは
0:44,ごりりん,メンバー（6 か月）,こんばんは〜
0:46,ポケット,新規メンバー,こんばんは～
0:47,hartmann,新規メンバー,こんばんは
0:47,うさぎ,非メンバー,こんばんは～
0:51,フレディ’ フロイント,メンバー（1 年 2 か月）,こんばんは
0:54,七宮。,非メンバー,勝くんんんん
0:54,ルナ,非メンバー,こんばんは〜
0:58,木茂トマト,メンバー（6 か月）,こんばんは～
1:06,みゆ!!,非メンバー,こんばんは！
1:08,カズ,非メンバー,こんばんはー
1:09,一条なる,非メンバー,こんばんは〜
1:10,田舎の,メンバー（6 か月）,マイクおｋ
1:12,ディア〜,非メンバー,聞こえるよ～
1:13,みずまこ,メンバー（1 年 6 か月）,おっけ
1:14,gim-let,メンバー（1 年 6 か月）,きこえとります。
1:14,まお,非メンバー,聞こえるよ
1:14,諸行無常,メンバー（1 年 6 か月）,おｋ
1:14,菊池ユウ,メンバー（10 か月）,大丈夫！
1:15,ヨロズ,メンバー（1 年 6 か月）,おっけーでーす
1:15,たくみ,新規メンバー,おけ
1:16,鈴蘭,非メンバー,おk
1:16,ロムロム,メンバー（8 か月）,聞こえてるよー
1:16,hartmann,新規メンバー,おけ
1:17,山椒小粒,メンバー（4 か月）,ok
1:17,二葉。,非メンバー,よいよる〜
1:17,たるたる。,非メンバー,大丈夫！
1:18,御香宮,メンバー（1 年 1 か月）,こんばんは
1:19,フレディ’ フロイント,メンバー（1 年 2 か月）,ｏｋ～
1:19,Ashan,非メンバー,大丈夫
1:19,拓久:じっちゃんの名にかけてた人,新規メンバー,大丈夫ー
1:19,SUN,非メンバー,こんばんはー
1:19,三吉,メンバー（1 年 6 か月）,もしもし
1:20,まつしゅう,非メンバー,こんばんは〜
1:20,イギリス東インド会社,メンバー（2 か月）,おｋ
1:20,ゆくちお&sono2525,非メンバー,入ってるよー
1:20,かな田,メンバー（2 か月）,きこえるよー
1:21,すりーぴんぐおじ,メンバー（3 か月）,聞こえるよ
1:22,Ru ka,非メンバー,入ってるよ〜！
1:22,河内こう,非メンバー,聞こえるよ〜
1:22,二葉。,非メンバー,声大丈夫！
1:22,髭の強打者,メンバー（2 か月）,いつもより声が高い感じがした
1:22,ikoi,非メンバー,おっけー！
1:23,月島,メンバー（1 年）,聞こえるよ
1:30,三吉,メンバー（1 年 6 か月）,おっけ
1:30,りゆあ,非メンバー,OK
1:30,ルナ,非メンバー,大丈夫！
1:30,諸行無常,メンバー（1 年 6 か月）,ＢＧＭもおｋ
1:31,ロムロム,メンバー（8 か月）,大丈夫
1:31,hartmann,新規メンバー,いい感じ
1:34,ディア〜,非メンバー,ゲーム音もOK！
1:34,まつしゅう,非メンバー,おけ
1:36,Cutting Board Cursed やばい,非メンバー,こんばんは
1:36,フレディ’ フロイント,メンバー（1 年 2 か月）,大丈夫
1:38,gim-let,メンバー（1 年 6 か月）,どちらもOKです。
1:38,七節,非メンバー,okok
1:40,ソーダ,非メンバー,大丈夫！
1:41,池西栗雄,非メンバー,ママもようみとる
1:43,諸行無常,メンバー（1 年 6 か月）,焦るな焦るな
1:45,拓久:じっちゃんの名にかけてた人,新規メンバー,でえじょぶだぁ
1:48,Cutting Board Cursed やばい,非メンバー,かわいいいいいい
1:50,フレディ’ フロイント,メンバー（6 か月）,あ～？
1:51,ヨロズ,メンバー（1 年 6 か月）,あら？
1:55,サーゲス,メンバー（7 か月）,待つぜ
1:56,ヨロズ,メンバー（1 年 6 か月）,待つよ～
1:56,ロムロム,メンバー（8 か月）,あ？
1:58,りゆあ,非メンバー,?
1:59,ディア〜,非メンバー,投影があれか
2:00,ごりりん,メンバー（6 か月）,あれま
2:02,さいにゅー,メンバー（9 か月）,こんばんは〜
2:02,カズ,非メンバー,おやおや？
2:09,まお,非メンバー,まちまーす
2:10,三吉,メンバー（1 年 6 か月）,顎痛めたか？
2:10,Ru ka,非メンバー,勝の今日の服はどんな感じだ？
2:15,鈴蘭,非メンバー,？
2:16,二葉。,非メンバー,ん？
2:17,氷菓無月。,非メンバー,どったの？
2:17,田舎の,メンバー（6 か月）,お？
2:17,ロムロム,メンバー（8 か月）,おや
2:18,菊池ユウ,メンバー（6 か月）,どした？
2:18,ヨロズ,メンバー（1 年 6 か月）,固まってる？
2:19,れーいう.,メンバー（6 か月）,ん？
2:20,Yggdrasillヲーリア,非メンバー,？？？
2:21,みずまこ,メンバー（1 年 6 か月）,？
2:21,かな田,メンバー（2 か月）,あら？
2:21,ルナ,非メンバー,？
2:22,hartmann,新規メンバー,どしたの
2:23,すりーぴんぐおじ,メンバー（3 か月）,どした？
2:24,二葉。,非メンバー,どした？
2:24,イギリス東インド会社,メンバー（2 か月）,草
2:24,諸行無常,メンバー（1 年 6 か月）,器具変えた？
2:25,おコメ白米,非メンバー,どしたの？？？？
2:28,七節,非メンバー,？？？
2:30,魔月ケント,メンバー（1 年 6 か月）,勝くんこんばんはー！
2:31,まお,非メンバー,バグかな
2:32,バッファローマン,メンバー（1 年 5 か月）,お口チャックマン
2:34,イギリス東インド会社,メンバー（2 か月）,溶解のせいだ
2:35,りゆあ,非メンバー,大丈夫？
2:36,雨空みずいろ,メンバー（6 か月）,こんばんはー！
2:37,ラノ,非メンバー,腹話術
2:37,河内こう,非メンバー,？？
2:38,フジ,メンバー（4 か月）,首は大丈夫？
2:39,御香宮,メンバー（1 年 1 か月）,腹話術をマスターしたのか
2:39,フレディ’ フロイント,メンバー（1 年 2 か月）,カメラさんちょっとー
2:41,hartmann,新規メンバー,琥珀糖詰め込んで顎外れた？
2:41,諸行無常,メンバー（1 年 6 か月）,マスクするか
2:45,氷菓無月。,非メンバー,ゆっくりでええんやで
2:49,三吉,メンバー（1 年 6 か月）,顎関節症なった？
2:50,ディア〜,非メンバー,矯正器具に接着剤でも詰めた？
2:53,かな田,メンバー（2 か月）,腹話術状態かな
2:54,雨空みずいろ,メンバー（1 年 4 か月）,大丈夫？
2:57,霜降【Soukou】,メンバー（7 か月）,こんばんは～
2:58,sugar & salt,非メンバー,ゆっくりでええよー落ち着いてな
3:00,小野兵長,非メンバー,すまぬ～👼
3:03,諸行無常,メンバー（1 年 6 か月）,ちょっと見せてみ
3:04,髭の強打者,メンバー（4 か月）,何かやっちゃったときの言い訳No1のやつじゃん
3:04,hartmann,新規メンバー,いくらでも待つよ
3:05,gim-let,メンバー（1 年 6 か月）,矯正器具も投影されるほどバージョンアップしましたか。
3:10,ヨロズ,メンバー（1 年 6 か月）,落ち着いてな
3:14,イギリス東インド会社,メンバー（2 か月）,うい
3:16,ヨロズ,メンバー（1 年 6 か月）,伸び～
3:18,ロムロム,メンバー（8 か月）,ストレッチしとく
3:18,まお,非メンバー,あい
3:18,綿あめ4号,メンバー（7 か月）,今北！こんばんは〜
3:18,れーいう.,メンバー（6 か月）,オッケー
3:19,ラノ,非メンバー,いっちにー
3:19,ポケット,新規メンバー,はーい
3:20,サーゲス,メンバー（7 か月）,身体温めておくわ
