timestamp,author_name,membership,text
-1:18,Chlothilde27,メンバー（2 か月）,:_akiPrpr::_akiPrpr:
-1:18,晟邦,メンバー（1 年）,:_akiPrpr:ﾌﾟﾙﾌﾟﾙ:_akiPrpr:
-1:13,k` `i,非メンバー,ﾌﾟﾙﾌﾟﾙ
-1:13,ヤマロ食品,非メンバー,ﾌﾟﾙﾌﾟﾙ
-1:10,まさにし,メンバー（6 か月）,:_akiPrpr::_akiPrpr:
-1:06,沢庵なりければ,メンバー（2 か月）,:_akiPrpr:
-1:05,Mad SMG・汎用チャンネル,非メンバー,ﾌﾟﾙﾌﾟﾙ
-1:05,さやみはおり,メンバー（1 年）,:_akiPrpr::_akiPrpr:
-0:59,めがねくろぶち,メンバー（1 年）,:_akiPrpr::_akiPrpr::_akiPrpr:
-0:58,satochann,メンバー（2 か月）,:_akiPrpr::_akiPrpr:
-0:55,テイテイ,メンバー（1 年）,:_akiPrpr::_akiPrpr:
-0:55,Y Suge,新規メンバー,:_akiPrpr::_akiPrpr:
-0:49,守矢妖怪,非メンバー,ﾌﾟﾙﾌﾟﾙ
-0:43,コルン,メンバー（1 年）,:_akiPrpr::_akiPrpr:
-0:40,ほーみんぐ,非メンバー,ﾌﾟﾙﾌﾟﾙ
-0:39,クーガー,メンバー（1 年）,:_akiPrpr::_akiPrpr:
-0:37,おね子,メンバー（2 か月）,:_akiPrpr::_akiPrpr:
-0:29,ふぉず,メンバー（6 か月）,:_akiPrpr::_akiPrpr:
-0:29,satochann,メンバー（2 か月）,ツヨシ！
-0:28,カモメ,メンバー（1 年）,ツイートヨシ！:_akiSairiumu:✨
-0:28,お覇王ランド,メンバー（1 年）,ツイートヨシ！！
-0:27,あこヌン,メンバー（2 か月）,:_akiPrpr::_akiPrpr:
-0:27,七尾狐,非メンバー,ぷるぷる
-0:26,マーシー,メンバー（6 か月）,ツイートヨシ！
-0:26,k` `i,非メンバー,ヨシ！
-0:25,久太郎,メンバー（1 年）,ツヨシ！
-0:24,まさにし,メンバー（6 か月）,ツイートヨシ！
-0:23,茶碗蒸し,メンバー（1 年）,:_akiPrpr::_akiPrpr:
-0:22,テイテイ,メンバー（1 年）,ツイートヨシ！！
-0:22,守矢妖怪,非メンバー,ツヨシ！
-0:21,ぐまぐまま,メンバー（2 か月）,:_akiPrpr::_akiPrpr:
-0:20,ディゾ,メンバー（1 年）,ヨシ！
-0:20,あこヌン,メンバー（2 か月）,つよし！
-0:19,Aまいなん,メンバー（1 か月）,:_akiPrpr::_akiPrpr::_akiPrpr:
-0:19,白井すい,メンバー（1 年）,シェアアアッ:_akiJamp:
-0:18,毛布くん,メンバー（1 年）,ツヨシ！
-0:18,いしけん,メンバー（6 か月）,ツイートヨシ！
-0:18,鯉太朗,メンバー（1 年）,くるううううう！！
-0:17,あまざけ,メンバー（1 年）,ツイートヨシ！
-0:15,こころぴょんきち,メンバー（1 年）,:_akiPrpr::_akiPrpr:
-0:15,ほーみんぐ,非メンバー,ツイートヨシ！
-0:15,こが,メンバー（6 か月）,ツイートヨシ！！
-0:14,七尾狐,非メンバー,ツヨシ！
