timestamp,author_name,membership,text
-1:15,一ノ瀬蓮,メンバー（6 か月）,ツヨシ！
-1:14,黒百合,メンバー（1 か月）,ツヨシ！
-1:13,アークライトトーマス,非メンバー,ツヨシ！
-1:12,マナ,メンバー（9 か月）,ツヨシ！
-1:11,マスオ,メンバー（6 か月）,ツヨシ！
-1:11,ブルース,メンバー（1 年 8 か月）,ツヨシ！
-1:10,ボブ,メンバー（2 か月）,ツヨシ！
-1:10,オートクレーブ,非メンバー,ツヨシ
-1:08,佐倉,非メンバー,生ネコトモ初めて！
-1:08,コケ色[kokeiro],メンバー（1 年 6 か月）,新機能の読み仮名機能、なんか悪用できるかな…？
-1:07,いっつん,メンバー（3 か月）,ツヨシ！
-1:06,竹ちゃん2号,非メンバー,ツヨシ！
-1:06,garry garry,メンバー（1 年 5 か月）,くるぞ・・・！
-1:05,ゲン甲骨【ゲンガーの肩甲骨】,非メンバー,ツヨシ助かる
-1:05,きょうや,メンバー（1 年 8 か月）,ツヨシ！
-1:04,言寺子お姉さんにガチ恋の学生,非メンバー,ツヨシ
-1:03,ぞう,メンバー（11 か月）,みんながツヨシって言ってるからヨシ！
-1:03,黒羽英智,非メンバー,ツヨシ！
-1:03,四葉寿光,非メンバー,ツヨシ！
-1:01,明日野郎,メンバー（2 か月）,ツヨシ君えらい！
-1:01,パロ,メンバー（1 年 2 か月）,ツヨシ！
-1:01,マッシュマロウ,メンバー（1 年）,ツヨシ♂
-1:00,赤くて熱くてシュガー,非メンバー,ねごど模擬多々あああああああああああああ
-1:00,モリヤマダ,メンバー（9 か月）,ツヨシ！
-0:58,はるはる,非メンバー,ツヨシ！
-0:58,コケ色[kokeiro],メンバー（1 年 6 か月）,くる！
-0:55,ケーシィ,メンバー（1 年 11 か月）,！？ツヨシが時間通り！？
-0:53,shinnosuke,非メンバー,アプデは完了してるのだろうか
-0:51,AssGuardian,メンバー（5 か月）,ツヨシたすかる
-0:50,とこしへ,非メンバー,🐱♂🐱
-0:47,ほしの,メンバー（1 年 8 か月）,つよしたすかる
-0:46,モブうたっこ,非メンバー,ツヨシ！
-0:43,一方通行,メンバー（1 年 6 か月）,つよし
-0:42,やまさんP,非メンバー,ツヨシ助かる
-0:42,マナ,メンバー（9 か月）,時間どおりとか天変地異の前触れかな？
-0:41,エリスバーリン,非メンバー,衝撃に備えよ
-0:41,おすシロー,メンバー（1 年 7 か月）,つよし！
-0:37,ゲン甲骨【ゲンガーの肩甲骨】,非メンバー,遅刻しないだと⁉︎
-0:26,中菊,メンバー（1 年 7 か月）,ツヨシたすかる
-0:23,れぐにく,非メンバー,にじさんじにハマったきっかけがまた始まる！
-0:23,taka mosu,非メンバー,待ってるんゴ～
-0:20,山椒小粒,メンバー（9 か月）,さぁ 来なさい
-0:17,kanitama shotax,メンバー（1 年 6 か月）,時刻通り助からない
-0:16,オートクレーブ,非メンバー,剣持と詩子お姉さんの特殊枠推しです
-0:14,やまさんP,非メンバー,楽しみ！
-0:03,じゅんteam ABC,非メンバー,待機
-0:03,とこしへ,非メンバー,ツイエラ
-0:02,モブ猫ペンギン,メンバー（11 か月）,更新ありそう
-0:02,紅茶サイダー,メンバー（6 か月）,:_うたこたいきのたい::_うたこたいきのき::_うたこじどうのじ::_うたこじどうのどう:（遅め）
0:03,ショウマ,非メンバー,楽しみじゃい
0:05,a a,非メンバー,さぁかかってこい
0:06,とこしへ,非メンバー,(((* ॑˘ ॑* ≡ * ॑˘ ॑*)))ｿﾜｿﾜ
0:07,田嶋有紀.,メンバー（1 年 11 か月）,:_うたこたいきのたい::_うたこたいきのき:
0:08,hrk,メンバー（1 年 7 か月）,きちゃああああ
0:09,竹ちゃん2号,非メンバー,サムネのお姉さん清楚だなぁ。今日はどこまで清楚でやれるかなぁ…。
0:10,アークライトトーマス,非メンバー,きちゃ
0:14,ブルース,メンバー（1 年 8 か月）,:_うたこぼくの::_うたこたいきのたい::_うたこたいきのき:
0:14,モリヤマダ,メンバー（9 か月）,きちゃ
0:16,マナ,メンバー（9 か月）,きちゃ！
0:16,夕立提督-あるる-,非メンバー,ワクワク！
0:20,言寺子お姉さんにガチ恋の学生,非メンバー,きちゃ！
0:20,サンタトナカイ,メンバー（2 か月）,きちゃ！
0:20,けんちゃ,メンバー（1 年 11 か月）,こんばんはー
0:20,アークライトトーマス,非メンバー,誰？
0:21,一ノ瀬蓮,メンバー（6 か月）,きちゃ！！
0:21,みなるで,メンバー（5 か月）,きちゃ
0:21,garry garry,メンバー（1 年 5 か月）,ＯＰだぜ！
0:22,ブルース,メンバー（1 年 8 か月）,神op
0:22,かがみもち,メンバー（1 年 6 か月）,！？
0:22,ほしの,メンバー（1 年 8 か月）,OP
0:22,オートクレーブ,非メンバー,キマシタワー！
0:22,ジコリータなつめ,メンバー（1 年 7 か月）,きちゃ！
0:22,エメル,メンバー（1 年 11 か月）,OPきちゃ
0:22,黒百合,メンバー（1 か月）,OPきちゃ！
0:23,hrk,メンバー（1 年 7 か月）,神OP
0:23,コケ色[kokeiro],メンバー（1 年 6 か月）,きた
0:23,じゅんteam ABC,非メンバー,きちゃ
0:23,taka mosu,非メンバー,きちゃ
0:24,からあげ。,メンバー（3 か月）,:_うたこサイリウム::_うたこサイリウム::_うたこサイリウム:
0:25,ブルース,メンバー（1 年 8 か月）,きちゃ！！！
0:26,ゾクティキチャンネル,非メンバー,マジでネコトモ待ってた
0:26,AssGuardian,メンバー（5 か月）,きちゃ！
0:26,Geo Comet,メンバー（1 年 9 か月）,！？
0:26,覗見猫nozomi neko,メンバー（6 か月）,きちゃ！
0:26,マナ,メンバー（9 か月）,！？
0:26,おすシロー,メンバー（1 年 7 か月）,:_うたこサイリウム::_うたこサイリウム::_うたこサイリウム::_うたこサイリウム::_うたこサイリウム::_うたこサイリウム:
0:26,daglass(ダメガネ）,メンバー（1 年）,きちゃ！
0:27,kanitama shotax,メンバー（1 年 6 か月）,誰？
0:27,オギャイク,メンバー（1 年 7 か月）,誰？
0:28,高い雑草,非メンバー,こんばんはー。
