timestamp,author_name,membership,text
-0:30,えるりっく,非メンバー,きたきた
-0:28,朔間,非メンバー,待機
-0:27,ォアーー,メンバー（2 か月）,待機
-0:27,大神架羅,非メンバー,待機！
-0:25,Лиса【リサ】,メンバー（2 か月）,待機〜
-0:25,゚きら,非メンバー,待機
-0:25,ゆーの,メンバー（2 か月）,移動完了
-0:25,ねこは,非メンバー,待機
-0:25,凪ナギ,非メンバー,待機
-0:25,六文銭,メンバー（2 か月）,待機
-0:23,アキヒロ,非メンバー,待機
-0:22,れおぱーど,非メンバー,待機
-0:22,H0cura,メンバー（2 か月）,あたらしいお部屋
-0:22,チリオ,非メンバー,待機
-0:22,くらげ,非メンバー,待機ー
-0:22,おさかな地獄,非メンバー,たいきー
-0:21,ごんぎつね,新規メンバー,待機します！
-0:21,飽きた小町,非メンバー,待つ
-0:21,リズリズ,非メンバー,待機
-0:20,白石,非メンバー,待機！
-0:20,ゆる,メンバー（2 か月）,待機！
-0:20,*れるく,メンバー（2 か月）,待機
-0:19,わさび,メンバー（2 か月）,待機
-0:19,お米りりい,非メンバー,待機
-0:18,ri sao,新規メンバー,移動
-0:18,きなこパン,非メンバー,待機
-0:17,パブロフの犬,非メンバー,待機
-0:17,陽空-よぞら-,新規メンバー,待機
-0:16,歓喜の地底人。,非メンバー,待機
-0:16,おさかな丸.,新規メンバー,改めて待機
-0:15,名無し,メンバー（2 か月）,待機
-0:14,千影.,非メンバー,待機
-0:13,こうの,メンバー（2 か月）,待機
-0:13,いかちゃ!,非メンバー,待機!
-0:13,Yu Hana,非メンバー,待機
-0:12,さざんか,メンバー（2 か月）,たいきー！
-0:11,プラナリア,メンバー（2 か月）,待機
-0:11,いちじく檸檬[れもん],メンバー（2 か月）,待機
-0:10,朱鷺老師,非メンバー,ここがあの男のハウスね
-0:10,ぱらぱりぱる,新規メンバー,待機
-0:09,アリオト,非メンバー,待機
-0:09,かぴー,非メンバー,たいき
-0:08,おういえあ,メンバー（2 か月）,待機
-0:07,徒然なるままに,メンバー（2 か月）,待機
-0:05,まめまる,メンバー（2 か月）,待機
-0:05,きやきや,メンバー（2 か月）,待機
-0:04,しまゆう,メンバー（2 か月）,待機
-0:03,しらたま,メンバー（1 か月）,待機
-0:01,おまーじゅ,メンバー（2 か月）,待機
0:02,かぴー,非メンバー,待機
0:09,かぴー,非メンバー,おかえり
0:10,つぼみ,非メンバー,待機
0:14,ねこは,非メンバー,おかえり
0:14,アキヒロ,非メンバー,きちゃ
0:16,いちじく檸檬[れもん],メンバー（2 か月）,おかえり
0:16,餅のハム包み,非メンバー,たこやき
0:16,ねこたか,非メンバー,おかえり
0:18,ごんぎつね,新規メンバー,おかえりなさい
0:18,七葉/しぐ,メンバー（2 か月）,きちゃ
0:18,おういえあ,メンバー（2 か月）,きちゃ
0:19,フジマス植民地,非メンバー,おかえり
0:19,塩こんぶ,非メンバー,おかえり
0:21,ぬん。,新規メンバー,おかえり
0:22,伊倉よね,非メンバー,おかえり
0:23,*れるく,メンバー（2 か月）,おかえり
0:25,まめまる,メンバー（2 か月）,おかえり
0:25,ノギノギ,メンバー（2 か月）,再走
0:26,K S,非メンバー,おかえり
0:26,黒眼嶺愛唯-kurogane ai-,メンバー（2 か月）,おかえり
0:27,ぱらぱりぱる,新規メンバー,おかえり
0:28,カカ,新規メンバー,おかえり
0:29,miling,メンバー（2 か月）,おかえり
0:29,こん,非メンバー,おかえ。なさい
0:29,お米りりい,非メンバー,おかーえり
0:31,脱ば天才理論_TENSAIRI,新規メンバー,おかえり
0:33,リズリズ,非メンバー,おかえり
0:33,わんわ,新規メンバー,おかえり
0:33,MiRA KANZAKI,非メンバー,おかえり
0:33,こもりー,メンバー（2 か月）,おかえりー
0:34,alice,非メンバー,おかえり
0:37,ツユクサ,メンバー（2 か月）,おかえり
0:37,夜,メンバー（1 か月）,おかえり
0:37,フーキ,非メンバー,おかえり
0:37,六文銭,メンバー（2 か月）,おかえり
0:38,えるりっく,非メンバー,おかえりー
0:40,パン酵母,非メンバー,あい！
0:40,モチモチのもち,非メンバー,おかえりー
0:40,篠ノ暮-sinokure-,メンバー（2 か月）,おかえり
0:40,陽空-よぞら-,新規メンバー,おかえりー
0:40,鰐梨兎羽,非メンバー,おかえり〜
0:42,海栗,メンバー（2 か月）,おかえり
0:45,森のくま,非メンバー,おかえり
0:45,餅のハム包み,非メンバー,おかわり
0:47,もりさきしーちゃん,メンバー（2 か月）,おかえり
0:53,のむ乳酸菌,非メンバー,おかえり
0:53,さかな.,メンバー（2 か月）,これでナビタイム出来るね
0:54,愛の塊,非メンバー,おかえり
0:56,電極,非メンバー,こんまぶしー
0:56,おおお,非メンバー,おかえり
0:58,わさび,メンバー（2 か月）,おかえり〜
0:59,青酸カリ,非メンバー,おかえりー
0:59,FAF厚生局一般職員,非メンバー,帰ってきた
1:01,ゆい*,新規メンバー,おかえりー
1:04,しまゆう,メンバー（2 か月）,おかえり
1:12,朱鷺老師,非メンバー,おｋ
1:16,さかな.,メンバー（2 か月）,なぜ大晦日なんだ…
1:20,七葉/しぐ,メンバー（2 か月）,大晦日に何するんや……
1:22,おういえあ,メンバー（2 か月）,俺らの大晦日は地獄
1:23,ねこは,非メンバー,キモイ文章は草
1:28,佳南,メンバー（2 か月）,年末に地獄最高
1:28,きなこパン,非メンバー,観光楽しみ
1:29,きやきや,メンバー（2 か月）,観光楽しみ～
1:32,*れるく,メンバー（2 か月）,地獄の大晦日
1:39,おまーじゅ,メンバー（2 か月）,なんて大晦日なんだ…
1:45,海栗,メンバー（2 か月）,なんで大みそかにガチ恋マロ作ろうと思ったんだ…
1:45,しらたま,メンバー（1 か月）,石のところに斧しまったけどいいの？
1:48,ゆーの,メンバー（2 か月）,大晦日でも仕事だから笑い納めにさせてもらうわ
1:51,T F,新規メンバー,えぇ……
1:51,ムイ,非メンバー,大晦日にやることか？
1:51,デラ,非メンバー,初見
1:53,しまゆう,メンバー（2 か月）,そっか厄か……
1:53,リズリズ,非メンバー,半日で作り終わるのか。。。？
