timestamp,author_name,membership,text
-2:54,엔티エンティー,非メンバー,待機
-2:41,T F,新規メンバー,ごますりで草
-2:33,すぅ,メンバー（2 か月）,待機ー
-2:26,七葉/しぐ,メンバー（2 か月）,待機！
-2:26,パン食,新規メンバー,ごますり待機
-2:25,チャーリー,新規メンバー,すりごま待機
-2:25,信玄もち,非メンバー,待機
-2:19,千影.,非メンバー,待機
-2:17,T F,新規メンバー,待機
-2:07,まめまる,メンバー（2 か月）,待機
-2:05,おさかな丸.,新規メンバー,待機
-1:57,しまゆう,メンバー（2 か月）,待機
-1:51,ぽこ,メンバー（1 か月）,待機！
-1:47,豚兎,非メンバー,待機
-1:46,釜崎るべ奈,非メンバー,待機
-1:44,六文銭,メンバー（2 か月）,待機
-1:34,ましゃ,メンバー（2 か月）,待機
-1:30,かしわ,メンバー（2 か月）,待機
-1:30,おういえあ,メンバー（2 か月）,待機
-1:29,歓喜の地底人。,非メンバー,待機
-1:19,あお,新規メンバー,待機
-1:18,櫟,非メンバー,待機
-1:17,雛月-ヒイナヅキ-,非メンバー,待機
-1:17,藤堂イヅヲ,メンバー（2 か月）,待機
-1:11,ゴツメかわうそ,メンバー（2 か月）,待機！
-1:10,さざんか,メンバー（2 か月）,待機！！！
-1:07,ヌエックオ,メンバー（2 か月）,待機
-1:07,銀木,非メンバー,待機
-1:04,うみなし,非メンバー,待機
-1:03,alice,非メンバー,待機
-0:53,みさみさ,メンバー（2 か月）,待機！
-0:53,ランボー,非メンバー,待機
-0:52,yu fan dai,非メンバー,待機
-0:43,プラナリア,メンバー（2 か月）,待機
-0:42,めろんぱん,新規メンバー,待機！
-0:41,Лиса【リサ】,メンバー（2 か月）,待機
-0:40,もりさきしーちゃん,メンバー（2 か月）,待機
-0:38,ふあ,非メンバー,待機
-0:34,こうの,メンバー（2 か月）,待機
-0:30,きやきや,メンバー（2 か月）,待機
-0:27,おいしーこふきいも,メンバー（2 か月）,待機
-0:25,いすゞ,メンバー（2 か月）,待機！
-0:24,ピン太,非メンバー,待機
-0:16,ふさせりつは,メンバー（2 か月）,待機
-0:11,羽槻きずな,非メンバー,待機
-0:10,かんなな丸,メンバー（2 か月）,待機
-0:10,Mori mori,メンバー（2 か月）,待機
-0:08,邑[むら],メンバー（2 か月）,待機
-0:05,しらうおのえら,メンバー（2 か月）,待機！
-0:04,やまいもやま,メンバー（2 か月）,待機
0:06,人見sb,メンバー（2 か月）,待機
0:12,徒然なるままに,メンバー（2 か月）,きちゃ
0:13,H0cura,メンバー（2 か月）,待機
0:14,ねこは,非メンバー,きちゃ
0:15,蒼眼の狐,メンバー（2 か月）,きちゃ
0:16,高科大和,メンバー（2 か月）,きちゃああい
0:17,かんなな丸,メンバー（2 か月）,きちゃ
0:18,六文銭,メンバー（2 か月）,きちゃ
0:18,こうの,メンバー（2 か月）,きちゃ
0:20,やまいもやま,メンバー（2 か月）,きちゃ
0:22,黒眼嶺愛唯-kurogane ai-,メンバー（2 か月）,きちゃ！
0:23,ビー玉職人,非メンバー,きちゃ
0:27,きやきや,メンバー（2 か月）,きちゃ
0:28,Лиса【リサ】,メンバー（2 か月）,きちゃ！
0:28,あづ,非メンバー,きちゃ！！
0:29,長々目,非メンバー,きちゃ
0:29,三日月.*,メンバー（2 か月）,きちゃ
0:31,みさみさ,メンバー（2 か月）,きちゃ
0:31,Natural Potato,非メンバー,hooh
