timestamp,author_name,membership,text
-2:59,もの,新規メンバー,よかったー
-2:56,つくよみ。,非メンバー,直ってよかった、待機
-2:50,雛月-ヒイナヅキ-,非メンバー,ついえら待機
-2:48,ちゃわんむし,メンバー（2 か月）,待機
-2:47,筍権蔵,メンバー（2 か月）,待機
-2:45,六文銭,メンバー（2 か月）,待機
-2:36,御手元,メンバー（2 か月）,待機
-2:34,しまゆう,メンバー（2 か月）,待機
-2:26,jun,非メンバー,ハイパー待機
-2:15,30 Oo,非メンバー,待機
-2:14,歓喜の地底人。,非メンバー,待機
-2:08,かりかり,非メンバー,待機
-1:53,櫟,非メンバー,待機
-1:52,ちょっと黒めなシロエ,非メンバー,待機
-1:36,鯖めし,非メンバー,待機
-1:31,禁忌金属,非メンバー,待機ング
-1:29,名無し,メンバー（2 か月）,待機
-1:25,Shara。,メンバー（2 か月）,待機
-1:25,いかちゃ!,非メンバー,待機
-1:21,しらうおのえら,メンバー（2 か月）,待機
-1:17,お茶bot,非メンバー,待機
-1:16,まめまる,メンバー（2 か月）,待機〜
-1:10,ねこたか,非メンバー,待機～
-1:09,リンドウ,非メンバー,待機
-1:08,マーティン,メンバー（1 か月）,待機
-1:08,なるや,メンバー（2 か月）,待機
-1:06,高科大和,メンバー（2 か月）,待機〜
-1:03,ぺんぎん.*,非メンバー,待機
-1:02,。 POME,非メンバー,待機
-0:58,狭山ろろ,メンバー（2 か月）,たいき
-0:56,すぅ,メンバー（2 か月）,待機〜
-0:48,おまーじゅ,メンバー（2 か月）,待機
-0:47,豚兎,非メンバー,待機
-0:41,フーキ,非メンバー,待機！
-0:40,めるつ,メンバー（2 か月）,たいき
-0:39,寝不足kinoco,非メンバー,待機
-0:39,T I,メンバー（1 か月）,グループ名はV□IZとかになるのか？
-0:27,ケケニケ,非メンバー,待機ー
-0:20,m y,メンバー（2 か月）,待機
-0:20,塵芥,非メンバー,待機
-0:18,itomaイトマ,非メンバー,待機
-0:15,シノア,非メンバー,待機！
-0:12,_まるん,新規メンバー,待機
-0:11,*螢-ほたる-*,メンバー（2 か月）,待機
-0:11,おいしーこふきいも,メンバー（2 か月）,待機
-0:09,ももすもも,非メンバー,待機
-0:04,たいやき,非メンバー,待機
-0:02,tsuyu都遊,非メンバー,待景
0:00,朔子-さくこ-,メンバー（2 か月）,待機
0:10,ひなこ,メンバー（2 か月）,待機！
0:13,ぺぺろんちーの,非メンバー,待機ー
0:21,わさび,メンバー（2 か月）,きちゃ！
0:22,七葉/しぐ,メンバー（2 か月）,こんまぶし〜
0:22,まめまる,メンバー（2 か月）,きちゃ
0:23,ねむねむ眠子,メンバー（2 か月）,きちゃ！
0:23,。 POME,非メンバー,きちゃ！
0:27,巳空_mia,メンバー（2 か月）,きちゃ
0:27,たいやき,非メンバー,きちゃ！！
0:32,櫟,非メンバー,きちゃ！
0:33,光猿【KOEN】,メンバー（2 か月）,きちゃ！！
0:33,高科大和,メンバー（2 か月）,きちゃー
0:33,はいほし,メンバー（1 か月）,きちゃ！
0:35,レア Translations,メンバー（2 か月）,こん:_おつまぶし2::_おつまぶし3:
0:35,リンドウ,非メンバー,きちゃ
0:35,あびゃあびゃあ,非メンバー,こんまぶし〜
0:36,お白湯,メンバー（2 か月）,きちゃ！こんまぶし〜！
0:36,めるつ,メンバー（2 か月）,いつもの笑
0:38,人見sb,メンバー（2 か月）,きちゃ！
0:40,ぺんぎん.*,非メンバー,きちゃ！
0:42,きやきや,メンバー（2 か月）,こんまぶし～
0:42,にじさんじ ホロスターズ大好き,非メンバー,今来ました❗こんまぶしー❗:virtualhug:
0:46,貪欲🍴,メンバー（2 か月）,こんまぶし〜！
0:47,フーキ,非メンバー,こんまぶし！
0:48,ノギノギ,メンバー（2 か月）,こんまぶ:_おつまぶし3:
0:51,いちじく檸檬[れもん],メンバー（2 か月）,こん:_おつまぶし2::_おつまぶし3:
0:57,。ホトミ,非メンバー,こんまぶし〜！
0:58,リズリズ,非メンバー,こんまぶし～
0:58,M K,非メンバー,あら
0:58,こむうわと,非メンバー,ゆっくり休んでほしいね
1:00,鯖めし,非メンバー,こんまぶしー！
1:00,しののめ,メンバー（2 か月）,こんまぶしー
1:02,人見sb,メンバー（2 か月）,こんまぶしー！
1:02,hika mori,非メンバー,最近寒いものねぇ
1:03,潮田まあ,メンバー（2 か月）,こんまぶし〜
1:03,巳空_mia,メンバー（2 か月）,こんまぶし～
1:08,藤堂イヅヲ,メンバー（2 か月）,杞憂マロｗｗｗ
1:08,海栗,メンバー（2 か月）,弦月お大事に
1:09,*てまり,非メンバー,こんばんは～
1:11,徒然なるままに,メンバー（2 か月）,草
1:12,AB CD,非メンバー,仲良くなっていけ！
1:14,m y,メンバー（2 か月）,草
1:14,sora sky,非メンバー,草
1:14,もちごめ,メンバー（2 か月）,草
1:14,歓喜の地底人。,非メンバー,こんまぶし
1:15,はいほし,メンバー（1 か月）,こんまぶし〜
1:15,ぬぬね子,メンバー（2 か月）,こんまぶし！
1:16,K S,非メンバー,こんまぶしー
1:16,邑[むら],メンバー（2 か月）,草
1:18,茜りんご,メンバー（2 か月）,草
1:18,長々目,非メンバー,草
1:19,こもりー,メンバー（2 か月）,草
1:19,しらうおのえら,メンバー（2 か月）,草
1:20,つくよみ。,非メンバー,こんまぶしー！
1:20,とびまろ,非メンバー,こんまぶしー
1:20,ましゃ,メンバー（2 か月）,こんまぶし
1:21,しののめ,メンバー（2 か月）,杞憂草
1:21,海栗,メンバー（2 か月）,杞憂きちゃうな
1:21,さかななの,メンバー（2 か月）,こんまぶしー
1:24,しょ〜†,新規メンバー,この祓魔は草
1:24,歓喜の地底人。,非メンバー,杞憂マロ
1:24,六文銭,メンバー（2 か月）,杞憂しちゃうな〜
1:29,はかなぎ,非メンバー,誰よその長尾！！
1:29,くろやん。,非メンバー,草
1:29,値引きシール,非メンバー,入らないでよ！！！
1:32,歓喜の地底人。,非メンバー,草
1:32,わさび,メンバー（2 か月）,草
1:34,海栗,メンバー（2 か月）,それは草
1:34,きやきや,メンバー（2 か月）,草
1:34,さかななの,メンバー（2 か月）,草
1:35,圧力ナベ,非メンバー,こんまぶし～
1:39,やわらかささみ,新規メンバー,こんまぶし～
1:39,Mirei .F,メンバー（2 か月）,草
1:39,こむうわと,非メンバー,ニコイチに色目使わないでよこの忖度ふつまし！
1:40,なかだほなみ,メンバー（2 か月）,草なのよ
1:43,hika mori,非メンバー,決まってないんかいｗｗｗ
1:43,B_ SHIROMI,非メンバー,こんまぶし〜 杞憂マロ送りますね！
1:57,さいゆき,非メンバー,こんまぶし〜
2:00,わさび,メンバー（2 か月）,草
2:01,ねむねむ眠子,メンバー（2 か月）,草
2:04,鐡[kurogane]カナ,非メンバー,こんまぶし〜
2:04,朔子-さくこ-,メンバー（2 か月）,あっやべ……ってなるやつwww
2:10,高科大和,メンバー（2 か月）,草
2:11,T.T,非メンバー,草
2:11,しらうおのえら,メンバー（2 か月）,草
2:13,之南,メンバー（2 か月）,草
2:14,こむうわと,非メンバー,二人とも海外サッカー好きか
2:14,たけ,非メンバー,あっ・・・
2:15,佳南,メンバー（2 か月）,このゲームボーイ！
2:15,さざんか,メンバー（2 か月）,すっぱい顔w
2:21,くろやん。,非メンバー,王子かわいい
2:21,邑[むら],メンバー（2 か月）,あらまw
2:22,ゴツメかわうそ,メンバー（2 か月）,王子ww
2:22,もの,新規メンバー,草
2:27,B_ SHIROMI,非メンバー,杞憂マロ送ってやろうかこの忖度師
2:27,あおぞら,非メンバー,王子…
2:39,きやきや,メンバー（2 か月）,王子ww
2:49,hika mori,非メンバー,あれま
2:53,わさび,メンバー（2 か月）,草
3:06,きやきや,メンバー（2 か月）,草
3:10,朔子-さくこ-,メンバー（2 か月）,草
3:12,ちょっと黒めなシロエ,非メンバー,急な雑談w
3:12,鐡[kurogane]カナ,非メンバー,ｗｗ
3:12,アマミヤ,非メンバー,雑談配信じゃなかったの!!?
3:13,十坂とさか,メンバー（2 か月）,草
3:15,もの,新規メンバー,草
3:18,邑[むら],メンバー（2 か月）,草
3:18,しまゆう,メンバー（2 か月）,草
