timestamp,author_name,membership,text
-5:49,いちじく檸檬[れもん],メンバー（5 か月）,待機
-5:26,萃朔 Suzaku,メンバー（5 か月）,待機
-5:09,御手元,メンバー（2 か月）,待機
-5:05,鰐梨兎羽,非メンバー,待機
-4:48,六文銭,メンバー（5 か月）,待機
-4:30,プラナリア,メンバー（5 か月）,待機
-4:09,*れるく,メンバー（4 か月）,待機
-3:21,もりさきしーちゃん,メンバー（2 か月）,待機
-2:59,莉月-りつ-,メンバー（5 か月）,待機
-2:57,もちょほっぺぱん,非メンバー,また伝説が生まれるのか…
-2:50,Arnaldo Miyashiro,非メンバー,何だ、このかわいいサムネww
-2:48,alice,非メンバー,待機
-2:42,なみきこーぽれーしょん,非メンバー,待機～
-2:37,パン酵母,非メンバー,ヌマクローまた目イッてない？
-2:25,ヌエックオ,メンバー（5 か月）,待機
-2:20,さざんか,メンバー（5 か月）,待機〜！
-2:17,T F,非メンバー,ヌマクローはもう…
-2:09,キドココア,メンバー（2 か月）,待機
-1:54,めろんぱん,新規メンバー,サムネかわいい
-1:49,めろんぱん,新規メンバー,待機！
-1:44,Mere,非メンバー,今回が本番？
-1:44,ねこは,非メンバー,待機
-1:31,錆浅葱,非メンバー,待機！頑張れ長尾！
-1:24,かんなな丸,メンバー（5 か月）,待機
-1:24,佳南,メンバー（5 か月）,むーちゃんかわいい
-1:20,ナスの浅漬,非メンバー,今回は練習やで。本番は夜。待機
-1:19,めろんぱん,新規メンバー,本番は１９時からじゃなかったけ？
-1:16,うみなし,非メンバー,待機
-1:16,くろやん。,非メンバー,待機
-1:13,くろやん。,非メンバー,本番はまだ
-1:11,まめまる,メンバー（5 か月）,待機
-1:10,キドココア,メンバー（2 か月）,本番は19時！今回は最後の試走
-1:07,こいぬ.,メンバー（1 か月）,待機〜
-1:06,ゴツメかわうそ,メンバー（5 か月）,待機！
-1:00,ましゃ,メンバー（1 か月）,待機
-0:56,イロハ,非メンバー,待機
-0:55,錆浅葱,非メンバー,練習も頑張れ！
-0:55,貪欲🍴,メンバー（4 か月）,待機
-0:52,なるや,メンバー（5 か月）,待機
-0:51,七葉/しぐ,メンバー（5 か月）,待機〜
-0:51,Arnaldo Miyashiro,非メンバー,2:30:00切れるかな
-0:50,T F,非メンバー,むーちゃんもいるのいいな 待機
-0:43,さっちん.,非メンバー,この枠は一時間移動練してから試走やで
-0:36,ねこは,非メンバー,本番は今日の夜19時から予定
-0:29,キドココア,メンバー（2 か月）,タイマーセットして楽しみに待ってる
-0:05,ヌエックオ,メンバー（5 か月）,ついえら
-0:03,邑[むら],メンバー（5 か月）,ついえら待機
-0:02,七葉/しぐ,メンバー（5 か月）,ついえら
-0:02,鰐梨兎羽,非メンバー,待っていますとかで隠れてるからいい感じに見えるけど隠れてるヌマクローがなぁ…
-0:01,ゴツメかわうそ,メンバー（5 か月）,ついえら！
0:03,六文銭,メンバー（5 か月）,ついえら
0:04,ォアーー,メンバー（2 か月）,待機
0:06,鰐梨兎羽,非メンバー,ついえら
0:06,*れるく,メンバー（4 か月）,ついえら
0:08,莉月-りつ-,メンバー（5 か月）,ついえら
0:10,alice,非メンバー,ついえら
0:11,いちじく檸檬[れもん],メンバー（5 か月）,ついえら
0:16,御手元,メンバー（2 か月）,ついえら
0:16,くろやん。,非メンバー,きちゃ
0:16,Arnaldo Miyashiro,非メンバー,きちゃ
0:19,*れるく,メンバー（4 か月）,きちゃ
0:20,キドココア,メンバー（2 か月）,きちゃ
0:20,なるや,メンバー（5 か月）,きちゃ
0:21,イロハ,非メンバー,本気で楽しみすぎる、ついえら
0:21,かんなな丸,メンバー（5 か月）,きちゃ
0:22,しま。,メンバー（2 か月）,ついえら
0:22,ねこは,非メンバー,きちゃ
0:22,徒然なるままに,メンバー（4 か月）,きちゃ
0:24,ヌエックオ,メンバー（5 か月）,きちゃ
0:24,ア,非メンバー,ついえら
0:27,イロハ,非メンバー,きちゃ
0:28,ォアーー,メンバー（2 か月）,きちゃ
0:29,しま。,メンバー（2 か月）,きちゃ
0:29,六文銭,メンバー（5 か月）,きちゃ
0:30,さやいんげん,メンバー（5 か月）,きちゃ
0:30,name no,非メンバー,きちゃー
0:30,リリーフワンポイント,新規メンバー,きちゃ
0:30,ゴツメかわうそ,メンバー（5 か月）,きちゃ！
0:30,す〜君_nn,非メンバー,来た!!
0:30,莉月-りつ-,メンバー（5 か月）,きちゃ
0:31,ゆーの,メンバー（1 か月）,きちゃ
0:32,バブミdeオギャリタイ,非メンバー,ついえら
0:33,もちごめ,メンバー（5 か月）,きちゃ！
0:35,中じゅん,非メンバー,きちゃ
0:35,御手元,メンバー（2 か月）,きちゃ
0:37,茜りんご,メンバー（5 か月）,ついえら
0:37,まめまる,メンバー（5 か月）,きちゃ
0:37,alice,非メンバー,きちゃ
0:37,七葉/しぐ,メンバー（5 か月）,きちゃ
0:41,邑[むら],メンバー（5 か月）,きちゃ
0:42,イロハ,非メンバー,きちゃ
0:42,きなこきな,非メンバー,きちゃ！！
0:44,寝不足kinoco,非メンバー,きちゃ
0:44,歓喜の地底人。,非メンバー,きちゃ〜！
0:45,こうの,メンバー（5 か月）,きちゃ
0:50,なかだほなみ,メンバー（3 か月）,きちゃー
0:52,おいしーこふきいも,メンバー（5 か月）,きちゃ！
0:54,こいぬ.,メンバー（1 か月）,きちゃ
0:59,もりさきしーちゃん,メンバー（2 か月）,きちゃ
1:00,グソクムシキング,メンバー（5 か月）,青
1:12,いちじく檸檬[れもん],メンバー（5 か月）,神OP来た
1:12,ォアーー,メンバー（2 か月）,音来てない
1:14,name no,非メンバー,おん？
1:14,Genini ST.,非メンバー,音無し？
1:15,プラナリア,メンバー（5 か月）,ゲーム音入ってない？
1:15,リリーフワンポイント,新規メンバー,音入ってないやで
1:16,めろんぱん,新規メンバー,音きこえない
1:16,deer horse,非メンバー,音ないね…
1:16,こうの,メンバー（5 か月）,音がない
1:17,キコノヨ,非メンバー,誰かものまねしてそうな起動画面
1:17,高科大和,メンバー（5 か月）,ゲーム音入ってる？
1:18,イロハ,非メンバー,あれ音が
1:19,バブミdeオギャリタイ,非メンバー,音なくない？
1:20,さやいんげん,メンバー（5 か月）,音ないね
1:22,徒然なるままに,メンバー（4 か月）,音が無いね
1:22,イロハ,非メンバー,音無しRTAか？
1:23,ししまる,非メンバー,音？
1:23,紅.,新規メンバー,音ないない…
1:24,ゴツメかわうそ,メンバー（5 か月）,音ないね
1:25,グソクムシキング,メンバー（5 か月）,長尾もおらんな
1:26,鰐梨兎羽,非メンバー,音無しになってる
1:27,名無し,メンバー（5 か月）,無音ポケモン？
1:28,しま。,メンバー（2 か月）,音ないなった？
1:30,寝不足kinoco,非メンバー,音がない…
1:30,*れるく,メンバー（4 か月）,音ないね
1:36,北辰,非メンバー,音は自分たちでまたつけるんだろ？
1:38,くろやん。,非メンバー,おとないなった
1:38,ホイップケーキロール,非メンバー,もしかして#無音ポケモン
1:40,邑[むら],メンバー（5 か月）,無音ポケモンたすかる
1:40,高科大和,メンバー（5 か月）,無音ポケモン…
1:41,莉月-りつ-,メンバー（5 か月）,音ないなった
1:42,リリーフワンポイント,新規メンバー,BGM担当の人おやすみ？
1:42,ぽこ,新規メンバー,無音ポケモンだった…？
1:42,ましゃ,メンバー（1 か月）,きちゃ
1:42,七葉/しぐ,メンバー（5 か月）,無音ポケモン始まったな
1:43,さざんか,メンバー（5 か月）,ここにきて無音ポケモンw
1:43,めろんぱん,新規メンバー,ざわ...
1:44,まめまる,メンバー（5 か月）,無音ポケモンかな…？
1:45,wisdom,非メンバー,長尾が音やるんじゃない
1:45,ししまる,非メンバー,まあいずれ直るさ
1:46,T F,非メンバー,obsくんまた機嫌悪くなったか？
1:49,おいしーこふきいも,メンバー（5 か月）,無音ポケモンたすかる
1:50,イロハ,非メンバー,無音ポケモンきちゃ
1:51,紅.,新規メンバー,無音ポケモンかぁ…
1:51,ォアーー,メンバー（2 か月）,今日は無音ポケモンですか？
1:52,鰐梨兎羽,非メンバー,無音ポケモンRTAは流石に草
1:52,くろやん。,非メンバー,げんでゅきを呼ばなきゃ
1:53,さやいんげん,メンバー（5 か月）,無音ポケモン始まったか...
1:53,しま。,メンバー（2 か月）,今私の脳再再生だ試されてるんだな。あいわかった
1:54,天神,非メンバー,ミュート芸？
1:55,もりさきしーちゃん,メンバー（2 か月）,日曜日は無音ポケモン
1:56,なるや,メンバー（5 か月）,無音ポケモンは草
1:56,こうの,メンバー（5 か月）,無音ポケモン把握
1:57,キドココア,メンバー（2 か月）,長尾はOP終わったら出て来るやろ
1:58,高科大和,メンバー（5 か月）,無音ポケモンRTA…
1:59,徒然なるままに,メンバー（4 か月）,無音ポケモンきちゃ
1:59,七葉/しぐ,メンバー（5 か月）,長尾SE:_祓魔して2::_ペンライト:
1:59,*れるく,メンバー（4 か月）,無音ポケモンきちゃ
1:59,あん,非メンバー,ててててーてててー
2:00,asa hi,非メンバー,音無しRTAさみしい
2:00,deer horse,非メンバー,だれかピアノを頼む〜
2:01,イロハ,非メンバー,チチをもげ流れてそう
2:01,グソクムシキング,メンバー（5 か月）,なるほど無音ポケモンか
2:02,歓喜の地底人。,非メンバー,無音ポケRTA助かる
2:05,六文銭,メンバー（5 か月）,無音ポケモンならたすかる
2:06,ましゃ,メンバー（1 か月）,無音ポケモンだったか
2:07,萃朔 Suzaku,メンバー（5 か月）,音がない
2:07,ヌエックオ,メンバー（5 か月）,無音ポケモンなるほどね
2:10,佳南,メンバー（5 か月）,無音RTAは鎖
2:12,Genini ST.,非メンバー,無音ポケモンRTAは笑う
2:14,くろやん。,非メンバー,ｱｧｲ
2:15,ag0341,非メンバー,こっから2時間ミュートは草
2:16,ゴツメかわうそ,メンバー（5 か月）,こんまぶしー！
2:16,歓喜の地底人。,非メンバー,こんまぶし〜
2:17,佳南,メンバー（5 か月）,今出てる
2:17,さやいんげん,メンバー（5 か月）,こんまぶし〜！
2:17,しま。,メンバー（2 か月）,でた
2:17,ォアーー,メンバー（2 か月）,きた
2:17,リリーフワンポイント,新規メンバー,でた！
2:17,紅.,新規メンバー,出た〜！！！！！！！
2:18,deer horse,非メンバー,出た！
2:18,name no,非メンバー,でた！
2:19,マルス,非メンバー,弦月呼んでこなきゃ
2:19,イロハ,非メンバー,出た！
2:19,イロハ,非メンバー,音きちゃ
2:19,ましゃ,メンバー（1 か月）,でた
2:19,ししまる,非メンバー,おっけ
2:20,キドココア,メンバー（2 か月）,てた！
2:20,バブミdeオギャリタイ,非メンバー,今はでてる
2:20,莉月-りつ-,メンバー（5 か月）,今出た
2:20,門松,非メンバー,でた
