timestamp,author_name,membership,text
-15:05,김노바 キム_ノバ,メンバー（2 か月）,まひ...まひ...
-14:46,カイト,メンバー（2 か月）,まひ…まひ…
-14:10,雅統_まさむね,メンバー（1 年）,まひ…まひ…
-14:05,グラナ,メンバー（1 年）,まひ...まひ...
-14:04,オムライス,メンバー（6 か月）,まひ…まひ…
-12:08,いぬ大福,メンバー（1 年）,まひ…まひ…
-10:36,ちる,非メンバー,まひ…まひ…
-9:50,爆弾さん,非メンバー,まひ･･･まひ･･･
-8:09,ここにいるぞ,メンバー（1 年）,まひ…まひ…
-5:24,ブラック・アルベルト,メンバー（1 か月）,まひ…まひ…
-2:43,なの,メンバー（1 年）,まひ…まひ…
-2:28,雪城眞尋/Yukishiro Mahiro【にじさんじ所属】,確認済み,少し遅れます；；
-2:20,ここにいるぞ,メンバー（1 年）,了解！
-2:19,雅統_まさむね,メンバー（1 年）,まひまひお昼何食べるかな
-2:14,グラナ,メンバー（1 年）,ごゆっくり
-2:14,雅統_まさむね,メンバー（1 年）,はいー
-2:09,なの,メンバー（1 年）,了解した！
-2:05,みなづき,メンバー（6 か月）,おっけ〜
-2:04,いぬ大福,メンバー（1 年）,おけー
-2:01,爆弾さん,非メンバー,らじゃ
-1:58,カイト,メンバー（2 か月）,了解！
-1:42,임재혁,非メンバー,>.<
0:17,いぬ大福,メンバー（1 年）,きちゃ
0:22,雅統_まさむね,メンバー（1 年）,こんまひ！
0:31,なの,メンバー（1 年）,こんまひ〜:_チワワ:
0:31,いぬ大福,メンバー（1 年）,こんまひ～:_チワワ:
0:39,Defaultie boi,非メンバー,Hello.
0:52,ヘヴェニン,メンバー（8 か月）,こんまひ〜
1:01,雅統_まさむね,メンバー（1 年）,から揚げ弁当食べた
1:11,カイト,メンバー（2 か月）,こんまひ～
1:18,ラル,メンバー（1 年）,こんまひ～
1:21,マッティ,メンバー（1 年）,こんまひ〜
1:22,雅統_まさむね,メンバー（1 年）,ランクリセットか
1:30,雅統_まさむね,メンバー（1 年）,こんまひ！
1:32,なの,メンバー（1 年）,ランクがんば！
1:33,ぺぺろんちーの,非メンバー,こんまひまひ
1:33,沢柳水面,メンバー（6 か月）,のび助かる
1:48,グラナ,メンバー（1 年）,かわいい
1:48,なの,メンバー（1 年）,かわいい
2:02,#428ゆ空,非メンバー,こんまひ～
2:09,グラナ,メンバー（1 年）,すごいもう盛ってる
2:15,なの,メンバー（1 年）,あがるのがはやい…！
2:31,ラル,メンバー（1 年）,りょ！昼休み終わるまでみてる
2:52,若尾げんじまる,非メンバー,大会までは多くなるよね
3:05,かにゅいゆうま,非メンバー,初見です！！チワワが配信してるって聞いてきました！
3:06,爆弾さん,非メンバー,鉄火巻き
3:07,ざらしあざらし,メンバー（1 年）,大阪王将の唐揚げ弁当
3:10,なの,メンバー（1 年）,昼は無しかな…
3:12,雅統_まさむね,メンバー（1 年）,から揚げの弁当
3:12,いぬ大福,メンバー（1 年）,野菜スープとウエハース
3:22,ちる,非メンバー,イチゴ味のワッフル1つだけ食べてる。
3:23,カイト,メンバー（2 か月）,クリームパン
3:24,ぺぺろんちーの,非メンバー,パンケーキ作った
3:37,雅統_まさむね,メンバー（1 年）,だれやw
3:47,ざらしあざらし,メンバー（1 年）,早速キャンキャン鳴いとる
3:48,沢柳水面,メンバー（6 か月）,すまんな:_チワワ:
4:01,かつしか ゆき,メンバー（6 か月）,こんまひー
4:03,かにゅいゆうま,非メンバー,ごめんなさい、これは言わない約束でした！
4:12,かつしか ゆき,メンバー（6 か月）,まひとも皆言って回ってそう
4:48,ようみね,非メンバー,にじさんじには何の犬種が在籍していますか？
5:11,雅統_まさむね,メンバー（1 年）,ないす！
5:14,グラナ,メンバー（1 年）,うまい
5:22,Cirro Stratus,非メンバー,木曜日のおはよう！そして昼ごはんはなんも食べていない！
5:26,沢柳水面,メンバー（8 か月）,オクターン！
5:29,雅統_まさむね,メンバー（1 年）,がんばってくれー！
5:46,いぬ大福,メンバー（1 年）,:_goodgame:
5:47,なの,メンバー（1 年）,:_goodgame:
6:25,グラナ,メンバー（1 年）,出てきそう
6:32,。えふ,非メンバー,葛葉も犬っちゃ犬
6:34,沢柳水面,メンバー（8 か月）,ケルベロスも
6:46,かにゅいゆうま,非メンバー,雪城チワワって方がいるってきいたんですけど……
6:49,雅統_まさむね,メンバー（1 年）,あー、ケルベロスか
6:51,魔界探偵,非メンバー,にじさんじINU
7:03,シチ,非メンバー,どうあがいても対面はできないでしょうね...
7:17,ダイジロ,メンバー（2 か月）,ワットソンコースティッククリプトのギスギスすき
7:20,いぬ大福,メンバー（1 年）,ケルベロス、犬って言ったら地獄行きだよ
7:22,ここにいるぞ,メンバー（1 年）,地獄の番犬…？
7:25,雅統_まさむね,メンバー（1 年）,犬やねー
7:25,マッティ,メンバー（1 年）,番犬やから犬？
7:27,starglobetripleA,メンバー（6 か月）,番犬だから犬だよ
7:28,シチ,非メンバー,地獄の番犬なんだからイヌでは
7:28,ラル,メンバー（1 年）,犬だよ（番犬）
7:30,グラナ,メンバー（1 年）,犬だね
7:40,ヘルエスタ王国難民ray,非メンバー,けるべろすやもん！！！
7:42,雅統_まさむね,メンバー（1 年）,頭3つある犬やね
7:46,一色,メンバー（1 年）,こんまひ～
8:03,沢柳水面,メンバー（6 か月）,デカマスターきたわね
8:12,なの,メンバー（1 年）,普通は合わない
8:17,シチ,非メンバー,どっちが先輩だっけ
8:39,恋色の赤ずきん,非メンバー,こんまひ～
8:54,マルス,非メンバー,柴犬地獄に突き落としたらケルベロスにならないかな
9:00,雅統_まさむね,メンバー（1 年）,今日は何作れるのかな
9:11,ざらしあざらし,メンバー（1 年）,個人的にはボルトないマスティフ持つくらいなら他の持っちゃうな
10:05,ことりゅう,メンバー（1 年）,こんまひ~
11:32,雅統_まさむね,メンバー（1 年）,ガス痛そう
12:06,ぶー太郎,非メンバー,今海外のライバー達を見に行ったけど多分犬はいない…と思う
12:33,かずぺそ,メンバー（1 年）,あちーち
12:36,雅統_まさむね,メンバー（1 年）,モノクロでわかりにくいw
13:09,いぬ大福,メンバー（1 年）,あぶねー
13:15,グラナ,メンバー（1 年）,びっくりする
13:59,かずぺそ,メンバー（1 年）,どまどま
14:01,ことりゅう,メンバー（1 年）,:_goodgame:
14:06,沢柳水面,メンバー（6 か月）,:_goodgame:
14:46,雅統_まさむね,メンバー（1 年）,アーモンドでお腹いっぱいにならなそうだなー
14:49,かにゅいゆうま,非メンバー,最近は犬用の服もあるらしいですよ
16:19,雅統_まさむね,メンバー（1 年）,蘇生えらい
16:47,グラナ,メンバー（1 年）,悲しくなっちゃう
16:49,30 hoshina,非メンバー,弱い奴ほどなんとやら....
17:08,くろくも,非メンバー,そもそもダウンするなって思うよな………
17:13,沢柳水面,メンバー（6 か月）,かなしいなぁ
17:17,マルス,非メンバー,ガラ悪いやつはそっと報告だけして無視が一番
17:23,ざらしあざらし,メンバー（1 年）,味方のせいにする人は大体上手くならないし気にすること無い
18:07,いぬ大福,メンバー（1 年）,そういうのは、何しても言ってくるから
18:13,グラナ,メンバー（1 年）,えらい
18:13,Kazki Kia,非メンバー,敗因を味方のせいにする奴は下手ソースは俺
18:16,カイト,メンバー（2 か月）,えらい
18:16,マッティ,メンバー（1 年）,それは大人すぎる
18:34,。えふ,非メンバー,それやられたらバナー拾って蘇生しなかったりしてる
19:15,いぬ大福,メンバー（1 年）,そもそも、その人がやられなければ蘇生の手間もないのにって話
19:17,MIL piyo,非メンバー,おはよー
19:20,みなと,非メンバー,ミュート安定ね
19:20,雅統_まさむね,メンバー（1 年）,聞き流せる力もだいじだな…
19:34,ガンジーさん,非メンバー,バナー拾っておくと抜けれないからね
19:41,沢柳水面,メンバー（8 か月）,ﾄﾞｺﾄﾞｺﾄﾞｺﾄﾞｺ
19:59,いぬ大福,メンバー（1 年）,逃げたね
20:00,이이이,非メンバー,장산범이라고아시나요
20:20,グラナ,メンバー（1 年）,待たれてたか
20:31,雅統_まさむね,メンバー（1 年）,待ち伏せかー
20:32,MIL piyo,非メンバー,いい悲鳴
20:38,いぬ大福,メンバー（1 年）,通報よし
20:55,雅統_まさむね,メンバー（1 年）,だまって通報がいいね
20:59,マルス,非メンバー,通報しないとまた次別の人が被害にあっちゃうからね
21:18,ことりゅう,メンバー（1 年）,通報たすかる
21:49,沢柳水面,メンバー（6 か月）,ありがとう…オデ…優しくされてウレシイ…
22:01,グラナ,メンバー（1 年）,チワワ感
22:52,まっち,非メンバー,雪のせいで白飛びして注射器見失ったw
22:56,ことりゅう,メンバー（1 年）,いけるか？
23:01,雅統_まさむね,メンバー（1 年）,頑張ってー！
23:08,reo,非メンバー,あっ
23:17,爆弾さん,非メンバー,優しい
23:18,雅統_まさむね,メンバー（1 年）,間に合ってくれー！
23:22,グラナ,メンバー（1 年）,やさしい
23:32,カイト,メンバー（2 か月）,やさしい
23:40,ざらしあざらし,メンバー（1 年）,味方を見捨てないという強い意志を感じる
24:33,なの,メンバー（1 年）,敵が漁ってるところだったか
24:54,いぬ大福,メンバー（1 年）,:_goodgame:
24:55,くろくも,非メンバー,害獣とあたるとやる気なくすけど下手でも優しい人とあたると「勝たせねば………」って強くなれる気がする
25:00,グラナ,メンバー（1 年）,レイス真っ黒すぎw
25:03,雅統_まさむね,メンバー（1 年）,:_goodgame::_goodgame:
25:06,柿乃木-かき-,非メンバー,gg
25:12,ラリーラリー,非メンバー,同化してやがるぜ！
25:55,みなとゲームCh,非メンバー,高校生でも老眼になる可能性あるから気を付けて
25:58,魔界探偵,非メンバー,健康診断しないと
26:03,雅統_まさむね,メンバー（1 年）,作業もいっぱいするしか
26:07,ラリーラリー,非メンバー,壊れたり無くさない限りメガネは早々変えないよねぇ
26:11,雅統_まさむね,メンバー（1 年）,ハンマーいいなぁ
26:36,える,非メンバー,視力で下を見るの草
26:41,なの,メンバー（1 年）,一緒だわ
26:50,雅統_まさむね,メンバー（1 年）,コンタクト、つけたままにしてしまいそうで、怖い
26:52,交差点Y,非メンバー,眼鏡かけるようになるときって、「悪くなる途中」だから、絶対計り直した方が良い
26:52,ペンギンず,非メンバー,わかるｗ
27:15,魔堂 くりおねch,非メンバー,サムネかわいすぎか
27:35,雅統_まさむね,メンバー（1 年）,微妙な視力の落ちは辛そうだな
27:46,いぬ大福,メンバー（1 年）,合わないままだと、視力低下が加速するから早めに変えた方がいいとは思う
28:10,なの,メンバー（1 年）,アーマーもないしな…逃げていいと思う
28:20,える,非メンバー,実質全裸
28:32,爆弾さん,非メンバー,場外ってなんだろう
28:35,ざらしあざらし,メンバー（1 年）,ハンマーポイントあればまだなんとかなるんやけどな
29:08,若尾げんじまる,非メンバー,gg
29:09,みなとゲームCh,非メンバー,『なぜ一緒にこない？』とかの『？』かな？
29:12,いぬ大福,メンバー（1 年）,:_goodgame:
29:13,テキサス.,非メンバー,？傷つく
29:34,くろくも,非メンバー,味方を把握してない証拠
29:43,雅統_まさむね,メンバー（1 年）,なかなか伝わらないしなー
30:05,A00,メンバー（6 か月）,元プラチナの人ばっかりだからシルバーでは強気
30:12,ざらしあざらし,メンバー（1 年）,強気プレイはVC付けてないと連携取りづらいんよな
30:27,30 hoshina,非メンバー,基本的にパーティ組め定期なのよ
30:32,ぶー太郎,非メンバー,モザンビークしかないという最大の問題が共有できんからな
30:43,みなとゲームCh,非メンバー,でも１番くるのは『^^;;』これ。
30:46,いぬ大福,メンバー（1 年）,そうだね
30:47,雅統_まさむね,メンバー（1 年）,野良は仕方ない…
30:47,交差点Y,非メンバー,友達作りな！
30:50,なの,メンバー（1 年）,全部しょうがないって思いながらやってるわ
30:55,マッティ,メンバー（1 年）,野良で連携はね…仕方ない
31:14,える,非メンバー,RP-の値少ないから強気なんだろうねぇ
31:22,ラリーラリー,非メンバー,友達が先かダイヤが先か
31:42,雅統_まさむね,メンバー（1 年）,友達いるかなぁ
31:53,はなのきん,非メンバー,凄い猛者感w
32:01,なの,メンバー（1 年）,ウイングマンマスティフは猛者…！
32:09,いぬ大福,メンバー（1 年）,イキってると友達出来ない、友達出来ないからイキるの負の無限ループ
32:36,うーしゃん,非メンバー,こんまひです！
32:39,雅統_まさむね,メンバー（1 年）,ウイングマンー
33:21,30 hoshina,非メンバー,威嚇射撃
33:35,ぶー太郎,非メンバー,バンガロールも牽制にいいって言ってるから…
