timestamp,author_name,membership,text
-46:49,なの,メンバー（1 年）,まひ…まひ…
-46:09,雅統_まさむね,メンバー（1 年）,まひ…まひ…
-46:01,いぬ大福,メンバー（1 年）,まひ…まひ…
-43:02,ゔ ゙ ゙ ゙ ゙ ゙,メンバー（11 か月）,まひ...まひ...
-40:21,雅統_まさむね,メンバー（1 年）,まひまひ、叫び大丈夫かな😌
-34:52,ぺいこん,非メンバー,まひ…まひ…
-34:34,せやかて工藤,非メンバー,チワ…ワ…
-33:59,ブラック・アルベルト,メンバー（1 か月）,まひ...まひ...
-33:00,ライナス,非メンバー,まひ...まひ...
-32:34,ちる,非メンバー,まひ…まひ…
-31:59,グラナ,メンバー（1 年）,まひ...まひ...
-30:29,からすみ,メンバー（1 年）,まひ...まひ...
-30:15,春日和,メンバー（2 か月）,まひ…まひ…
-27:03,三篠_さんじょう,メンバー（9 か月）,まひ…まひ…
-25:37,ここにいるぞ,メンバー（1 年）,まひまひ
-19:07,김노바 キム_ノバ,メンバー（3 か月）,まひ...まひ...
-13:32,羽田ゲル,メンバー（6 か月）,まひ…まひ…
-10:54,雅統_まさむね,メンバー（1 年）,まひまひしてきた
-9:52,許すな,メンバー（1 年）,もうこわい
-9:38,いぬ大福,メンバー（1 年）,なんとか、配信までに仕事おわった
-9:30,雅統_まさむね,メンバー（1 年）,お母さんごめんなさい
-9:30,もやや,メンバー（5 か月）,こんまひ〜
-9:22,一色,メンバー（1 年）,まひ…まひ…
-8:33,Nekosakaねこさか,メンバー（1 年）,まひ...まひ...
-8:14,ここにいるぞ,メンバー（1 年）,まひまひしてきた
-7:55,雅統_まさむね,メンバー（1 年）,まひまひーー
-7:52,秀臣,非メンバー,楽しみ😊
-7:47,ウサモチ,メンバー（11 か月）,まひ…まひ…
-7:46,秀臣,非メンバー,早く会いたい♥
-7:34,秀臣,非メンバー,楽しみに待ってます。
-7:27,秀臣,非メンバー,こんばんはぁ
-7:23,Sun-ho Kim,非メンバー,まひまひ
-6:57,ラル,メンバー（1 年）,まひ……まひ……
-5:28,ベルコタ,非メンバー,まひ…まひ…
-4:29,与一,メンバー（4 か月）,まひ....まひ....
-4:13,雅統_まさむね,メンバー（1 年）,今日は参加できるかなぁ
-3:49,いぬ大福,メンバー（1 年）,ついえら
-3:40,ここにいるぞ,メンバー（1 年）,ついえら
-3:30,ウサモチ,メンバー（6 か月）,ついえら
-3:22,アキラクラン,メンバー（1 年）,まひ…まひ…
-3:19,ことりゅう,メンバー（1 年）,日がにゃいかわいい
-2:57,雅統_まさむね,メンバー（1 年）,まひまひ今日もかわいいな
-0:42,narumiku123,非メンバー,まひ…まひ…
-0:39,ぶー太郎,非メンバー,まひ…まひ…
-0:23,雅統_まさむね,メンバー（1 年）,まひ…まひ…
0:09,いぬ大福,メンバー（1 年）,きちゃ
0:18,ここにいるぞ,メンバー（1 年）,きちゃ
0:19,グラナ,メンバー（1 年）,こんまひ～
0:20,いぬ大福,メンバー（1 年）,こんまひ～
0:20,ウサモチ,メンバー（6 か月）,まひ…まひ…
0:21,김노바 キム_ノバ,メンバー（3 か月）,こんまひ～
0:25,ざらしあざらし,メンバー（1 年）,こんまへー
0:26,なの,メンバー（1 年）,こんまひ〜:_チワワ:
