timestamp,author_name,membership,text
-14:48,仙人チーズ,メンバー（1 年 7 か月）,絶妙に不安になる
-14:46,ついつい,メンバー（6 か月）,なるほど～口に位置か
-14:03,づなちゃ狐,メンバー（1 年）,ハーレム主人公へのヘイト草
-13:17,おったゔぁ,メンバー（1 年）,ハーレム主人公をめたくそに言うりりむ好き
-12:49,ついつい,メンバー（6 か月）,りりむはヒロインになれるかな？
-12:15,ひらい,メンバー（1 年）,口の位置ちょい高いのかね
-11:01,タカハシ,非メンバー,この顔はこの顔で…
-10:02,わかにゃ,非メンバー,モブなのでね！
-9:51,ランダム,非メンバー,すげぇ顎が長く見える
-9:22,わかにゃ,非メンバー,前髪ぱっつんだったらちょ〜かわいいのよ
-8:45,TKGライス,メンバー（1 年）,目がもう少し上な気がする
-7:29,ついつい,メンバー（6 か月）,ゲーム内容も楽しみ
-7:26,おったゔぁ,メンバー（1 年）,目鼻立ちが可愛いのに顎のラインにコンプレックスありそうな絶妙なリアルさ
-5:06,づなちゃ狐,メンバー（1 年）,だんだん慣れてきて黒髪のりりむ可愛いなって思うようになってきた...
-3:52,きちね,非メンバー,ぽ
-3:45,健康生活,メンバー（1 年）,ぽえ…
-3:38,おヴぇろん,メンバー（6 か月）,ぽえ…
-3:37,とりた。,非メンバー,ぽえ…
-3:37,づなちゃ狐,メンバー（1 年）,ぽえ...
-3:36,タカハシ,非メンバー,ぽえ…
-3:25,Tacosi,メンバー（1 年）,ぽえ…
-3:22,東京の3Dよしき,メンバー（2 か月）,ぽえ...
-3:19,だむ,メンバー（1 年）,ぽえ…
-3:17,GonzouTV,非メンバー,ぽえ…
-3:15,空住-うつすみ-キオ,メンバー（1 年）,ぽえ……
-3:12,あこん,メンバー（1 年 5 か月）,ぽえ....
-3:09,たなか_,メンバー（1 年）,ぽえ...
-3:03,わかにゃ,非メンバー,ぽえ…
-2:56,きちね,非メンバー,ぽえ…
-2:21,おったゔぁ,メンバー（1 年）,ぽえ…
-2:15,GonzouTV,非メンバー,サムネの顔じわじわくるな…
-2:10,ホタテハマグリ,非メンバー,poe
-2:00,ひらい,メンバー（1 年）,ぽえ…
-1:54,づなちゃ狐,メンバー（1 年）,ヤリ待ち
-1:52,モグ,メンバー（6 か月）,ぽえ…
-1:49,かたなし。,非メンバー,ぽえ……
-1:33,Rio Rio,非メンバー,ぽえ…
-1:26,よしだ,メンバー（2 か月）,ぽえ…
-1:21,ミヤル,メンバー（1 か月）,ぽえ…
-1:18,merenngue mere,メンバー（6 か月）,サムネ違和感しかねえなと思ったらコラじゃねえか
-1:11,ジャックダニエル,非メンバー,ぽ
-1:03,ドムレド,非メンバー,ぽえ....
-0:46,苗木萌奈,非メンバー,こんばんはもなですよろしくお願いします。
-0:22,Rio Rio,非メンバー,ちょっとコラ感が無理やりっぽい(笑)
-0:20,タカハシ,非メンバー,ぽぽ…
-0:19,朝の向日葵,非メンバー,顔りりむで草
-0:07,きちね,非メンバー,髪の毛元の色に染めてぇ
-0:05,和狸ぽん,メンバー（1 年）,丁寧な仕事…
0:16,わかにゃ,非メンバー,きちゃ
0:19,M I,非メンバー,ぽ
0:22,Rio Rio,非メンバー,きちゃ！
0:24,健康生活,メンバー（1 年 2 か月）,きちゃ！
0:27,YF HU,非メンバー,ヤ
0:34,東京の3Dよしき,メンバー（4 か月）,きちゃ
0:37,ミヤル,メンバー（1 か月）,ヤ…
0:47,おったゔぁ,メンバー（1 年 7 か月）,ヒロインがよ…
0:47,おヴぇろん,メンバー（6 か月）,ヤリ
0:47,タカハシ,非メンバー,清楚！？
0:53,わかにゃ,非メンバー,ヤリ！
0:55,とりた。,非メンバー,ヤリをくれ
0:56,づなちゃ狐,メンバー（1 年 5 か月）,ヤリヤリヤリヤリヤリヤリィ！！
0:57,健康生活,メンバー（1 年 2 か月）,ヤリヤリヤリヤリィ！！
1:00,ひらい,メンバー（1 年 6 か月）,ヤリの勢いがすごい
1:03,よしだ,メンバー（2 か月）,ヤリヤリヤリヤリ
1:07,ひもの45,メンバー（1 年）,テンションどうした
1:11,ミヤル,メンバー（1 か月）,ヤリヤリヤリィ！！
1:12,Tacosi,メンバー（1 年 8 か月）,ヤリラッシュ
1:13,s g,非メンバー,おはぽえ
1:14,とりた。,非メンバー,ヤリィィィ！
1:14,だむ,メンバー（1 年 1 か月）,ヤリヤリヤリヤリ
1:24,iroha ao,メンバー（2 か月）,ヤリ
1:25,255_にここ,メンバー（1 年）,ヤリ
1:25,TKGライス,メンバー（1 年）,そんなにヤリたいか
1:27,あらいそ,メンバー（2 か月）,ハーレム主人公アンチ来たね
1:32,必死な菱川,メンバー（1 年）,ヤリ
1:35,color game,非メンバー,ヤリ
1:36,モグ,メンバー（8 か月）,ヤリたがりがよ…
1:36,東京の3Dよしき,メンバー（4 か月）,ブチャラティ
1:36,和狸ぽん,メンバー（1 年 7 か月）,必殺技のような
1:37,きちね,非メンバー,ヤリ
1:38,健康生活,メンバー（1 年）,女漁りのテンション
1:39,T N,メンバー（1 年）,ヤリヤリヤリヤリィィィイイ！！
1:39,づなちゃ狐,メンバー（1 年 5 か月）,おはぽえ〜
1:41,ホタテハマグリ,非メンバー,よしゅ
1:44,Tacosi,メンバー（1 年）,！？
1:44,とりた。,非メンバー,おはぽえ〜
1:45,健康生活,メンバー（1 年）,おはぽえ〜
1:45,おヴぇろん,メンバー（6 か月）,ヤリたすぎでそ
1:46,おったゔぁ,メンバー（1 年）,おはぽえ〜
1:49,東京の3Dよしき,メンバー（4 か月）,草
1:52,ひらい,メンバー（1 年）,おはぽえ〜
1:53,だむ,メンバー（1 年）,おはぽえ～
1:53,color game,非メンバー,おはぽえ〜
1:53,おヴぇろん,メンバー（6 か月）,おはぽえ～
1:54,ついつい,メンバー（6 か月）,おはぽえ～
1:55,Difarc,非メンバー,おはぽえ〜
1:55,天王寺コタロー,非メンバー,ぽえー
1:57,YF HU,非メンバー,おはぽえ
1:58,白蝶,非メンバー,あぁ！かわいい！！
1:59,Tacosi,メンバー（1 年）,おはぽえ～
1:59,ちゃちゃ,非メンバー,ヤリ
2:00,づなちゃ狐,メンバー（1 年 5 か月）,サムネ使ってて草
2:01,7六歩,非メンバー,おはぽえー
2:02,白依しろ,非メンバー,おはぽえ〜
2:02,GonzouTV,非メンバー,おはぽえ～
2:05,あらいそ,メンバー（2 か月）,なんか顔がりりむに似てる
2:05,na_na_shi,非メンバー,おはぽえ～
2:06,モグ,メンバー（8 か月）,おはぽえ～
2:06,平崎明日翔,非メンバー,カワイイ
2:06,Rio Rio,非メンバー,配信画面もりりむ顔で草
2:07,T N,メンバー（1 年）,おはぽえ～
2:10,おヴぇろん,メンバー（6 か月）,いえ～い
2:11,ひらい,メンバー（1 年 6 か月）,好きになっても良いんですか！？
2:12,TKGライス,メンバー（1 年）,おはぽえ〜
2:12,Rio Rio,非メンバー,おはぽえ～
2:12,和狸ぽん,メンバー（1 年）,おはぽえー
2:13,づなちゃ狐,メンバー（1 年 5 か月）,変なの着いてるよ
2:14,五十円,メンバー（1 年 8 か月）,おはぽえ～
2:15,鳩麦麦茶,非メンバー,顔りりむで草
2:16,空住-うつすみ-キオ,メンバー（1 年 11 か月）,りりむ、ハーレム堕ちするのか………
2:18,FuFuFu Online,非メンバー,主人コウ？
2:19,West Height,メンバー（1 か月）,サムネ怖い
2:19,tじゅむちん,非メンバー,なんか目が
2:21,健康生活,メンバー（1 年）,顎やべーぞ
2:22,したじき,メンバー（9 か月）,なんか清楚だな
2:23,さか,非メンバー,作画崩壊してるぞ
2:23,るーまん,メンバー（1 年）,おはぽえ
2:23,Tながおか,非メンバー,おかしくはある
2:24,inutube,非メンバー,モブの顔じゃないｗ
2:24,おそばツルツル丸,非メンバー,モブノりりむ
2:25,T N,メンバー（1 年）,こっわ
2:25,きちね,非メンバー,顔の違和感すげー
2:26,Kazuya desu,非メンバー,草
2:27,merenngue mere,メンバー（10 か月）,おかしさしかない
2:27,おヴぇろん,メンバー（6 か月）,これがデフォ！？
2:27,づなちゃ狐,メンバー（1 年）,そっくりさん？
2:27,s g,非メンバー,りりむはモブ
2:29,na_na_shi,非メンバー,こわ
2:30,高杉さん,新規メンバー,怖い
2:31,たなか_,メンバー（1 年）,おはぽえ〜
2:31,!!,非メンバー,整形しないで
2:32,TKGライス,メンバー（1 年）,りりむの方がかわいいだろ！
2:32,。ヨウ,非メンバー,顔りりむw
2:32,Kazuya desu,非メンバー,似てるなぁ
2:34,とりた。,非メンバー,りりむの妹か？
2:36,ひらい,メンバー（1 年）,顎が気になる
2:37,あらいそ,メンバー（5 か月）,コラうまいね
2:37,Tacosi,メンバー（1 年）,えぇ…
2:37,白蝶,非メンバー,草
2:39,GonzouTV,非メンバー,存在感のあるモブだなぁ
2:41,高杉さん,新規メンバー,ムカつく顔してる
2:41,健康生活,メンバー（1 年 2 か月）,お姉さんですか？
2:42,たま,非メンバー,こんばんはー
2:43,和狸ぽん,メンバー（1 年 7 か月）,生き別れの姉妹…？
2:43,Rio Rio,非メンバー,りりむの姉？ｗ
2:45,SOPHIA,非メンバー,りりむはモブだった…
2:47,ちづる,メンバー（2 年）,これ映して大丈夫？？
2:47,VON,メンバー（1 年）,モブ顔じゃねぇ
2:48,パッチェさん,非メンバー,4番目くらいにヒロインに見える
2:49,ひもの45,メンバー（1 年）,草
2:49,!まのりん!,新規メンバー,21歳感あるね
2:49,だむ,メンバー（1 年 1 か月）,黒髪JKりりむ！？
2:51,ひらい,メンバー（1 年 6 か月）,ガハハハ
2:51,カスケード故障,非メンバー,騙し絵みてえだな
2:51,ジェダイオーダー66,非メンバー,似てる
2:52,Tながおか,非メンバー,草
2:52,健康生活,メンバー（1 年 2 か月）,テンションたっか
2:52,SOUSA KUN,非メンバー,血縁かな？
2:53,ランダム,非メンバー,顎がね…
2:53,K R -,非メンバー,えぇ
2:53,和狸ぽん,メンバー（1 年 7 か月）,くさ
2:56,youkan,非メンバー,はい
2:57,ついつい,メンバー（6 か月）,草
2:57,Tacosi,メンバー（1 年）,ということでね
2:57,ねるねる,非メンバー,こんなモブがおるか
2:58,空住-うつすみ-キオ,メンバー（1 年 11 か月）,なにこの茶番はよ
2:58,ひもの45,メンバー（1 年 5 か月）,昨日言ってたのはこれかな
3:01,!!,非メンバー,わーーーーーー！！！
3:02,Kazuya desu,非メンバー,草
3:03,づなちゃ狐,メンバー（1 年）,草
3:03,senoby,非メンバー,りりむはモブだったかー
3:03,K M,非メンバー,はい
3:03,ミヤル,メンバー（1 か月）,HAHAHA
