timestamp,author_name,membership,text
-8:24,MAX,メンバー（9 か月）,ぽえ...
-8:22,づなちゃ狐,メンバー（1 年 5 か月）,ヤ...
-8:12,ほしつきれんか,新規メンバー,ぽえ…
-8:10,和狸ぽん,メンバー（1 年 7 か月）,遅れるとおもっている
-8:00,YF HU,非メンバー,２０：００の壁草
-7:52,だむ,メンバー（1 年 1 か月）,ぽえ…
-7:36,まろまろ,非メンバー,ぽえ…
-6:39,おったゔぁ,メンバー（1 年 7 か月）,トイレで苦しんでいるのかもしれない
-6:34,GonzouTV,非メンバー,ぽ
-6:25,づなちゃ狐,メンバー（1 年）,痔痔む...
-5:57,五十円,メンバー（1 年 8 か月）,ぽえ…
-5:53,タカハシ,非メンバー,どんなゲームかな
-4:57,GonzouTV,非メンバー,サムネノりりむよい
-3:58,きちね,非メンバー,ぽえ
-3:51,やきささ,メンバー（3 か月）,ぽえ・・・
-3:48,おったゔぁ,メンバー（1 年 7 か月）,ぽえ…
-3:31,かをる,非メンバー,やばいぽえぽえしてきた
-3:21,づなちゃ狐,メンバー（1 年）,ヤリ待ちヤリ無しヤリヤリ
-3:12,ぴえとらいと,メンバー（6 か月）,サムネかわいいな
-2:18,やきささ,メンバー（3 か月）,ヤリっていえ
-1:59,仙人チーズ,メンバー（1 年 7 か月）,シャワー浴びるのまにあった
-1:52,テノヒラクル太郎,非メンバー,今日はこの辺にしといてあげまーす
-1:32,ひらい,メンバー（1 年 6 か月）,りりむさん？
-1:24,ついつい,メンバー（6 か月）,タイトル...
-1:17,魔界ノりりむ,確認済み,なぜか前の配信画面になってしまってる
-1:14,魔界ノりりむ,確認済み,ちょっとまってね
-1:09,づなちゃ狐,メンバー（1 年 5 か月）,りょ
-1:08,タカハシ,非メンバー,うむ
-1:04,ひらい,メンバー（1 年）,おけ
-1:04,仙人チーズ,メンバー（1 年）,りょ！
-1:01,GonzouTV,非メンバー,りょ
-1:01,きちね,非メンバー,おk
