timestamp,author_name,membership,text
-43:03,おそばツルツル丸,非メンバー,うおおおおおおおおお
-40:53,せんしゅ,メンバー（1 年）,うおおおおおおおおおお！！！
-40:47,仙人チーズ,メンバー（1 年）,うおおおおおおおおおおおおおお
-40:39,きつねうどん,メンバー（6 か月）,うおおおおおおおおお
-40:21,伊達成実,メンバー（1 年）,うおおおおおおおお！！
-40:08,シャリンバイ,メンバー（1 年）,うおおおおおおおおおおおお
-39:14,おヴぇろん,メンバー（6 か月）,うおおおおおおおおおおおおおおお
-38:51,大馬鹿三太郎,非メンバー,つあ
-38:03,ふた,新規メンバー,1時過ぎまで見れない:_泣き顔:
-37:19,だむ,メンバー（1 年）,うおおおおおおおおおおおおおおお
-35:26,k k,非メンバー,うおおおおおおおおおおおおおおおお
-35:21,あこん,メンバー（1 年）,うおおおおおおおおお
-33:33,ひもの45,メンバー（1 年）,うおおおおおおお
-30:27,ドリドリ,メンバー（6 か月）,パワプロのときの最終回のときも思ったけどサムネの最終章感エモい
-29:49,和狸ぽん,メンバー（1 年）,エピソード4 陰キャの帰還
-29:34,きのきのこ,メンバー（1 か月）,本当の意味での視聴者参加型企画は最高のクリスマスプレゼントなんだよなぁ。
-29:07,TKGライス,メンバー（1 年）,うおおおおおおお
-28:43,私は大砲よ,非メンバー,このゲームって今から買っても参加できますか
-27:01,和狸ぽん,メンバー（1 年）,早くダウンロードするんだ
-21:51,きのきのこ,メンバー（1 か月）,参加は出来るけど場所まで行くのはかなり大変だぞ! 全体チャットの雰囲気だけでも楽しめるかも! 頑張れ!
-15:23,私は大砲よ,非メンバー,ありがとう とりあえずダウンロードするぜ
-12:45,きのきのこ,メンバー（1 か月）,DL時間かかるけど頑張るんだ。サーバーはRustafied.US Long (US Longで検索)に入るんだよ
-10:42,C-note,非メンバー,手伝いたいのでよろしくお願いします
-8:34,emuori,非メンバー,うおおおおおお
-8:24,きのきのこ,メンバー（1 か月）,Steamの名前が反映されるので陰キャ認識率高めたいならSteamネーム変更して語尾に「^p^」って入れると良いよ
-5:44,おったゔぁ,メンバー（1 年）,うおおおおおおお
-5:22,私は大砲よ,非メンバー,思い切ってdlc込みのやつ買っちゃったから16gもあるぜ
-4:35,仙人チーズ,メンバー（1 年）,ヤリ待ち
