timestamp,author_name,membership,text
-1:50:33,づなちゃ狐,メンバー（1 年 5 か月）,うおぉぉぉぉぉ
-1:47:21,タカハシ,非メンバー,POE♡^p^POE♡
-1:44:04,和狸ぽん,メンバー（1 年 6 か月）,トラウマゲーム…
-1:43:02,ベコ,非メンバー,ゴールデンタイムに活動とか珍しいな
-1:42:30,ひもの45,メンバー（1 年 4 か月）,情に訴えかけられると途端にザルになりそう
-1:14:47,タカハシ,非メンバー,ううぅぅぅおおおおおおおおおおお！！！！！！
-1:09:03,水おいしい,非メンバー,今日3回行動なのか
-1:02:17,づなちゃ狐,メンバー（1 年 5 か月）,楽しみ！:_ひだりて::_おとこ:
-49:52,ついつい,メンバー（6 か月）,初めて見るから楽しみだ！
-49:03,ひらい,メンバー（1 年 6 か月）,りりむがウソ聞く側なの珍しいな
-48:12,ifg opsss,非メンバー,どこまでいけるかな・・・
-37:09,YF HU,非メンバー,待機ぽえ
-36:47,ほっきょくねこ,メンバー（1 年 1 か月）,ぽえ…ぽえ…
-36:14,きのきのこ,新規メンバー,ぽえ・・・今度のゲームは基本的にまちがい探しメインみたいだけど書類の漢字がちゃんと読めるか不安ね・・・
-22:36,アカコメ,非メンバー,左の顔の人が某有名人に見える...ミーム汚染怖い
-15:54,ラットくん,非メンバー,黒川の手帳
-14:32,空住-うつすみ-キオ,メンバー（1 年 11 か月）,りりむので初めてこのゲームの内容知るわ
-14:02,アージェント,メンバー（10 か月）,嘘とかそれ以前の問題になりそう
-13:23,GonzouTV,非メンバー,楽しみすぎる
-11:00,づなちゃ狐,メンバー（1 年 5 か月）,りりむ審査官はどんな仕事するかな:_へん顔:
-8:06,ぽっこ,非メンバー,剣持がコメしそう（予言）
-7:24,むに田,非メンバー,推しが好きなゲーム配信でやってくれる世界線ってここ？？
-6:52,うたまろ,メンバー（2 年、2 か月）,poe
-6:30,こみゃう,メンバー（8 か月）,:_へん顔:
-5:24,おヴぇろん,メンバー（6 か月）,^p^
-4:58,Exiled One,非メンバー,ｱ”ｳ”ｱ”ｳ” ｵ”ｳ”ｲ”ｲ”ｲ”ｨ”ｨ”
-3:05,おったゔぁ,メンバー（1 年 7 か月）,ぽえ…
-2:58,づなちゃ狐,メンバー（1 年 5 か月）,ぽえ...
-2:51,らいむ,メンバー（1 年 1 か月）,ぽえ
-2:50,きのきのこ,新規メンバー,ぽえ…
-2:48,だむ,メンバー（1 年 1 か月）,ぽえ…
-2:47,ひらい,メンバー（1 年 6 か月）,ぽえ…
-2:43,空住-うつすみ-キオ,メンバー（1 年 11 か月）,ぽえ………
-2:38,おヴぇろん,メンバー（6 か月）,ぽえ…
-2:14,A00,メンバー（1 年 10 か月）,ぽえ…
-1:59,R K,非メンバー,ぽえ…
-1:39,らに,非メンバー,ぽえ…
-1:37,シオン,非メンバー,ぽえ…
-1:28,づなちゃ狐,メンバー（1 年 5 か月）,ヤリ待ち
-1:02,陰キャ省副大臣,非メンバー,ぽえ…
-0:56,うたまろ,メンバー（2 年、2 か月）,ヤリ待ち
-0:50,たなか_,メンバー（1 年 3 か月）,ぽえ...
-0:49,ぬぴあ,メンバー（3 か月）,ぽえ…
-0:42,ドリドリ,メンバー（6 か月）,ぽえ…
-0:37,和狸ぽん,メンバー（1 年 6 か月）,かわいいなあ
-0:35,GonzouTV,非メンバー,ぽえ…
-0:12,水上つらら,非メンバー,ぽえ…
-0:10,らに,非メンバー,始まろうとしております
0:20,うたまろ,メンバー（2 年、2 か月）,きちゃ
0:21,おったゔぁ,メンバー（1 年 7 か月）,ヤらずに
0:22,づなちゃ狐,メンバー（1 年 5 か月）,ヤ...
0:25,きのきのこ,新規メンバー,きちゃ
0:25,ひらい,メンバー（1 年 6 か月）,ヤリ
0:26,おヴぇろん,メンバー（6 か月）,ヤリ
0:33,kani,新規メンバー,ヤリ
0:33,カツえ。,非メンバー,初めてリアルタイムで見れる、、、
0:33,TKGライス,メンバー（1 年 1 か月）,ヤリ
0:34,陰キャ省副大臣,非メンバー,きちゃ
0:34,おったゔぁ,メンバー（1 年 7 か月）,ヤリ
0:35,空住-うつすみ-キオ,メンバー（1 年 11 か月）,ヤリ
0:35,だむ,メンバー（1 年 1 か月）,ヤリ
0:36,五十円,メンバー（1 年 7 か月）,ヤリ
0:38,づなちゃ狐,メンバー（1 年 5 か月）,ヤリ
0:43,ミヤル,新規メンバー,ヤリ
0:43,micrott,非メンバー,アニメのりりむ
0:45,和狸ぽん,メンバー（1 年 6 か月）,よ
0:46,YF HU,非メンバー,かわいい
0:46,服緒掛,メンバー（11 か月）,ヤリ
0:48,りんど,メンバー（7 か月）,ヤリ
0:50,インベーダー,新規メンバー,ヤリ
0:53,ぬぴあ,メンバー（3 か月）,ヤリ
0:55,GonzouTV,非メンバー,本日2回目のヤリ
0:56,モグ,メンバー（7 か月）,ヤリ
1:03,必死な菱川,メンバー（1 年 11 か月）,ヤリ
1:04,マーニー,非メンバー,さっき見た
1:06,野菜人の王子,非メンバー,ヤリ
1:07,dungeon escape,非メンバー,槍
1:09,づなちゃ狐,メンバー（1 年 5 か月）,1日2回もヤリできるなんて
1:13,びぃ,非メンバー,ヤリ
1:13,流し素麺の受けバケツ,メンバー（1 か月）,ぽえ
1:13,ほっきょくねこ,メンバー（1 年 1 か月）,ヤリヤリ
1:14,PPP,メンバー（1 年 4 か月）,槍槍槍槍
1:16,T N,メンバー（1 年 6 か月）,ヤリ
1:17,WRyou_Italy,非メンバー,りりむに出来るのかこのゲーム
1:20,おそばツルツル丸,非メンバー,おはぽえ～
1:20,ドリドリ,メンバー（6 か月）,おはぽえ〜
1:21,宮村,非メンバー,ヤリ
1:21,ケンフー,非メンバー,成功した
1:21,こみゃう,メンバー（8 か月）,おはぽえ
1:22,おヴぇろん,メンバー（6 か月）,おはぽえ～
1:23,和狸ぽん,メンバー（1 年 6 か月）,おおお
1:23,づなちゃ狐,メンバー（1 年 5 か月）,本日二度目のおはぽえ〜
1:24,おったゔぁ,メンバー（1 年 7 か月）,アルストツカに栄光あれ！
1:25,たなか_,メンバー（1 年 3 か月）,おはぽえ〜
1:26,ひらい,メンバー（1 年 6 か月）,おはぽえ〜
