timestamp,author_name,membership,text
-44:45,ののののの,非メンバー,タルタリヤガンバって〜
-32:14,ておきち,非メンバー,がんばえ～
-31:52,結晶派生のピーマン,非メンバー,圧勝かぁー楽しみだなぁ(期待)
-29:23,A HR,非メンバー,Ver1.3の岩修正案がそのままなら鐘離先生で完封できると思うんじゃけどな
-21:42,Bintang Alamsyah,非メンバー,dikit lagi
-19:13,刃,メンバー（1 年）,待機
-18:59,咲良レン,メンバー（6 か月）,ちゃいき
-14:31,ふりーとーと,メンバー（1 か月）,待機
-10:27,atまつ,非メンバー,そろそろ世界ランク上がってボスも強くなりますね！
-10:23,すやすやこんぶ,メンバー（2 か月）,ちゃいき
-10:11,alex Lin,非メンバー,待機
-9:45,安以宇衣於,非メンバー,ドラスパで悪態ついてるお嬢が楽しみだなぁ
-9:05,崩星咆哮炮,非メンバー,hey_ do you guys satisfied with the Zhongli's buff plan?
-8:50,无关风月,非メンバー,芜湖起飞☁️☁️☁️☁️☁️🛫
-8:38,无关风月,非メンバー,hey guys
-7:42,无关风月,非メンバー,I wanna know what tends you on
-6:51,EliThaning,非メンバー,ドラスパコントあと3日か
-4:37,アポロン様ぁ〜!,非メンバー,次のアプデでタルタル強化くるが、お嬢的にはどうなのだろうか
-3:50,衝撃のセンちゃん,メンバー（1 年）,ちゃいき
-3:23,* violet,非メンバー,やあ
-3:07,滝航,非メンバー,やあ
-2:57,アポロン様ぁ〜!,非メンバー,そろそろやね？
-2:43,薛怡然,非メンバー,待機
-2:27,みらふ,非メンバー,コント楽しみ
-2:05,アポロン様ぁ〜!,非メンバー,タルタル頑張れよ
-2:05,Amanda Cay,非メンバー,gogogo
-1:56,tooka saka,非メンバー,待機
-1:53,* violet,非メンバー,今週のドリフは遅いね
-1:49,せりな,非メンバー,圧勝楽しみ
-1:49,DynamiteLi,非メンバー,お嬢は”捕まえた”側だから、タルちゃん強化しても関係ない
-1:38,ののののの,非メンバー,タルタリヤがんばれー！
-1:20,Rimuru Tempest,非メンバー,:shelterin:
-1:10,雪風,メンバー（1 年）,ちゃいき
-1:07,滝航,非メンバー,コントと言いつつ毎回成長してるんで早くドラゴンスパイン始まって欲しい
-0:56,カルテ,非メンバー,まーたタルタル戦でメスになるのかな
-0:51,アポロン様ぁ〜!,非メンバー,きちゃ！
-0:49,ぺろりん,非メンバー,(タルタルが)圧勝
-0:49,U-N-K,メンバー（1 年）,固定えら
-0:49,衝撃のセンちゃん,メンバー（1 年）,固定きちゃ
-0:47,* violet,非メンバー,コメント固定ヨシ！
-0:45,ゆうこよしだ,非メンバー,逃げ足が早いようだね
-0:43,大納言ハムスター,非メンバー,きたわね
-0:40,咲良レン,メンバー（6 か月）,固定えらい
-0:38,玉藻の前,非メンバー,きちゃ！
-0:37,カルテ,非メンバー,固定えらいね
-0:28,リモナ,非メンバー,きちゃ
-0:28,ふりーとーと,メンバー（1 か月）,固定えらい
-0:03,通りすがりの通行人A,非メンバー,タルタリヤが勝つに１万コル。
0:08,アポロン様ぁ〜!,非メンバー,龍と狼にも一応期待しておこうか
0:15,滝航,非メンバー,きちゃ
0:21,无关风月,非メンバー,ピエン
0:24,衝撃のセンちゃん,メンバー（1 年）,きちゃ！
0:28,雪風,メンバー（1 年）,きちゃ
0:29,さしはら,メンバー（6 か月）,きちゃ
0:30,イカ,非メンバー,きちゃ
0:32,仙波山senbayama,メンバー（1 か月）,きちゃ
0:35,U-N-K,メンバー（1 年）,:_わーわー::_わーわーわ:
0:37,こっぱむ,メンバー（1 年）,kicya-
0:38,t K,非メンバー,来たわね
0:38,あらや,メンバー（1 年）,きちゃー
0:39,トロンボ,非メンバー,タルタルが勝つに100円
0:39,朝霧,非メンバー,きちゃ
0:39,あらた,非メンバー,きちゃ
0:48,青間ソラ,メンバー（1 年）,きちゃ
0:51,滝航,非メンバー,タルタルに今何連敗中なんだろ
0:53,富岡ハヤトン,メンバー（1 年）,きちゃ
0:53,刃,メンバー（1 年）,きちゃ！
0:56,シュレン。,メンバー（6 か月）,:_きちゃ::_きちゃああああ::_きちゃあああ::_にょろにょろ::_にぱー:
1:02,alex Lin,非メンバー,きちゃ
1:02,時雨彼方,メンバー（2 年）,きちゃ！
1:04,うさだ,メンバー（2 か月）,きちゃ
1:07,KOO,メンバー（1 か月）,きちゃー！
1:39,咲良レン,メンバー（6 か月）,ごきげんよう〜
1:40,Dr.ジャッカル,非メンバー,ごきげんよう〜
