timestamp,author_name,membership,text
-35:20,KUMATO KUROGUM,メンバー（6 か月）,朝活たすかる
-31:55,Yuu,非メンバー,サムネ神ってる
-29:43,くれあ・あるしぇふぃーるどClaire Alsheffield,メンバー（1 年）,このサムネ気に入ったのかな?かわいいよねぇ
-28:42,ゆら,メンバー（6 か月）,ちゃいき
-28:22,poti mo,非メンバー,ちゃいき
-28:17,ナミ,非メンバー,サムネかわヨ
-28:13,びんす,メンバー（2 年）,ちゃいき
-28:02,ゆーき。,メンバー（1 年）,ちゃいき
-26:28,仙波山senbayama,メンバー（1 か月）,ちゃいき
-26:16,ふりーとーと,メンバー（1 か月）,サムネかわいいね
-25:42,poti mo,非メンバー,早く始まんないかちゃ～
-25:02,さしはら,メンバー（6 か月）,ちゃいき
-19:41,ヘビマヨくんまたはデブの食い物,メンバー（1 年）,ちゃいき
-17:21,ノーモア張り手,非メンバー,いい世界線来れた
-13:07,yuu to,非メンバー,早く起きてよかった
-12:46,ram_ラム,非メンバー,夜勤明けやぁ〜眠い😪
-12:02,富岡ハヤトン,メンバー（1 年）,ちゃいき
-11:02,なななるるる,非メンバー,ちゃいき
-7:51,255_にここ,メンバー（2 年）,素直にかわいい
-6:18,リコール毛玉,非メンバー,ちゃいき♪
-4:58,きちゃまる,メンバー（1 年）,ちゃいき！
-4:57,きたがわ,非メンバー,さむねかっっわ
-4:51,ただのマサカズ,メンバー（1 年）,ちゃい
-4:11,Shunsuke Nagai,メンバー（1 年）,久々に待機からだ
-4:10,おかゆ,非メンバー,ちゃいき
-4:06,yuu to,非メンバー,ちゃいき
-4:06,エーニャΩ,非メンバー,サムネ卑怯すぎる
-4:03,うしごのこーちゃ,非メンバー,ちゃいき
-4:02,KUMATO KUROGUM,メンバー（6 か月）,:_きちゃああああ::_きちゃあああ::_いいいいい::_きちゃ::_わーわー::_わーわーわ:
-3:52,のまのま,非メンバー,ちゃいき
-3:44,まえだけいじ,非メンバー,カプセルガチャリオン様がないのが残念だニャ
-3:43,AIEXUS.レイチェル,非メンバー,待機
-3:40,D N,非メンバー,ママ～🙆
-3:38,咲良レン,メンバー（6 か月）,:_きちゃああああ::_きちゃあああ::_きちゃああああ::_きちゃあああ::_きちゃああああ::_きちゃあああ::_いいいいい::_きちゃ::_にょろにょろ:
-3:07,ふりーとーと,メンバー（1 か月）,待機
-2:44,artemis x,非メンバー,It’s 1 am here
-2:36,artemis x,非メンバー,I’m broke now
-2:23,ふみとも,非メンバー,たいき
-2:18,Noah,非メンバー,待機
-1:48,ノーモア張り手,非メンバー,二度寝してたらおもろい
-1:18,かずよし,メンバー（1 年）,このサムネ、スマホ壁紙にほちい
-1:16,artemis x,非メンバー,:washhands::shelterin:
-0:54,etalif,メンバー（6 か月）,:_きちゃああああ::_きちゃあああ::_きちゃあああ::_いいいいい::_だくてｎ::_きちゃ:
-0:44,M面白判定士,非メンバー,ちゃいき
-0:23,かずよし,メンバー（1 年）,:_ゆるせねぇよなのね::_きちゃああああ::_きちゃあああ::_いいいいい::_ゆるせねぇよなのな:
-0:10,きちゃまる,メンバー（1 年）,:_きちゃ::_きちゃああああ::_きちゃあああ::_はてな:
-0:04,M面白判定士,非メンバー,このサムネのお嬢激かわ
0:25,登坂KING,非メンバー,きちゃ
0:28,青間ソラ,メンバー（1 年）,きちゃ
0:31,咲良レン,メンバー（6 か月）,:_きちゃ::_きちゃああああ::_きちゃあああ::_ハート:
0:32,ゆら,メンバー（6 か月）,きちゃ
0:34,エーニャΩ,非メンバー,きちゃ
0:42,のまのま,非メンバー,きちゃ
0:43,富岡ハヤトン,メンバー（1 年）,きちゃ
0:46,リコール毛玉,非メンバー,きちゃ!
0:46,くれあ・あるしぇふぃーるどClaire Alsheffield,メンバー（1 年）,:_きちゃ::_きちゃああああ::_きちゃあああ:
