timestamp,author_name,membership,text
-4:08,ムイ,非メンバー,待機
-3:54,ふりーとーと,メンバー（1 か月）,にじさんじを知れた一年だった
-3:49,かずよし,メンバー（1 年）,:_にゃい::_きちゃ:
-3:46,クロエ,新規メンバー,たいき
-3:39,ムイ,非メンバー,お嬢ははたして起きてるのかどうか
-3:39,KUMATO KUROGUM,メンバー（6 か月）,にじさんじと出会い救われた1年でした
-3:31,ななばた,非メンバー,待機ー
-3:31,ディア,メンバー（6 か月）,たいき
-3:22,takapon,非メンバー,待機
-3:15,ふりーとーと,メンバー（1 か月）,多分寝てるな
-3:15,モビルスーツ大海[おおうみ],メンバー（2 か月）,待機ー
-3:15,meta,新規メンバー,にじさんじと出会った1年でした
-3:05,Blue Blue,非メンバー,待機
-2:56,ハーマイオニー・グレンジャー,非メンバー,待機
-2:30,岐阜県,メンバー（6 か月）,待機
-2:27,檸檬汁,非メンバー,寝起きから始まると予想
-2:19,とらくしい,メンバー（1 年）,ちゃいき
-2:16,かじゃ・ふっき,メンバー（6 か月）,待機
-1:58,rie,新規メンバー,待機
-1:57,ふりーとーと,メンバー（1 か月）,またコメント欄がフリーチャットになる予感
-1:51,ムイ,非メンバー,寝るならせめて配信画面に映して
-1:44,Shin,非メンバー,ちゃいき
-1:29,檸檬汁,非メンバー,フリチャ化したら笑う
-1:27,ミヤコー,非メンバー,ちゃいき
-1:25,RUIN,非メンバー,すやすや…？
-1:25,天城,メンバー（2 か月）,ちゃいき
-1:15,完全体綾鷹,メンバー（6 か月）,年末調整助かる
-1:14,夢見なむ,メンバー（2 か月）,寝てるわけないだろいい加減にしろ！！
-1:12,もとまち,メンバー（1 か月）,間に合っつ。
-1:12,ふりーとーと,メンバー（1 か月）,寝る子は育つ
-1:01,ショーカ,非メンバー,スヤスヤだ
-0:57,朝霧,新規メンバー,RTしてたから準備はしてるはず
-0:51,ヴェヴェルンヴォ,メンバー（6 か月）,待機
-0:51,登坂KING,新規メンバー,お前ら数分で、寝てるとか言ってたら、まただからモテないってお嬢に言われるぞ？
-0:48,岐阜県,メンバー（6 か月）,1時間前にRTしてたし起きてるやろ～～～
-0:48,檸檬汁,非メンバー,なら大丈夫か
-0:46,氷天るか,メンバー（1 年）,2分ぐらい待てってキレられるぞ
-0:46,上やん下やんっ!,メンバー（6 か月）,👺まだ判断が早い
-0:43,すやすやこんぶ,メンバー（2 か月）,輪ゴム付けてるのかな
-0:42,岐阜県,メンバー（6 か月）,輪ゴム探してるんじゃね
-0:36,ゴールドパンプキン,メンバー（1 年）,:_きちゃああああ::_きちゃあああ::_いいいいい:
-0:31,かじゃ・ふっき,メンバー（6 か月）,まだ輪ゴムなんだろか
-0:23,ひろぽん,非メンバー,またミスド戦争始まるんですか
-0:22,あらや,メンバー（2 年）,寝てそう
-0:17,檸檬汁,非メンバー,輪ゴム説浮上してて草
-0:14,meta,新規メンバー,年末なんだから気長に待ちましょ
-0:09,夢見なむ,メンバー（2 か月）,機材慣れてないし10分くらいしゃーないやろ
-0:09,ラングレー,非メンバー,ワゴ宮リオン
-0:03,KUMATO KUROGUM,メンバー（6 か月）,全身輪ゴム……ハム……ゲフンゲフン
-0:00,360度,非メンバー,あれ、寝てるん？
0:01,ムイ,非メンバー,ゴムゴムのリオンの準備中か
0:12,くろるん,メンバー（2 か月）,:_きちゃ::_きちゃああああ::_きちゃあああ:
0:12,岐阜県,メンバー（6 か月）,きちゃ
0:20,檸檬汁,非メンバー,きちゃ
0:20,せんしゅ,メンバー（1 年）,きちゃ
0:20,ゴールドパンプキン,メンバー（1 年）,きちゃ
0:21,綾乃姫,メンバー（6 か月）,:_きちゃ::_きちゃああああ::_きちゃあああ:
0:24,t i,メンバー（2 年）,きちゃ
0:25,りあもん,非メンバー,きちゃ
0:25,とらくしい,メンバー（1 年）,きちゃ
0:27,宇佐見慧音,非メンバー,きちゃ
0:30,ニャルキさん,メンバー（2 か月）,きちゃ
0:34,blackねこクロネコヤマト,メンバー（2 か月）,きちゃ
0:37,HAL,メンバー（1 年）,:_きちゃ::_きちゃああああ::_きちゃあああ:
0:37,クロエ,新規メンバー,:_きちゃ::_きちゃああああ::_きちゃあああ:
0:37,きちぇない丸,メンバー（1 年）,きちゃ
0:37,ミヤコー,非メンバー,きちゃ
0:37,えいの,メンバー（2 年）,きちゃー
0:38,上やん下やんっ!,メンバー（6 か月）,きちゃ！
0:40,リコール毛玉,非メンバー,きちゃ!
0:45,ショーカ,非メンバー,きちゃ
0:48,ヴェヴェルンヴォ,メンバー（6 か月）,きちゃ
0:48,曼珠沙華_マンジュシャゲ_,メンバー（2 か月）,:_きちゃ::_きちゃああああ::_きちゃあああ:
0:50,t i i t,非メンバー,果たして3Dなのか
0:50,ちゃまる,非メンバー,きちゃ
0:50,ムクムク,メンバー（1 年）,きちゃ〜
0:55,こっぱむ,メンバー（1 年）,きちゃー
0:58,もとまち,メンバー（1 か月）,来たね。
1:01,檸檬汁,非メンバー,ワクワク
1:02,Corvin Inocencio,非メンバー,konbanwa
1:04,夢見なむ,メンバー（2 か月）,きちゃ！
1:09,メロンパン,非メンバー,きちゃ
1:09,秋月,非メンバー,きちゃ～
1:14,有栖川シューヴェルト,非メンバー,きちゃ
1:41,kaiei[かいえい],メンバー（1 年）,きちゃ
1:46,【とりあえず批判する男】仮面ライダー,非メンバー,きしょ
1:50,ハーマイオニー・グレンジャー,非メンバー,きちゃ
1:50,増殖パスタ,非メンバー,きちゃ
1:52,すてねこりるら,メンバー（1 年）,ごきげんよう
1:55,檸檬汁,非メンバー,お
2:00,かじゃ・ふっき,メンバー（6 か月）,お？
2:02,ムイ,非メンバー,ご機嫌よう〜
2:03,ふりーとーと,メンバー（1 か月）,おお
2:03,上やん下やんっ!,メンバー（6 か月）,デバフジャンプだ
2:03,せんしゅ,メンバー（1 年）,はい！はい！
2:05,日鬼あまめ,非メンバー,きちゃあああああ
2:08,サイスメロ,非メンバー,お
2:08,ムイ,非メンバー,お？
2:10,メロンパン,非メンバー,リーオン！
2:10,can-toku CANトク,非メンバー,ﾊｲ ﾊｲ ﾊｲ
2:10,時雨彼方,メンバー（2 年）,うおおおおおおおおおお
2:16,ショーカ,非メンバー,いくよ！
2:16,ひろぽん,非メンバー,テンション上がるなぁ！
2:17,せんしゅ,メンバー（1 年）,ごきげんよう
2:17,岐阜県,メンバー（6 か月）,ごきげんよ～
2:17,ゴールドパンプキン,メンバー（1 年）,ごきげんよう～
2:17,阿部慎之助,非メンバー,神bgm
2:18,夢見なむ,メンバー（2 か月）,ごきげんよー
2:18,ゆら,メンバー（6 か月）,ごきげんよう～
2:19,すてねこりるら,メンバー（1 年）,きちゃー
2:19,ななばた,非メンバー,ごきげんよう～
2:21,asi max,メンバー（2 年）,ごきげんよう～
2:21,しっぽもえ,メンバー（1 年）,ごきげんよう〜
2:21,白坂つづら,非メンバー,ごきげんよう
2:24,びんす,メンバー（2 年）,ごきげんよう～
2:24,朝霧,新規メンバー,3D:_きちゃ::_きちゃああああ::_きちゃあああ::_ゆるせねぇよな:
2:24,遠坂风林,メンバー（2 か月）,:_やびやび::_やびやび::_やびやび:
2:24,ニャルキさん,メンバー（2 か月）,ごきげんよう～
2:24,かなつき,メンバー（6 か月）,ごきげんよう〜
2:24,すてねこりるら,メンバー（1 年）,ごきげんよう
2:25,あふたーれいん,非メンバー,ごきげんよう
2:25,ホウオウ[Ho-Oh],新規メンバー,ごきげんよう
2:25,ちゃんやさ,メンバー（1 か月）,ごきげんよう～
2:25,コウユージ,メンバー（1 年）,にじ３Dだ”
2:26,じろまる。,新規メンバー,ごきげんよう〜
2:27,仙波山senbayama,メンバー（2 か月）,🤟🤟🤟
2:27,meta,新規メンバー,にじ3D:_きちゃ::_きちゃああああ::_きちゃあああ:
2:27,ムクムク,メンバー（1 年）,ごきげんよう〜♪
2:27,mog mog,非メンバー,ごきげんよー
2:28,サキ,非メンバー,ごきげんよ～
2:28,日鬼あまめ,非メンバー,はいかわいい
2:34,コウユージ,メンバー（1 年）,:_にぱー::_にぱー:
2:36,mog mog,非メンバー,です！
