timestamp,author_name,membership,text
-19:20,咲良レン,メンバー（8 か月）,枠ヨシ！
-19:17,りりうむ,メンバー（1 か月）,ちゃいき
-18:59,ebiFLY,新規メンバー,ちゃいき
-17:33,ワイス,メンバー（2 か月）,ちゃいき
-15:58,クコの実Kuko,非メンバー,運転によっては免許返納…
-15:47,刃,メンバー（1 年）,待機
-15:43,びんす,メンバー（2 年）,:_きちゃああああ::_きちゃあああ::_きちゃああああ::_きちゃあああ::_きちゃああああ::_きちゃあああ:
-14:00,きなこなこ,メンバー（1 年 10 か月）,:_きちゃああああ::_きちゃあああ::_いいいいい::_きちゃ:
-13:31,ななばた,非メンバー,待機ー！
-10:21,U-N-K,メンバー（1 年 6 か月）,:_きちゃああああ::_きちゃあああ::_いいいいい::_きちゃ:
-10:05,芋男爵,メンバー（1 か月）,路上練習:_ゆるせねえよなのゆ::_ゆるせねぇよなのせ::_ゆるせねぇよなのな::_はてな:
-9:39,岐阜県,メンバー（6 か月）,横に教官乗せないと
-8:33,ワイス,メンバー（3 か月）,横に乗る教官が危ない...
-8:23,ふりーとーと,メンバー（1 か月）,待機
-8:08,ふりーとーと,メンバー（1 か月）,教官危ないのは草
-8:05,たぬジョー。,メンバー（1 年）,場内教習で事故りそう
-7:41,天狼,メンバー（3 か月）,:_きちゃああああ::_きちゃあああ::_いいいいい::_きちゃ:
-7:30,リア。,非メンバー,免許持ってる人一緒に乗せないと
-7:17,ハーマイオニー・グレンジャー,非メンバー,リアルの教官も気おつけないと暴言吐いてくるから注意
-7:06,芋男爵,メンバー（1 か月）,路上（世田谷）
-7:01,ワイス,メンバー（3 か月）,持ってる人も事故に巻き込まれる...
-5:36,くろるん,メンバー（2 か月）,:_きちゃああああ::_きちゃあああ::_いいいいい::_きちゃ:
-4:47,すやすやこんぶ,メンバー（2 か月）,ちゃいき
-4:27,A.Hartanto P.N.L.U,非メンバー,aku disini_menunggumu.
-3:51,仙波山senbayama,メンバー（1 か月）,:_きちゃああああ::_きちゃあああ::_いいいいい::_きちゃ:
-3:51,ふりーとーと,メンバー（1 か月）,何気に幼女戦記EDの歌ってみたも60万再生行ったんですね。。。おめおめ
-3:21,ワイス,メンバー（3 か月）,それは:_おめおめ::_おめおめ:だね
-2:47,255_にここ,メンバー（2 年）,がんばえ〜
-2:44,仙波山senbayama,メンバー（1 か月）,:_おめおめ::_おめおめ:
-2:04,橘たれまよ,メンバー（11 か月）,ちゃいき
-1:44,刃,メンバー（1 年）,:_おめおめ::_おめおめ:
-1:29,橘たれまよ,メンバー（11 か月）,:_おめおめ::_おめおめ:
-0:18,上やん下やんっ!,メンバー（6 か月）,:_おめおめ::_おめおめ:
-0:12,Osman Pasha,非メンバー,Yep_ Imma wait
-0:10,くれあ・あるしぇふぃーるどClaire Alsheffield,メンバー（1 年 5 か月）,:_きちゃああああ::_きちゃあああ::_いいいいい::_きちゃ:
-0:04,ゆーき。,メンバー（1 年 4 か月）,ちゃいき
0:07,KUMATO KUROGUM,メンバー（7 か月）,ちゃいき
0:14,もとまち,メンバー（1 か月）,リアタイ！
0:16,ハーマイオニー・グレンジャー,非メンバー,きちゃ
0:18,たぬジョー。,メンバー（1 年 3 か月）,きちゃーーーーー
0:19,しっぽもえ,メンバー（6 か月）,きちゃ
0:19,KOO,新規メンバー,きちゃ〜
0:19,咲良レン,メンバー（8 か月）,再生回数＆ボイス販売開始:_おめおめ::_おめおめ:
0:21,リア。,非メンバー,きちゃ！
0:25,くろるん,メンバー（3 か月）,:_きちゃ::_きちゃああああ::_きちゃあああ::_にょろにょろ::_ゆるせねぇよな:
