timestamp,author_name,membership,text
-7:30,咲良レン,メンバー（8 か月）,ちゃいき
-5:55,きちゃまる,メンバー（1 年 1 か月）,ちゃいき〜
-5:05,artemis x,非メンバー,hey
-4:44,衝撃のセンちゃん,メンバー（1 年）,ちゃいき
-4:32,びんす,メンバー（2 年）,ちゃいき
-4:17,めるせです,メンバー（8 か月）,:virtualhug:
-3:02,ふりーとーと,メンバー（1 か月）,待機
-3:02,すやすやこんぶ,メンバー（2 か月）,ちゃいき
-2:18,朝霧,非メンバー,待機
-0:31,KUMATO KUROGUM,メンバー（7 か月）,ちゃいき
0:18,岐阜県,メンバー（11 か月）,きちゃ
0:18,びんす,メンバー（2 年）,きちゃ
0:21,きちゃまる,メンバー（1 年 1 か月）,きちゃ
0:23,雪風,メンバー（1 年）,きちゃ
0:26,朝霧,非メンバー,きちゃ
0:26,まじょぼう,非メンバー,きちゃ
0:28,衝撃のセンちゃん,メンバー（1 年）,きちゃ
0:31,すやすやこんぶ,メンバー（4 か月）,きちゃ
0:32,苦し紛れのちゃぶ台返し,新規メンバー,きちゃ
0:34,いくら,非メンバー,きちゃ
0:34,みなせきーき,メンバー（1 年 4 か月）,きちゃ
0:35,青間ソラ,メンバー（1 年）,きちゃ
0:35,さしはら,メンバー（6 か月）,きちゃ
0:50,暇人のような怠け者,非メンバー,きちゃ
0:54,ブンブン,非メンバー,きちゃ
0:57,発狂ゴリラ,非メンバー,きちゃ
0:59,あくびちゃん,非メンバー,きちゃあ
1:04,ebiFLY,新規メンバー,きちゃ
1:04,森まりね,メンバー（1 年）,きちゃ～！
1:06,SHIH I YANG,非メンバー,きちゃー
1:12,りくがめ,非メンバー,きちゃ
1:21,paskur,非メンバー,きちゃ
1:24,富岡ハヤトン,メンバー（1 年）,きちゃ
1:45,Dr.ジャッカル,非メンバー,ごきげんよう〜
1:46,ニャルキさん,メンバー（4 か月）,きちゃ
1:46,こっぱむ,メンバー（1 年）,ごきげんよー
1:47,きちゃまる,メンバー（1 年 1 か月）,ごきげんよう〜
1:50,360度,非メンバー,ごきげんようー
1:50,富岡ハヤトン,メンバー（1 年）,草
1:50,蜃気楼,メンバー（2 か月）,きちゃ
1:50,ニャルキさん,メンバー（2 か月）,ごきげんよう～
1:52,きちゃまる,メンバー（1 年 1 か月）,草
1:52,ゆら,メンバー（5 か月）,ごきげんよう〜
1:55,青間ソラ,メンバー（1 年 10 か月）,ごきげんよう〜
1:56,びんす,メンバー（2 年）,ごきげんよう～
2:00,にゃった。,メンバー（1 か月）,ごきげんよう～
2:01,雪風,メンバー（1 年）,ごきげんよう～
2:01,さしはら,メンバー（6 か月）,ごきげんよう〜
2:02,SHIH I YANG,非メンバー,ごきげんよう
2:03,McDohlMR/マクドール,メンバー（2 年）,ごきげんよう
2:05,みなせきーき,メンバー（1 年）,ごきげんよう〜
2:05,Hシグレン,非メンバー,ご機嫌よー
2:07,ME HO,非メンバー,ちゃぁ〜〜〜
2:08,すやすやこんぶ,メンバー（2 か月）,ごきげんよう～
2:10,富岡ハヤトン,メンバー（1 年）,ごきげんよう～
2:17,360度,非メンバー,本日の原神
2:20,滝航,非メンバー,帰ってきてらやってて最高かよ！
2:21,KUMATO KUROGUM,メンバー（7 か月）,ごきげんよう
2:22,ラズゥ,非メンバー,ご機嫌よろー
2:22,アンディ・,非メンバー,ごきげんよう
2:25,ふりーとーと,メンバー（1 か月）,メールアドレス…
2:36,KUMATO KUROGUM,メンバー（7 か月）,おっと買ってきます
2:40,すやすやこんぶ,メンバー（4 か月）,買った買った
2:42,きちゃまる,メンバー（1 年）,買ったよ〜
2:46,チョウチョウ,非メンバー,やっと原神を
2:48,ふりーとーと,メンバー（1 か月）,全部買った
2:49,富岡ハヤトン,メンバー（1 年）,買った～
2:53,Shisei reppu,非メンバー,定番の原神
2:53,WADA,非メンバー,もはや原神の一人である鷹宮
3:05,KUMATO KUROGUM,メンバー（7 か月）,新ビジュももうすぐね
3:05,ラズゥ,非メンバー,ぞい！
3:09,きちゃまる,メンバー（1 年 1 か月）,がんばるぞい！
3:13,上やん下やんっ!,メンバー（6 か月）,NEW GAME!!
3:18,鷹宮リオン,確認済み,https://twitter.com/TakamiyaRion/stat...
3:19,鷹宮リオン,確認済み,https://twitter.com/TakamiyaRion/stat...
3:20,西本雄介,非メンバー,マリカ終わったの？
3:22,鷹宮リオン,確認済み,https://twitter.com/TakamiyaRion/stat...
3:24,Asphodelus 333,非メンバー,樹脂カンストしてますがな
3:25,鷹宮リオン,確認済み,https://twitter.com/TakamiyaRion/stat...
3:28,衝撃のセンちゃん,メンバー（1 年）,スパムきちゃ
3:30,鷹宮リオン,確認済み,https://twitter.com/TakamiyaRion/stat...
3:32,Arazu Mumei,非メンバー,こんばんわ～
3:33,xouty,非メンバー,スパムきちゃ
3:41,さしはら,メンバー（7 か月）,スパムきちゃ
3:42,あにぃtrueblue,非メンバー,ぞい
3:44,konkon513,非メンバー,Genshin 😀
3:46,イスカ,非メンバー,今きた
3:47,こっぱむ,メンバー（1 年）,ぞぞい！
3:49,咲良レン,メンバー（6 か月）,RT完了
3:50,すやすやこんぶ,メンバー（4 か月）,もう一日終わりそうなんですけども
3:57,GJoker,非メンバー,I'm on it_ time to rt and follow
4:00,ラズゥ,非メンバー,原神声優デビューの準備も完璧ですね
4:17,とみ,非メンバー,こんばんわ
4:27,咲良レン,メンバー（6 か月）,ショタしか勝たんな
4:30,仙波山senbayama,メンバー（1 か月）,ごくげんようー
4:37,NaSiKiCaP,非メンバー,nom nom~
4:39,リフォームの匠,非メンバー,お、海賊イベか
4:57,咲良レン,メンバー（8 か月）,海賊ごっこってリオン様適任やん
5:02,Asphodelus 333,非メンバー,ショウまだかなー早く欲しい
5:08,サイスメロ,非メンバー,ゴーカイにいくぜ！
5:08,刃,メンバー（1 年）,ごきげんよう
5:26,すやすやこんぶ,メンバー（4 か月）,左上読んで…
5:26,朝霧,非メンバー,チャージショットでおｋ
5:29,滝航,非メンバー,バーバラでおちる
5:29,なぎさ,非メンバー,スキル！
5:29,8 1,非メンバー,風か水だって
5:29,ふりーとーと,メンバー（1 か月）,元素スキルつかうのよ
5:30,N.O.P.E,非メンバー,Use Water
5:30,ケロキー,非メンバー,技で
5:30,上やん下やんっ!,メンバー（7 か月）,はぇ
5:31,しゃお,非メンバー,掃除やで
5:31,むらき,非メンバー,話聞いて？
5:32,咲良レン,メンバー（8 か月）,かわいい
5:33,もくねこ,非メンバー,掃除
5:33,SAI,非メンバー,use barbar
5:33,ラズゥ,非メンバー,風で飛ばすやつか
5:33,artemis x,非メンバー,use barbara
5:34,hajime -,非メンバー,風
5:34,NaSiKiCaP,非メンバー,anemo
5:37,360度,非メンバー,風があるやろ？
5:37,14ダルマ,非メンバー,風
5:38,空門いりす,メンバー（1 年 7 か月）,もしかしてバカ
5:38,T N,メンバー（1 年）,風です
5:39,Yaanns _,非メンバー,kaze daa
5:39,羊が大好きのmaple,非メンバー,​スキル
5:39,野郎そば,非メンバー,攻撃せえ
5:40,KAI,非メンバー,頭がバグってるかも
5:41,JROCK50054,非メンバー,Kaze
5:41,Asphodelus 333,非メンバー,風！風！
5:41,KUMATO KUROGUM,メンバー（7 か月）,かぜだー
5:43,artemis x,非メンバー,water charged attack
5:43,袴,非メンバー,風か水
5:43,Stereochrome,非メンバー,スキル使って
5:43,サイスメロ,非メンバー,お前って本当にせっかちだよなぁ☆
5:45,たくあん,非メンバー,元素つかわな
5:49,JROCK50054,非メンバー,Venti too
5:49,うにぱくぱく,非メンバー,風元素でやる
5:52,たぬジョー。,メンバー（1 年）,左上が見えないのかしら
5:53,Wenウェン,非メンバー,use wind
5:53,xouty,非メンバー,日本語読める？
5:56,田尻たけやり,メンバー（1 年 7 か月）,草
6:01,アンディ・,非メンバー,お掃除、お掃除🎶
6:07,富岡ハヤトン,メンバー（1 年）,草
6:12,JROCK50054,非メンバー,I just shoot them with wind arrows
6:26,NaSiKiCaP,非メンバー,wo.. AR 50
6:30,CV:きんぴらごぼう,非メンバー,同じゲームしてるとは思えないよ…
6:31,チョウチョウ,非メンバー,かぜヤアー
6:32,Asphodelus 333,非メンバー,それやったことないや
6:39,8 1,非メンバー,開幕ギャグたすかる
6:41,hajime -,非メンバー,お嬢様なのに・・・
6:43,とみ,非メンバー,アカツキワイナリーとか
6:47,alex Lin,非メンバー,草
6:47,Wenウェン,非メンバー,ww
6:52,衝撃のセンちゃん,メンバー（1 年）,草
6:52,なお,非メンバー,しゅーとな
6:52,北國銀行,非メンバー,こんばんは。
6:55,岐阜県,メンバー（11 か月）,風の矢で撃ったよ、とのこと
6:57,さち,非メンバー,子供に掃除させられるお嬢
6:59,しゃお,非メンバー,風の弓で撃ってな
6:59,すやすやこんぶ,メンバー（4 か月）,風の矢で掃除してたって
7:00,。 nyahu,非メンバー,かぜヤァー！
7:02,うにぱくぱく,非メンバー,弓の重撃じゃない？
7:03,野郎そば,非メンバー,かわいそうに
7:26,野郎そば,非メンバー,寝込みを襲撃
7:33,ラズゥ,非メンバー,さぼってるモブみるとやるわｗ
7:34,Meltlilith,非メンバー,お嬢のコントだけが生き甲斐やから今日も一番いいのを頼む
7:58,hajime -,非メンバー,走るより飛ぶ方が早いよ
8:03,上やん下やんっ!,メンバー（7 か月）,R.I.P.
8:21,ケロキー,非メンバー,草
8:22,すやすやこんぶ,メンバー（4 か月）,草
