timestamp,author_name,membership,text
-5:59,スーペルデポル,非メンバー,2×３インブリードして気性体質足元×来たら草
-5:55,辰巳リンタロウ†アウトブレイク†,メンバー（1 年）,ボクはいいかな…
-5:55,ジャックジャン,非メンバー,インブリード自体はわるないが４*3までやねぇ今作知らんけど
-5:47,気まぐれカナリア,非メンバー,最初の馬がランダムやからなぁ
-5:21,四条あき,非メンバー,ダメイワジャー×ホエールキャプチャあるで
-5:12,スーペルデポル,非メンバー,気性と体質大事だから結構重要だな。インブリードよりアウトブリード狙ってもいいかもれない
-5:09,辰巳リンタロウ†アウトブレイク†,メンバー（1 年 3 か月）,今インブリードナシなの？ファミコン版だと速攻故障してた気がするけど
-4:27,くろるん,メンバー（2 か月）,:_きちゃああああ::_きちゃあああ::_いいいいい::_きちゃ:
-4:10,ユウCHAN,非メンバー,インブリードゲーじゃないの？ダビスタは昔から
-4:02,RAN DRG,非メンバー,良血のインブリードは相変わらず良いよ。
-3:39,ユレイドル,非メンバー,今年は牡牝三冠馬も歴代最多勝もで歴史に残る年でしたね
-3:20,ジャックジャン,非メンバー,対戦はどこの競馬場で何ｍなん？
-3:13,辰巳リンタロウ†アウトブレイク†,メンバー（1 年）,あ、そうなんだ
-3:11,mo-chi 4747,非メンバー,インブリード・ニックス・面白配合・ニトロ、いろいろ変遷してきてる
-3:09,にほん,非メンバー,一発勝負だからもっと高い種牡馬でいいんだけど初期牝馬の場合はローレルゲレイロが良い配合になりやすい
-3:08,ユレイドル,非メンバー,奇跡の血量はあるのか
-3:02,ワイス,メンバー（3 か月）,:_きちゃああああ::_きちゃあああ::_いいいいい::_きちゃ:
-3:01,四条あき,非メンバー,白毛の世界初G1制覇まであるという
-2:55,スーペルデポル,非メンバー,ただ体質とか気性が悪くなりやすいからインブリードも良し悪し
-2:49,Totti ASroma,非メンバー,東京競馬場左回り
-2:48,四条あき,非メンバー,ちゃいき
-2:48,RAN DRG,非メンバー,東京の１６００だったと思った＞ルール
-2:47,スーペルデポル,非メンバー,4×３はあるよー
-2:40,辰巳リンタロウ†アウトブレイク†,メンバー（1 年）,昔やったときガッツリ故障したから二度としないって誓った思い出があるわ
-2:36,リッキー下村,非メンバー,概要欄に書いてあるでしょ
-2:36,ジャックジャン,非メンバー,なるほどありがとう
-2:32,フェルマータ,非メンバー,東京１６００ｍよね、マイルだし
-2:12,ジャックジャン,非メンバー,ほんまや
-2:08,気まぐれカナリア,非メンバー,・対戦レースは東京競馬場左回り1600m芝晴れ場良 これやね
-2:02,スーペルデポル,非メンバー,あと本番が東京１６００で坂があるので今作からあるパワーが結構重要だと思う。
-1:58,咲良レン,メンバー（6 か月）,ちゃいき
-1:51,すやすやこんぶ,メンバー（2 か月）,(かなかまは泣かない）
-1:49,U-N-K,メンバー（1 年）,:_きちゃああああ::_きちゃ::_きちゃああああ::_きちゃ:
-1:41,すやすやこんぶ,メンバー（2 か月）,かなかま…
-1:38,ユウCHAN,非メンバー,昔は危険な配合し放題だったからなぁ
-1:37,Takafumi Goto,非メンバー,逃げ馬大好き
-1:30,四条あき,非メンバー,高低差200mだからな
-1:28,フェルマータ,非メンバー,一発勝負だと適正がどんだけハマるかかな
-1:28,ジャックジャン,非メンバー,東京は向こう正面と正面2回坂あるからな
-1:26,しゅーやんだぬき,非メンバー,にゃ！
-1:22,リュウ,新規メンバー,ちゃいき
